method,epoch,group_id,selection_type,block,layer,edge_layer,parameter,target,source,side,pip,gate_mean,margin_mean,margin_sd,slab_norm_mean,slab_norm_median
VI,1,0,edge,hidden_layer_1,0,hidden_layer_1,W1,0,0,input,0.47099998593330383,0.10407742112874985,-0.050576791167259216,0.6629326343536377,0.3635742962360382,0.29881447553634644
VI,1,1,edge,hidden_layer_1,0,hidden_layer_1,W1,0,1,input,0.44699999690055847,0.09324212372303009,-0.10634546726942062,0.6809016466140747,0.35836517810821533,0.3093755841255188
VI,1,2,edge,hidden_layer_1,0,hidden_layer_1,W1,0,2,input,0.5239999890327454,0.12491778284311295,0.03605814278125763,0.6866849660873413,0.3701730966567993,0.30887970328330994
VI,1,3,edge,hidden_layer_1,0,hidden_layer_1,W1,0,3,input,0.48100000619888306,0.10624128580093384,-0.03789164870977402,0.672351062297821,0.3680632412433624,0.3084307610988617
VI,1,4,edge,hidden_layer_1,0,hidden_layer_1,W1,0,4,input,0.4560000002384186,0.09116766601800919,-0.09667747467756271,0.6602429747581482,0.37104371190071106,0.3129168748855591
VI,1,5,edge,hidden_layer_1,0,hidden_layer_1,W1,0,5,input,0.4659999907016754,0.102993905544281,-0.03506790101528168,0.6531468629837036,0.3896917402744293,0.3245691657066345
VI,1,6,edge,hidden_layer_1,0,hidden_layer_1,W1,1,0,input,0.44200000166893005,0.09029177576303482,-0.09752029180526733,0.6655179262161255,0.3946114778518677,0.3291672170162201
VI,1,7,edge,hidden_layer_1,0,hidden_layer_1,W1,1,1,input,0.46399998664855957,0.09918632358312607,-0.06969684362411499,0.6745978593826294,0.37445423007011414,0.3142457902431488
VI,1,8,edge,hidden_layer_1,0,hidden_layer_1,W1,1,2,input,0.4699999988079071,0.10344737768173218,-0.05574977397918701,0.6849499344825745,0.3687894344329834,0.30256807804107666
VI,1,9,edge,hidden_layer_1,0,hidden_layer_1,W1,1,3,input,0.4659999907016754,0.10493012517690659,-0.04302879422903061,0.6865234375,0.3848014175891876,0.32014545798301697
VI,1,10,edge,hidden_layer_1,0,hidden_layer_1,W1,1,4,input,0.4300000071525574,0.09183720499277115,-0.08972863852977753,0.6561993360519409,0.3653433620929718,0.3196904957294464
VI,1,11,edge,hidden_layer_1,0,hidden_layer_1,W1,1,5,input,0.40799999237060547,0.08487141132354736,-0.1609509438276291,0.6823107600212097,0.3765209913253784,0.32247403264045715
VI,1,12,edge,hidden_layer_1,0,hidden_layer_1,W1,2,0,input,0.5009999871253967,0.10724468529224396,-0.0029745011124759912,0.6516119241714478,0.3686550557613373,0.2990860342979431
VI,1,13,edge,hidden_layer_1,0,hidden_layer_1,W1,2,1,input,0.4779999852180481,0.10310414433479309,-0.04374836012721062,0.6788268089294434,0.3796740770339966,0.31406310200691223
VI,1,14,edge,hidden_layer_1,0,hidden_layer_1,W1,2,2,input,0.4129999876022339,0.08405084162950516,-0.15232345461845398,0.6839240193367004,0.3875063359737396,0.3380081355571747
VI,1,15,edge,hidden_layer_1,0,hidden_layer_1,W1,2,3,input,0.4339999854564667,0.09287650883197784,-0.10361799597740173,0.6825740337371826,0.3752794563770294,0.3235752582550049
VI,1,16,edge,hidden_layer_1,0,hidden_layer_1,W1,2,4,input,0.4690000116825104,0.10558783262968063,-0.058995943516492844,0.7082541584968567,0.36834636330604553,0.3090820610523224
VI,1,17,edge,hidden_layer_1,0,hidden_layer_1,W1,2,5,input,0.515999972820282,0.11633706837892532,0.027857260778546333,0.6616430282592773,0.367153137922287,0.31586867570877075
VI,1,18,edge,hidden_layer_1,0,hidden_layer_1,W1,3,0,input,0.5220000147819519,0.11747856438159943,0.01425428781658411,0.6716192364692688,0.3712994158267975,0.3015761971473694
VI,1,19,edge,hidden_layer_1,0,hidden_layer_1,W1,3,1,input,0.43799999356269836,0.08821909874677658,-0.12739259004592896,0.680454671382904,0.3603852093219757,0.3164489269256592
VI,1,20,edge,hidden_layer_1,0,hidden_layer_1,W1,3,2,input,0.4269999861717224,0.08796139061450958,-0.12230197340250015,0.6704750657081604,0.37527701258659363,0.31287097930908203
VI,1,21,edge,hidden_layer_1,0,hidden_layer_1,W1,3,3,input,0.4390000104904175,0.09020029008388519,-0.09888850152492523,0.6545249223709106,0.38452574610710144,0.33218371868133545
VI,1,22,edge,hidden_layer_1,0,hidden_layer_1,W1,3,4,input,0.46799999475479126,0.10327129811048508,-0.0473158173263073,0.68059241771698,0.37651628255844116,0.31325384974479675
VI,1,23,edge,hidden_layer_1,0,hidden_layer_1,W1,3,5,input,0.48399999737739563,0.11041607707738876,-0.012444627471268177,0.6634125113487244,0.3860117793083191,0.3450053930282593
VI,1,24,edge,hidden_layer_1,0,hidden_layer_1,W1,4,0,input,0.41200000047683716,0.08381868898868561,-0.1540229767560959,0.6832654476165771,0.382503479719162,0.32463976740837097
VI,1,25,edge,hidden_layer_1,0,hidden_layer_1,W1,4,1,input,0.4009999930858612,0.07963211834430695,-0.16092994809150696,0.664040207862854,0.3852084279060364,0.3240116536617279
VI,1,26,edge,hidden_layer_1,0,hidden_layer_1,W1,4,2,input,0.4659999907016754,0.10588324069976807,-0.028983229771256447,0.66497802734375,0.3770693242549896,0.31347399950027466
VI,1,27,edge,hidden_layer_1,0,hidden_layer_1,W1,4,3,input,0.4970000088214874,0.112706758081913,-0.012913228943943977,0.6912120580673218,0.37826019525527954,0.31900089979171753
VI,1,28,edge,hidden_layer_1,0,hidden_layer_1,W1,4,4,input,0.4059999883174896,0.07972952723503113,-0.14642976224422455,0.6566636562347412,0.36637601256370544,0.31815728545188904
VI,1,29,edge,hidden_layer_1,0,hidden_layer_1,W1,4,5,input,0.41999998688697815,0.08733817934989929,-0.1422392576932907,0.6881444454193115,0.38051703572273254,0.31916189193725586
VI,1,30,edge,hidden_layer_2,1,hidden_layer_2,W2,0,0,input,0.44200000166893005,0.09821142256259918,-0.10198303312063217,0.6972749829292297,0.3897470533847809,0.3218711018562317
VI,1,31,edge,hidden_layer_2,1,hidden_layer_2,W2,0,1,input,0.5460000038146973,0.13669894635677338,0.08440244942903519,0.6853810548782349,0.37160322070121765,0.3114592134952545
VI,1,32,edge,hidden_layer_2,1,hidden_layer_2,W2,0,2,input,0.4880000054836273,0.10995077341794968,-0.004516541492193937,0.6707594394683838,0.3661349415779114,0.30060961842536926
VI,1,33,edge,hidden_layer_2,1,hidden_layer_2,W2,0,3,input,0.4560000002384186,0.09404105693101883,-0.07339245080947876,0.6552079916000366,0.3779892921447754,0.30176693201065063
VI,1,34,edge,hidden_layer_2,1,hidden_layer_2,W2,0,4,input,0.45500001311302185,0.09329336881637573,-0.0968698114156723,0.685451328754425,0.36951303482055664,0.30942821502685547
VI,1,35,edge,hidden_layer_2,1,hidden_layer_2,W2,1,0,input,0.49000000953674316,0.11041827499866486,-0.02685890719294548,0.6851587891578674,0.37991684675216675,0.33013027906417847
VI,1,36,edge,hidden_layer_2,1,hidden_layer_2,W2,1,1,input,0.4519999921321869,0.09971720725297928,-0.07598141580820084,0.6781731843948364,0.3800024390220642,0.33335036039352417
VI,1,37,edge,hidden_layer_2,1,hidden_layer_2,W2,1,2,input,0.5389999747276306,0.12278348952531815,0.04605678468942642,0.6598692536354065,0.3973870277404785,0.33849284052848816
VI,1,38,edge,hidden_layer_2,1,hidden_layer_2,W2,1,3,input,0.3959999978542328,0.07990754395723343,-0.16677531599998474,0.6687391996383667,0.3685592710971832,0.29434236884117126
VI,1,39,edge,hidden_layer_2,1,hidden_layer_2,W2,1,4,input,0.5019999742507935,0.1151348128914833,-0.005458040162920952,0.6791887879371643,0.377724289894104,0.3186643421649933
VI,1,40,edge,hidden_layer_2,1,hidden_layer_2,W2,2,0,input,0.453000009059906,0.0947844386100769,-0.08806918561458588,0.6732134819030762,0.3867286741733551,0.3336748480796814
VI,1,41,edge,hidden_layer_2,1,hidden_layer_2,W2,2,1,input,0.47099998593330383,0.10021407157182693,-0.05681367963552475,0.6617400646209717,0.38294097781181335,0.3182675838470459
VI,1,42,edge,hidden_layer_2,1,hidden_layer_2,W2,2,2,input,0.4410000145435333,0.09318411350250244,-0.09917491674423218,0.6747516989707947,0.38543304800987244,0.31557318568229675
