method,epoch,group_id,selection_type,block,layer,edge_layer,parameter,target,source,side,pip,gate_mean,margin_mean,margin_sd,slab_norm_mean,slab_norm_median
VI,2000,0,edge,hidden_layer_1,0,hidden_layer_1,W1,0,0,input,0.4528000056743622,0.1342289298772812,-0.162263885140419,0.9720267057418823,0.7935308814048767,0.6683372855186462
VI,2000,1,edge,hidden_layer_1,0,hidden_layer_1,W1,0,1,input,0.43299999833106995,0.1335945576429367,-0.1772494912147522,0.9738721251487732,0.7715320587158203,0.6576650142669678
VI,2000,2,edge,hidden_layer_1,0,hidden_layer_1,W1,0,2,input,0.4203999936580658,0.13341079652309418,-0.17579977214336395,0.9744952321052551,0.7795073390007019,0.6518340706825256
VI,2000,3,edge,hidden_layer_1,0,hidden_layer_1,W1,0,3,input,0.4228000044822693,0.13545700907707214,-0.1698945015668869,0.9697197675704956,0.7624880075454712,0.6393907070159912
VI,2000,4,edge,hidden_layer_1,0,hidden_layer_1,W1,0,4,input,0.428600013256073,0.14327438175678253,-0.15705446898937225,1.012732982635498,0.7686349153518677,0.6581224799156189
VI,2000,5,edge,hidden_layer_1,0,hidden_layer_1,W1,0,5,input,0.42739999294281006,0.13597558438777924,-0.1826367974281311,0.9818810820579529,0.7738875150680542,0.6544091701507568
VI,2000,6,edge,hidden_layer_1,0,hidden_layer_1,W1,1,0,input,0.436599999666214,0.13781677186489105,-0.1690738946199417,0.9845138788223267,0.7972545623779297,0.6751828193664551
VI,2000,7,edge,hidden_layer_1,0,hidden_layer_1,W1,1,1,input,0.4397999942302704,0.136935293674469,-0.17959274351596832,0.9964143633842468,0.7785363793373108,0.6662304401397705
VI,2000,8,edge,hidden_layer_1,0,hidden_layer_1,W1,1,2,input,0.42320001125335693,0.13452821969985962,-0.16761420667171478,0.9725629687309265,0.8102290034294128,0.6775721311569214
VI,2000,9,edge,hidden_layer_1,0,hidden_layer_1,W1,1,3,input,0.4415999948978424,0.1383821964263916,-0.15730039775371552,0.9691475629806519,0.8097013831138611,0.6915305256843567
VI,2000,10,edge,hidden_layer_1,0,hidden_layer_1,W1,1,4,input,0.43880000710487366,0.14029541611671448,-0.16973410546779633,0.9863352179527283,0.7974852323532104,0.6732428073883057
VI,2000,11,edge,hidden_layer_1,0,hidden_layer_1,W1,1,5,input,0.44279998540878296,0.14110204577445984,-0.13707169890403748,0.9839667677879333,0.7901321053504944,0.6704119443893433
VI,2000,12,edge,hidden_layer_1,0,hidden_layer_1,W1,2,0,input,0.45159998536109924,0.1473352611064911,-0.12209505587816238,0.9809176325798035,0.7720075249671936,0.6387170553207397
VI,2000,13,edge,hidden_layer_1,0,hidden_layer_1,W1,2,1,input,0.4341999888420105,0.13896404206752777,-0.16760098934173584,0.9909665584564209,0.7690070271492004,0.655755341053009
VI,2000,14,edge,hidden_layer_1,0,hidden_layer_1,W1,2,2,input,0.44200000166893005,0.14015957713127136,-0.16135366261005402,0.990215539932251,0.8217135667800903,0.7163225412368774
VI,2000,15,edge,hidden_layer_1,0,hidden_layer_1,W1,2,3,input,0.4323999881744385,0.1390395313501358,-0.16652706265449524,0.9819280505180359,0.7743844985961914,0.6434239149093628
VI,2000,16,edge,hidden_layer_1,0,hidden_layer_1,W1,2,4,input,0.41940000653266907,0.13253933191299438,-0.19031982123851776,0.9785215854644775,0.7961549758911133,0.6879047155380249
