method,epoch,group_id,selection_type,block,layer,feature,side,pip,gate_mean,margin_mean,margin_sd,slab_norm_mean,slab_norm_median
VI,2000,0,feature,input,-1,0,input,1.0,0.5734794735908508,1.1895650625228882,0.24597102403640747,2.00095272064209,1.9740211963653564
VI,2000,1,feature,input,-1,1,input,0.20919999480247498,0.008785493671894073,-0.566845715045929,0.6516051292419434,2.0776689052581787,2.0670082569122314
VI,2000,2,feature,input,-1,2,input,0.18019999563694,0.006051169708371162,-0.5985303521156311,0.6405391097068787,2.084939956665039,2.0507595539093018
VI,2000,3,feature,input,-1,3,input,1.0,0.621247410774231,1.3205429315567017,0.2730768918991089,2.137444257736206,2.1169328689575195
VI,2000,4,feature,input,-1,4,input,0.1550000011920929,0.004580909851938486,-0.6689732670783997,0.6558679938316345,2.0704739093780518,2.0502238273620605
VI,2000,5,feature,input,-1,5,input,0.1809999942779541,0.005661539267748594,-0.623441219329834,0.6650758385658264,2.078278064727783,2.0580127239227295
MCMC,,0,feature,input,-1,0,input,1.0,0.5376906394958496,1.1923800706863403,0.5169272422790527,2.2420215606689453,2.196694850921631
MCMC,,1,feature,input,-1,1,input,0.18694999814033508,0.011393362656235695,-0.6280962824821472,0.6994752287864685,2.084609031677246,2.043872356414795
MCMC,,2,feature,input,-1,2,input,0.19464999437332153,0.010908070020377636,-0.6386738419532776,0.7212803959846497,2.0911524295806885,2.0550224781036377
MCMC,,3,feature,input,-1,3,input,1.0,0.6032281517982483,1.368629813194275,0.5464065074920654,2.368152379989624,2.3238511085510254
MCMC,,4,feature,input,-1,4,input,0.2298000007867813,0.017425179481506348,-0.5933955311775208,0.742325484752655,2.097846746444702,2.0607552528381348
MCMC,,5,feature,input,-1,5,input,0.24269999563694,0.022172970697283745,-0.5672064423561096,0.75815349817276,2.086909770965576,2.0453875064849854
