variable,mean,sd,rhat,ess,mcse
xi_0,-0.30662869352963285,0.6262321934967605,1.0377134963171268,146.01727384912203,0.0518242794178986
xi_1,0.259831936488718,0.9940168256585362,1.0127430690859873,112.57540924621769,0.09368541145922937
xi_2,-0.010356905455576068,0.9859899093545934,1.0000239231462362,18328.022677254914,0.007283073010091142
xi_3,-0.002046014424842907,0.9812343619190171,1.0001587768683795,19232.053809709436,0.007075545297730176
xi_4,-0.5058180613592274,1.1357139219522026,1.0212581184282812,87.34179070004006,0.12152283810494932
xi_5,-0.017309647463178045,0.9785447396844206,1.000049541974825,15839.108638301394,0.007775267114505572
xi_6,0.024057389436264415,0.9902489679491868,0.9999080405972959,16766.338631145518,0.007647602064242222
xi_7,0.3899666620456191,1.079421054517884,1.0161995661891579,136.10147750154366,0.09252507907962905
xi_8,-0.011120782941019602,0.9886249491321301,1.0006261458411452,19246.521079039263,0.007126157985844085
xi_9,-0.009139066542824217,0.9696722827831639,0.9998810106486445,18601.060606772364,0.00710977943574812
xi_10,-0.35759941892403024,1.061130298434326,1.0146185373972993,115.65120592984572,0.09867193211408665
xi_11,-0.01579183130183481,0.9635895140509512,1.0002027556220912,16154.436572190356,0.007581343206559069
xi_12,0.0327986259249478,0.9537214430387501,1.0001306439211084,14444.522923156863,0.007935420516864553
xi_13,0.3151583144335171,1.0219158821687515,1.0119146487784687,204.81647662167657,0.07140567080342744
xi_14,0.006864272719613405,0.9807223624834561,0.9999809456309552,18464.41073252969,0.00721735972999578
xi_15,0.010148845448150407,0.9762862814011684,1.0001081054170313,17065.806184266577,0.0074733235016901985
xi_16,-0.3140629208131263,1.0727338393080705,1.0165252639501703,144.12513709037754,0.08935566966345718
xi_17,-0.012294000487555535,0.9787971148326419,1.0000222950107243,16383.732696750287,0.007646914839193123
xi_18,0.040298663258883226,0.9761847173102022,1.000150150705448,16013.451071575859,0.007714175867727977
xi_19,0.3702982868608043,1.0817994300960931,1.0378592628146868,138.93482757159205,0.09177854853520823
xi_20,-0.008163306651123248,0.9786684246568421,1.0000661889361993,18701.58263437957,0.007156429485034303
xi_21,0.01015705725293262,0.9818592406402723,1.0000426374078741,18836.931811857623,0.007153921147886298
xi_22,-0.35946052453630223,1.082321051481999,1.008517922456519,145.69613413801468,0.08966688679476241
