target,label,chain,pip
0,feature_x0,1,1.0
0,feature_x0,2,1.0
0,feature_x0,3,1.0
0,feature_x0,4,1.0
0,feature_x0,pooled,1.0
1,feature_x1,1,0.262
1,feature_x1,2,0.2608
1,feature_x1,3,0.2274
1,feature_x1,4,0.2638
1,feature_x1,pooled,0.2535
2,feature_x2,1,0.2496
2,feature_x2,2,0.25
2,feature_x2,3,0.2366
2,feature_x2,4,0.2474
2,feature_x2,pooled,0.2459
3,feature_x3,1,1.0
3,feature_x3,2,1.0
3,feature_x3,3,1.0
3,feature_x3,4,1.0
3,feature_x3,pooled,1.0
4,feature_x4,1,0.3336
4,feature_x4,2,0.3284
4,feature_x4,3,0.2628
4,feature_x4,4,0.3202
4,feature_x4,pooled,0.31125
5,feature_x5,1,0.328
5,feature_x5,2,0.3074
5,feature_x5,3,0.26
5,feature_x5,4,0.319
5,feature_x5,pooled,0.3036
6,unit_L1_0,1,0.9138
6,unit_L1_0,2,0.9198
6,unit_L1_0,3,0.9284
6,unit_L1_0,4,0.9
6,unit_L1_0,pooled,0.9155
7,unit_L1_1,1,0.8728
7,unit_L1_1,2,0.9126
7,unit_L1_1,3,0.8894
7,unit_L1_1,4,0.9202
7,unit_L1_1,pooled,0.89875
8,unit_L1_2,1,0.8456
8,unit_L1_2,2,0.8884
8,unit_L1_2,3,0.9166
8,unit_L1_2,4,0.9064
8,unit_L1_2,pooled,0.88925
9,unit_L1_3,1,0.906
9,unit_L1_3,2,0.9176
9,unit_L1_3,3,0.8846
9,unit_L1_3,4,0.8904
9,unit_L1_3,pooled,0.89965
10,unit_L1_4,1,0.944
10,unit_L1_4,2,0.9144
10,unit_L1_4,3,0.9486
10,unit_L1_4,4,0.905
10,unit_L1_4,pooled,0.928
11,unit_L2_0,1,0.9148
11,unit_L2_0,2,0.8904
11,unit_L2_0,3,0.8908
11,unit_L2_0,4,0.9272
11,unit_L2_0,pooled,0.9058
12,unit_L2_1,1,0.8772
12,unit_L2_1,2,0.9166
12,unit_L2_1,3,0.901
12,unit_L2_1,4,0.9028
12,unit_L2_1,pooled,0.8994
13,unit_L2_2,1,0.8632
13,unit_L2_2,2,0.9328
13,unit_L2_2,3,0.9278
13,unit_L2_2,4,0.9112
13,unit_L2_2,pooled,0.90875
14,unit_L2_3,1,0.8364
14,unit_L2_3,2,0.8842
14,unit_L2_3,3,0.8676
14,unit_L2_3,4,0.8678
14,unit_L2_3,pooled,0.864
15,unit_L2_4,1,0.8642
15,unit_L2_4,2,0.8698
15,unit_L2_4,3,0.8766
15,unit_L2_4,4,0.848
15,unit_L2_4,pooled,0.86465
