method,layer,unit,global_unit,pip,gate_mean,slab_strength_mean
MCMC,1,0,0,0.9154999852180481,0.60068678855896,5.722924709320068
MCMC,1,1,1,0.8987500071525574,0.5880613923072815,5.656945705413818
MCMC,1,2,2,0.8892499804496765,0.5660131573677063,5.464819431304932
MCMC,1,3,3,0.899649977684021,0.5736215114593506,5.586175918579102
MCMC,1,4,4,0.9279999732971191,0.6229066252708435,5.774343967437744
MCMC,2,0,5,0.9057999849319458,0.584418773651123,2.12947940826416
MCMC,2,1,6,0.899399995803833,0.5733307003974915,2.236137628555298
MCMC,2,2,7,0.9087499976158142,0.5895702242851257,2.219226121902466
MCMC,2,3,8,0.8640000224113464,0.5379002690315247,1.9222577810287476
MCMC,2,4,9,0.8646500110626221,0.5291996598243713,1.9879276752471924
