method,layer,unit,global_unit,pip,gate_mean,slab_strength_mean
VI,1,0,0,1.0,0.6543217897415161,5.999575138092041
VI,1,1,1,0.18440000712871552,0.009141038171947002,5.041451454162598
VI,1,2,2,1.0,0.7289254665374756,6.72428035736084
VI,1,3,3,0.25200000405311584,0.015077930875122547,5.094691753387451
VI,1,4,4,0.2272000014781952,0.011589540168642998,5.1132001876831055
VI,2,0,5,0.1899999976158142,0.0073442175053060055,1.6594195365905762
VI,2,1,6,1.0,0.6936533451080322,3.336977243423462
VI,2,2,7,0.21660000085830688,0.010087483562529087,1.5934441089630127
VI,2,3,8,0.2793999910354614,0.015503503382205963,1.5984926223754883
VI,2,4,9,0.20919999480247498,0.012401147745549679,1.6455118656158447
