method,epoch,group_id,selection_type,block,layer,feature,side,pip,gate_mean,margin_mean,margin_sd,slab_norm_mean,slab_norm_median,unit,global_unit
VI,1,0,feature,input,-1,0.0,input,0.5379999876022339,0.1374814808368683,0.056559138000011444,0.7137176990509033,1.01010262966156,0.985856831073761,,
VI,1,1,feature,input,-1,1.0,input,0.5720000267028809,0.15724682807922363,0.1440918892621994,0.7150937914848328,1.003206491470337,0.9733478426933289,,
VI,1,2,feature,input,-1,2.0,input,0.4869999885559082,0.11266220360994339,-0.033857572823762894,0.707493007183075,1.0051945447921753,0.9754551649093628,,
VI,1,3,feature,input,-1,3.0,input,0.5540000200271606,0.14808931946754456,0.1163557767868042,0.7012941241264343,1.012355089187622,0.9801467061042786,,
VI,1,4,feature,input,-1,4.0,input,0.5419999957084656,0.13441266119480133,0.054325781762599945,0.7109668254852295,0.992910623550415,0.9771129488945007,,
VI,1,5,feature,input,-1,5.0,input,0.5680000185966492,0.15034374594688416,0.13574303686618805,0.6827902793884277,1.0071450471878052,0.9822011590003967,,
VI,1,6,unit,0,0,,group,0.5170000195503235,0.12133993208408356,0.02190968580543995,0.6864762902259827,1.2032470703125,1.1892668008804321,0.0,0.0
VI,1,7,unit,0,0,,group,0.44200000166893005,0.09637455642223358,-0.09900375455617905,0.6958701014518738,1.2061688899993896,1.1753482818603516,1.0,1.0
VI,1,8,unit,0,0,,group,0.4659999907016754,0.09556115418672562,-0.07673787325620651,0.6651691198348999,1.2059539556503296,1.1891613006591797,2.0,2.0
VI,1,9,unit,0,0,,group,0.4869999885559082,0.10945776849985123,-0.011166875250637531,0.6521819233894348,1.203670859336853,1.1753343343734741,3.0,3.0
VI,1,10,unit,0,0,,group,0.5009999871253967,0.11515635997056961,-0.01151486486196518,0.6876727938652039,1.2239370346069336,1.1942028999328613,4.0,4.0
VI,1,11,unit,1,1,,group,0.4650000035762787,0.09969443827867508,-0.06420361995697021,0.6790793538093567,1.0806467533111572,1.053851842880249,0.0,5.0
VI,1,12,unit,1,1,,group,0.49900001287460327,0.11051028221845627,-0.012722179293632507,0.6777850985527039,1.1029953956604004,1.0734649896621704,1.0,6.0
VI,1,13,unit,1,1,,group,0.47999998927116394,0.10614081472158432,-0.0367765836417675,0.6848437786102295,1.1235966682434082,1.1018108129501343,2.0,7.0
VI,1,14,unit,1,1,,group,0.45399999618530273,0.09955298900604248,-0.062067657709121704,0.659423291683197,1.1142747402191162,1.0869817733764648,3.0,8.0
VI,1,15,unit,1,1,,group,0.5049999952316284,0.10389991849660873,-0.011580804362893105,0.6568092703819275,1.1277107000350952,1.1060612201690674,4.0,9.0
VI,250,0,feature,input,-1,0.0,input,0.4869999885559082,0.20746752619743347,-0.08690968155860901,1.3120783567428589,2.6726832389831543,2.6541404724121094,,
VI,250,1,feature,input,-1,1.0,input,0.49399998784065247,0.2067282646894455,-0.074488066136837,1.3174939155578613,1.2812480926513672,1.2530101537704468,,
VI,250,2,feature,input,-1,2.0,input,0.46000000834465027,0.20086821913719177,-0.13040275871753693,1.3191698789596558,1.114690899848938,1.0858595371246338,,
VI,250,3,feature,input,-1,3.0,input,0.5170000195503235,0.2388891726732254,0.039428841322660446,1.3712514638900757,2.8740761280059814,2.8494482040405273,,
VI,250,4,feature,input,-1,4.0,input,0.4729999899864197,0.19925306737422943,-0.10804502665996552,1.2962216138839722,1.2548317909240723,1.2257378101348877,,
VI,250,5,feature,input,-1,5.0,input,0.453000009059906,0.19715191423892975,-0.06644045561552048,1.2837690114974976,1.2430131435394287,1.2144712209701538,,
VI,250,6,unit,0,0,,group,0.5849999785423279,0.27112287282943726,0.21827584505081177,1.3267441987991333,2.5115365982055664,2.5074193477630615,0.0,0.0
VI,250,7,unit,0,0,,group,0.5600000023841858,0.2565869987010956,0.17768312990665436,1.3448915481567383,2.0345513820648193,2.0221762657165527,1.0,1.0
VI,250,8,unit,0,0,,group,0.574999988079071,0.25550439953804016,0.22019992768764496,1.268823504447937,2.5839967727661133,2.5954782962799072,2.0,2.0
VI,250,9,unit,0,0,,group,0.6019999980926514,0.2913588881492615,0.3081737756729126,1.3386178016662598,1.862309455871582,1.8573557138442993,3.0,3.0
VI,250,10,unit,0,0,,group,0.5400000214576721,0.2524748146533966,0.16979309916496277,1.3111059665679932,2.064713954925537,2.055117607116699,4.0,4.0
VI,250,11,unit,1,1,,group,0.5839999914169312,0.28166985511779785,0.2693568170070648,1.3720600605010986,2.1358652114868164,2.145961284637451,0.0,5.0
VI,250,12,unit,1,1,,group,0.593999981880188,0.27381792664527893,0.3167269825935364,1.2776963710784912,2.2962875366210938,2.2957184314727783,1.0,6.0
VI,250,13,unit,1,1,,group,0.5960000157356262,0.2712019383907318,0.2797810733318329,1.2838243246078491,2.0972211360931396,2.088463068008423,2.0,7.0
VI,250,14,unit,1,1,,group,0.5550000071525574,0.2605442404747009,0.2054440677165985,1.3164780139923096,2.196547031402588,2.203047513961792,3.0,8.0
VI,250,15,unit,1,1,,group,0.546999990940094,0.2516535520553589,0.1708802580833435,1.3057242631912231,2.1935150623321533,2.1946890354156494,4.0,9.0
VI,500,0,feature,input,-1,0.0,input,0.5550000071525574,0.2588082253932953,0.18586547672748566,1.3323370218276978,2.6426632404327393,2.6149468421936035,,
