target_type,target,label,truth_active,truth_pip,partition_source,rat_pip,mcmc_pip,pip_error_truth,pip_error,conditional_slab_skl,zero_mass_js,n_rat_active_draws,n_mcmc_active_draws
induced_edge_rank,0,induced_edge_rank_1,True,,matched_mcmc_pip_gt_0.5,1.0,1.0,,0.0,1.664160886458358,,5000,20000
induced_edge_rank,1,induced_edge_rank_2,True,,matched_mcmc_pip_gt_0.5,1.0,1.0,,0.0,0.3489023096115276,,5000,20000
induced_edge_rank,2,induced_edge_rank_3,True,,matched_mcmc_pip_gt_0.5,1.0,1.0,,0.0,6.027866504462043,,5000,20000
induced_edge_rank,3,induced_edge_rank_4,True,,matched_mcmc_pip_gt_0.5,1.0,1.0,,0.0,6.175231214759391,,5000,20000
induced_edge_rank,4,induced_edge_rank_5,True,,matched_mcmc_pip_gt_0.5,0.7904,0.9955,,-0.20510000000000006,8.826574704485713,,3952,19910
induced_edge_rank,5,induced_edge_rank_6,True,,matched_mcmc_pip_gt_0.5,0.7904,0.9955,,-0.20510000000000006,7.453843211750716,,3952,19910
induced_edge_rank,6,induced_edge_rank_7,True,,matched_mcmc_pip_gt_0.5,0.4316,0.96835,,-0.5367500000000001,6.905791025900896,,2158,19367
induced_edge_rank,7,induced_edge_rank_8,True,,matched_mcmc_pip_gt_0.5,0.4316,0.96835,,-0.5367500000000001,7.614915104919664,,2158,19367
induced_edge_rank,8,induced_edge_rank_9,True,,matched_mcmc_pip_gt_0.5,0.3108,0.88815,,-0.57735,7.081775612316289,,1554,17763
induced_edge_rank,9,induced_edge_rank_10,True,,matched_mcmc_pip_gt_0.5,0.1616,0.85995,,-0.69835,5.860717720992033,,808,17199
induced_edge_rank,10,induced_edge_rank_11,True,,matched_mcmc_pip_gt_0.5,0.1412,0.65785,,-0.51665,6.388007933144446,,706,13157
induced_edge_rank,11,induced_edge_rank_12,True,,matched_mcmc_pip_gt_0.5,0.1412,0.65785,,-0.51665,6.3375856549814715,,706,13157
induced_edge_rank,12,induced_edge_rank_13,True,,matched_mcmc_pip_gt_0.5,0.0374,0.5361,,-0.49870000000000003,4.736172350338515,,187,10722
induced_edge_rank,13,induced_edge_rank_14,True,,matched_mcmc_pip_gt_0.5,0.0374,0.5361,,-0.49870000000000003,4.36933290383676,,187,10722
induced_edge_rank,14,induced_edge_rank_15,True,,matched_mcmc_pip_gt_0.5,0.0374,0.5361,,-0.49870000000000003,4.255262994652756,,187,10722
induced_edge_rank,15,induced_edge_rank_16,False,,matched_mcmc_pip_gt_0.5,0.0226,0.2807,,-0.2581,,0.07475778441507588,113,5614
induced_edge_rank,16,induced_edge_rank_17,False,,matched_mcmc_pip_gt_0.5,0.0074,0.21975,,-0.21235,,0.06878989617108919,37,4395
induced_edge_rank,17,induced_edge_rank_18,False,,matched_mcmc_pip_gt_0.5,0.0074,0.21975,,-0.21235,,0.06878989617108919,37,4395
induced_edge_rank,18,induced_edge_rank_19,False,,matched_mcmc_pip_gt_0.5,0.005,0.2189,,-0.2139,,0.07207732915825205,25,4378
induced_edge_rank,19,induced_edge_rank_20,False,,matched_mcmc_pip_gt_0.5,0.005,0.2189,,-0.2139,,0.07207732915825205,25,4378
induced_edge_rank,20,induced_edge_rank_21,False,,matched_mcmc_pip_gt_0.5,0.0002,0.05785,,-0.05765,,0.019879616902072995,1,1157
induced_edge_rank,21,induced_edge_rank_22,False,,matched_mcmc_pip_gt_0.5,0.0002,0.05785,,-0.05765,,0.019879616902072995,1,1157
induced_edge_rank,22,induced_edge_rank_23,False,,matched_mcmc_pip_gt_0.5,0.0002,0.05785,,-0.05765,,0.019879616902072995,1,1157
induced_edge_rank,23,induced_edge_rank_24,False,,matched_mcmc_pip_gt_0.5,0.0002,0.05785,,-0.05765,,0.019879616902072995,1,1157
induced_edge_rank,24,induced_edge_rank_25,False,,matched_mcmc_pip_gt_0.5,0.0,0.054,,-0.054,,0.01908963654821926,0,1080
induced_edge_rank,25,induced_edge_rank_26,False,,matched_mcmc_pip_gt_0.5,0.0,0.0074,,-0.0074,,0.002571514992902893,0,148
induced_edge_rank,26,induced_edge_rank_27,False,,matched_mcmc_pip_gt_0.5,0.0,0.0074,,-0.0074,,0.002571514992902893,0,148
induced_edge_rank,27,induced_edge_rank_28,False,,matched_mcmc_pip_gt_0.5,0.0,0.0074,,-0.0074,,0.002571514992902893,0,148
induced_edge_rank,28,induced_edge_rank_29,False,,matched_mcmc_pip_gt_0.5,0.0,0.0074,,-0.0074,,0.002571514992902893,0,148
induced_edge_rank,29,induced_edge_rank_30,False,,matched_mcmc_pip_gt_0.5,0.0,0.0074,,-0.0074,,0.002571514992902893,0,148
