method,epoch,block,layer,unit,global_unit,group_id,posterior_rank,unit_pip,gate_mean,margin_mean,margin_sd,input_slab_norm_mean,output_slab_norm_mean,slab_strength_mean,effective_strength_mean
VI,1,0,0,0,0,6,1,0.5170000195503235,0.12133993208408356,0.02190968580543995,0.6864762902259827,1.2032470703125,0.9897602796554565,1.188355803489685,0.1483575701713562
VI,1,0,0,4,4,10,3,0.5009999871253967,0.11515635997056961,-0.01151486486196518,0.6876727938652039,1.2239370346069336,1.004997968673706,1.2267568111419678,0.13453826308250427
VI,1,0,0,3,3,9,5,0.4869999885559082,0.10945776849985123,-0.011166875250637531,0.6521819233894348,1.203670859336853,1.0300145149230957,1.2373771667480469,0.138801708817482
VI,1,0,0,2,2,8,7,0.4659999907016754,0.09556115418672562,-0.07673787325620651,0.6651691198348999,1.2059539556503296,1.0155560970306396,1.2279366254806519,0.11391996592283249
VI,1,0,0,1,1,7,10,0.44200000166893005,0.09637455642223358,-0.09900375455617905,0.6958701014518738,1.2061688899993896,1.0012993812561035,1.21356201171875,0.11701256036758423
VI,1,1,1,4,9,15,2,0.5049999952316284,0.10389991849660873,-0.011580804362893105,0.6568092703819275,1.1277107000350952,0.38212308287620544,0.43096885085105896,0.05220406502485275
VI,1,1,1,1,6,12,4,0.49900001287460327,0.11051028221845627,-0.012722179293632507,0.6777850985527039,1.1029953956604004,0.37656378746032715,0.41572609543800354,0.04382406547665596
VI,1,1,1,2,7,13,6,0.47999998927116394,0.10614081472158432,-0.0367765836417675,0.6848437786102295,1.1235966682434082,0.3879636824131012,0.43473583459854126,0.051099807024002075
VI,1,1,1,0,5,11,8,0.4650000035762787,0.09969443827867508,-0.06420361995697021,0.6790793538093567,1.0806467533111572,0.37245166301727295,0.4007727801799774,0.03896733373403549
VI,1,1,1,3,8,14,9,0.45399999618530273,0.09955298900604248,-0.062067657709121704,0.659423291683197,1.1142746210098267,0.39266350865364075,0.43949219584465027,0.044169165194034576
VI,250,0,0,3,3,9,1,0.6019999980926514,0.2913588881492615,0.3081737756729126,1.3386178016662598,1.8623093366622925,1.666948676109314,3.0903306007385254,0.8858153820037842
VI,250,0,0,0,0,6,4,0.5849999785423279,0.27112287282943726,0.21827584505081177,1.3267441987991333,2.5115365982055664,2.1995317935943604,5.5260701179504395,1.4925055503845215
VI,250,0,0,2,2,8,6,0.574999988079071,0.25550439953804016,0.22019992768764496,1.268823504447937,2.5839967727661133,2.6192712783813477,6.7648115158081055,1.7149572372436523
