method,epoch,block,layer,unit,global_unit,group_id,posterior_rank,unit_pip,gate_mean,margin_mean,margin_sd,input_slab_norm_mean,output_slab_norm_mean,slab_strength_mean,effective_strength_mean
VI,2000,0,0,0,0,6,1,1.0,0.6543217897415161,1.420120120048523,0.2915251553058624,2.6529669761657715,2.2717368602752686,5.999575138092041,3.894162893295288
VI,2000,0,0,2,2,8,2,1.0,0.7289254665374756,1.698808193206787,0.3321147859096527,2.783698320388794,2.4175832271575928,6.72428035736084,4.871781349182129
VI,2000,0,0,3,3,9,5,0.25200000405311584,0.015077930875122547,-0.5024409890174866,0.6506234407424927,2.4753262996673584,2.0577070713043213,5.094691753387451,0.0757664367556572
VI,2000,0,0,4,4,10,6,0.2272000014781952,0.011589540168642998,-0.5219811201095581,0.6285445094108582,2.4978363513946533,2.044393539428711,5.1132001876831055,0.0597173273563385
VI,2000,0,0,1,1,7,10,0.18440000712871552,0.009141038171947002,-0.6071776747703552,0.6473899483680725,2.4771523475646973,2.0346522331237793,5.041451454162598,0.04505867883563042
VI,2000,1,1,1,6,12,3,1.0,0.6936533451080322,1.5522927045822144,0.2979695200920105,2.5764362812042236,1.3076640367507935,3.336977243423462,2.2994790077209473
VI,2000,1,1,3,8,14,4,0.2793999910354614,0.015503503382205963,-0.4451342821121216,0.6275767087936401,2.258995294570923,0.7077985405921936,1.5984926223754883,0.02534249611198902
VI,2000,1,1,2,7,13,7,0.21660000085830688,0.010087483562529087,-0.5475219488143921,0.634005606174469,2.263155937194824,0.7038800716400146,1.5934441089630127,0.01642676629126072
VI,2000,1,1,4,9,15,8,0.20919999480247498,0.012401147745549679,-0.5476953387260437,0.6373165845870972,2.2580180168151855,0.7307541966438293,1.6455118656158447,0.020583724603056908
VI,2000,1,1,0,5,11,9,0.1899999976158142,0.0073442175053060055,-0.5744691491127014,0.6285699009895325,2.2845582962036133,0.7279495596885681,1.6594195365905762,0.011750544421374798
MCMC,,0,0,4,4,10,1,0.9279999732971191,0.6229066252708435,1.6096336841583252,1.066103219985962,2.6376123428344727,2.1936135292053223,5.774343967437744,3.6180667877197266
MCMC,,0,0,0,0,6,2,0.9154999852180481,0.60068678855896,1.540863037109375,1.0998326539993286,2.5900254249572754,2.219116449356079,5.722924709320068,3.469120740890503
MCMC,,0,0,3,3,9,5,0.899649977684021,0.5736215114593506,1.464105486869812,1.1389548778533936,2.590804100036621,2.1610116958618164,5.586175918579102,3.22603702545166
MCMC,,0,0,1,1,7,7,0.8987500071525574,0.5880613923072815,1.5025187730789185,1.142556071281433,2.571798801422119,2.20058274269104,5.656945705413818,3.3592593669891357
MCMC,,0,0,2,2,8,8,0.8892499804496765,0.5660131573677063,1.444443702697754,1.1678097248077393,2.5429439544677734,2.1546688079833984,5.464819431304932,3.0983755588531494
MCMC,,1,1,2,7,13,3,0.9087499976158142,0.5895702242851257,1.5032927989959717,1.1057097911834717,2.3923888206481934,0.9265506863594055,2.219226121902466,1.358884334564209
MCMC,,1,1,0,5,11,4,0.9057999849319458,0.584418773651123,1.4976701736450195,1.125407338142395,2.4107730388641357,0.8804764747619629,2.12947940826416,1.2674713134765625
MCMC,,1,1,1,6,12,6,0.899399995803833,0.5733307003974915,1.4562300443649292,1.1268244981765747,2.3951077461242676,0.9267290830612183,2.236137628555298,1.2874796390533447
MCMC,,1,1,4,9,15,9,0.8646500110626221,0.5291996598243713,1.3115923404693604,1.1791763305664062,2.3417129516601562,0.8474822044372559,1.9879276752471924,1.0836015939712524
MCMC,,1,1,3,8,14,10,0.8640000224113464,0.5379002690315247,1.350913643836975,1.2034438848495483,2.3564651012420654,0.8242111206054688,1.9222577810287476,1.0525484085083008
