variable,mean,sd,rhat,ess,mcse,quantity
x0,1.0,0.0,1.0,20000.0,0.0,active_indicator
x1,0.0035,0.059058652170695614,1.0004081623017034,5103.342197748061,0.000826715701611673,active_indicator
x2,0.0036,0.0598933999783663,1.0008078463501502,3525.1658225079636,0.001008763110259208,active_indicator
x3,1.0,0.0,1.0,20000.0,0.0,active_indicator
x4,0.0065,0.08036213600725299,1.0001991768468885,3665.353386615508,0.00132737472987373,active_indicator
x5,0.00975,0.09826199810208168,1.0005745680267095,1788.6582415558255,0.002323388883179564,active_indicator
x0,1.9597615690529346,0.5563492018053454,1.0127892639855176,563.8790169327152,0.02342904045882142,slab_strength
x1,2.130787411271781,0.6817468216498754,1.0002821525661916,5972.240537853841,0.008821744520868497,slab_strength
x2,2.1308914036296307,0.6869953390554803,1.00053101628016,6634.206062864703,0.00843449940927394,slab_strength
x3,2.2134023506730793,0.5595361922615755,1.0028568929158297,311.3959660481015,0.03170820752776594,slab_strength
x4,2.1347663722492753,0.6901819769524652,1.0004541524474573,6562.297020916754,0.008519923052428878,slab_strength
x5,2.093557568484545,0.6843260985427597,1.0001903656341513,6626.585401745224,0.008406557803766732,slab_strength
x0,1.9597615690529346,0.5563492018053454,1.0127892639855176,563.8790169327152,0.02342904045882142,effective_strength
x1,0.00414709512591362,0.07731980527451551,1.0003718656773002,5605.2171134207165,0.0010327484027437717,effective_strength
x2,0.005337471903860569,0.09911889737756427,1.0010191844877794,2542.0101019085064,0.0019659289865051875,effective_strength
x3,2.2134023506730793,0.5595361922615755,1.0028568929158297,311.3959660481015,0.03170820752776594,effective_strength
x4,0.0076285134091973305,0.10280530619400996,1.0003127328294559,3632.4923415874846,0.001705741348593499,effective_strength
x5,0.0117879598736763,0.12902731567077627,1.00056359168908,2185.538550597874,0.0027599577030479666,effective_strength
threshold_0,0.344428561912887,0.475369102351495,1.002766115538085,1902.9402900911484,0.010897286516734264,derived
active_count,2.02335,0.15299002515652965,1.0006209421345937,2745.207333324581,0.0029199508473326252,derived
