target,label,chain,pip
0,unit_rank_1,1,1.0
0,unit_rank_1,2,1.0
0,unit_rank_1,3,1.0
0,unit_rank_1,4,1.0
0,unit_rank_1,pooled,1.0
1,unit_rank_2,1,1.0
1,unit_rank_2,2,1.0
1,unit_rank_2,3,1.0
1,unit_rank_2,4,1.0
1,unit_rank_2,pooled,1.0
2,unit_rank_3,1,0.3856
2,unit_rank_3,2,0.4026
2,unit_rank_3,3,0.4624
2,unit_rank_3,4,0.362
2,unit_rank_3,pooled,0.40315
3,unit_rank_4,1,0.1056
3,unit_rank_4,2,0.1114
3,unit_rank_4,3,0.1226
3,unit_rank_4,4,0.0692
3,unit_rank_4,pooled,0.1022
4,unit_rank_5,1,0.0192
4,unit_rank_5,2,0.0168
4,unit_rank_5,3,0.0166
4,unit_rank_5,4,0.012
4,unit_rank_5,pooled,0.01615
