target,label,chain,pip
0,unit_rank_1,1,1.0
0,unit_rank_1,2,1.0
0,unit_rank_1,3,1.0
0,unit_rank_1,4,1.0
0,unit_rank_1,pooled,1.0
1,unit_rank_2,1,1.0
1,unit_rank_2,2,1.0
1,unit_rank_2,3,1.0
1,unit_rank_2,4,1.0
1,unit_rank_2,pooled,1.0
2,unit_rank_3,1,0.7886
2,unit_rank_3,2,0.8498
2,unit_rank_3,3,0.7814
2,unit_rank_3,4,0.8088
2,unit_rank_3,pooled,0.80715
3,unit_rank_4,1,0.4468
3,unit_rank_4,2,0.5146
3,unit_rank_4,3,0.4298
3,unit_rank_4,4,0.4846
3,unit_rank_4,pooled,0.46895
4,unit_rank_5,1,0.1482
4,unit_rank_5,2,0.1656
4,unit_rank_5,3,0.1392
4,unit_rank_5,4,0.1588
4,unit_rank_5,pooled,0.15295
