target,label,chain,pip
0,unit_rank_1,1,1.0
0,unit_rank_1,2,1.0
0,unit_rank_1,3,1.0
0,unit_rank_1,4,1.0
0,unit_rank_1,pooled,1.0
1,unit_rank_2,1,1.0
1,unit_rank_2,2,1.0
1,unit_rank_2,3,1.0
1,unit_rank_2,4,1.0
1,unit_rank_2,pooled,1.0
2,unit_rank_3,1,0.6828
2,unit_rank_3,2,0.7464
2,unit_rank_3,3,0.7306
2,unit_rank_3,4,0.7274
2,unit_rank_3,pooled,0.7218
3,unit_rank_4,1,0.288
3,unit_rank_4,2,0.361
3,unit_rank_4,3,0.3512
3,unit_rank_4,4,0.356
3,unit_rank_4,pooled,0.33905
4,unit_rank_5,1,0.0638
4,unit_rank_5,2,0.0922
4,unit_rank_5,3,0.0848
4,unit_rank_5,4,0.096
4,unit_rank_5,pooled,0.0842
