branch,head,coupling_layer,target_coord,mean_entropy
shift,1,0,4,0.1946999728679657
shift,1,0,8,1.933487057685852
shift,1,0,9,1.956216812133789
shift,1,0,10,1.2633267641067505
shift,1,0,12,1.6726986169815063
shift,1,0,14,0.7390178442001343
shift,1,0,15,0.6907835006713867
shift,1,0,16,0.909443199634552
shift,1,0,17,1.2041103839874268
shift,1,0,19,0.8389553427696228
shift,1,0,20,1.0717253684997559
shift,1,0,21,0.9879432320594788
shift,1,0,22,0.8249779343605042
shift,1,0,27,2.619431972503662
shift,1,0,29,1.8631691932678223
shift,1,0,30,1.121195912361145
shift,1,0,35,1.3817059993743896
shift,1,0,36,0.9072651267051697
shift,1,0,37,1.929328203201294
shift,1,0,39,0.9378750324249268
shift,1,0,41,0.6172927021980286
shift,1,0,42,1.960392951965332
shift,1,0,45,2.8399949073791504
shift,1,0,47,0.8874306678771973
shift,1,1,0,1.839691400527954
shift,1,1,1,2.6602840423583984
shift,1,1,2,2.7080254554748535
shift,1,1,3,2.8705389499664307
shift,1,1,5,2.495755195617676
shift,1,1,6,2.770771026611328
shift,1,1,7,1.30556321144104
shift,1,1,11,1.4147746562957764
shift,1,1,13,1.9363783597946167
shift,1,1,18,2.882002830505371
shift,1,1,23,2.769545078277588
shift,1,1,24,1.4147495031356812
shift,1,1,25,2.439107656478882
shift,1,1,26,2.8102664947509766
shift,1,1,28,1.6363836526870728
shift,1,1,31,1.313818335533142
shift,1,1,32,0.6795725226402283
shift,1,1,33,2.1906368732452393
shift,1,1,34,1.1370904445648193
shift,1,1,38,2.541499137878418
shift,1,1,40,2.532268762588501
shift,1,1,43,2.0708463191986084
shift,1,1,44,1.2768423557281494
shift,1,1,46,0.5588010549545288
shift,1,2,0,0.4823237359523773
shift,1,2,1,1.731265664100647
shift,1,2,5,2.1771864891052246
shift,1,2,6,2.6687464714050293
shift,1,2,7,0.4239051342010498
shift,1,2,8,2.0294344425201416
shift,1,2,9,2.9201557636260986
shift,1,2,13,0.6844877004623413
shift,1,2,14,2.773510694503784
shift,1,2,17,1.9910928010940552
shift,1,2,19,1.2234368324279785
shift,1,2,21,2.3986895084381104
shift,1,2,22,1.9349713325500488
shift,1,2,23,2.5148727893829346
shift,1,2,27,2.7981503009796143
shift,1,2,31,1.7249821424484253
shift,1,2,33,2.6484556198120117
shift,1,2,34,1.6243127584457397
shift,1,2,35,2.121204137802124
shift,1,2,36,1.1989790201187134
shift,1,2,38,1.4996874332427979
shift,1,2,41,1.1676793098449707
shift,1,2,42,1.5099624395370483
shift,1,2,45,0.9696734547615051
shift,1,3,2,1.2725739479064941
shift,1,3,3,2.423609733581543
shift,1,3,4,0.2793423533439636
shift,1,3,10,1.7916594743728638
