coupling_layer,target_coord,fixed_coord,mean_attention,target_latent_type,fixed_latent_type,target_parameter_type,fixed_parameter_type,target_group,fixed_group,target_unit,fixed_unit,target_layer,fixed_layer,target_side,fixed_side
0,4,0,0.9803891181945801,0,0,3,1,4,0,1,0,1,2,1,4
0,4,1,0.00013657909585162997,0,0,3,3,4,1,1,1,1,1,1,1
0,4,2,0.0007572169415652752,0,0,3,3,4,2,1,1,1,1,1,1
0,4,3,0.00011060277029173449,0,0,3,3,4,3,1,1,1,1,1,1
0,4,5,9.514434168522712e-06,0,0,3,3,4,5,1,1,1,1,1,1
0,4,6,0.00018778612138703465,0,0,3,3,4,6,1,1,1,1,1,1
0,4,7,1.633830470382236e-05,0,0,3,3,4,1,1,2,1,1,1,1
0,4,11,1.1807193232016289e-06,0,0,3,3,4,5,1,2,1,1,1,1
0,4,13,0.0004045704554300755,0,0,3,3,4,1,1,3,1,1,1,1
0,4,18,0.0013024152722209692,0,0,3,3,4,6,1,3,1,1,1,1
0,4,23,1.7952732378034852e-05,0,0,3,3,4,5,1,4,1,1,1,1
0,4,24,0.0008110891212709248,0,0,3,3,4,6,1,4,1,1,1,1
0,4,25,4.703546073869802e-05,0,0,3,3,4,1,1,5,1,1,1,1
0,4,26,0.00015531355165876448,0,0,3,3,4,2,1,5,1,1,1,1
0,4,28,1.6698118997737765e-05,0,0,3,3,4,4,1,5,1,1,1,1
0,4,31,0.00012772959598805755,0,0,3,4,4,1,1,1,1,1,1,1
0,4,32,0.00023557458189316094,0,0,3,4,4,2,1,2,1,1,1,1
0,4,33,0.00041572615737095475,0,0,3,4,4,3,1,3,1,1,1,1
0,4,34,0.0001073169696610421,0,0,3,4,4,4,1,4,1,1,1,1
0,4,38,0.012716678902506828,0,0,3,5,4,3,1,3,1,2,1,2
0,4,40,0.00013066502287983894,0,0,3,5,4,5,1,5,1,2,1,2
0,4,43,2.802720155159477e-05,0,1,3,6,4,3,1,0,1,0,1,1
0,4,44,0.00043311738409101963,0,1,3,6,4,4,1,0,1,0,1,1
0,4,46,0.0014415039913728833,0,1,3,6,4,6,1,0,1,0,1,1
0,8,0,0.33345815539360046,0,0,3,1,2,0,2,0,1,2,1,4
0,8,1,1.1993564839940518e-05,0,0,3,3,2,1,2,1,1,1,1,1
0,8,2,3.725747956195846e-05,0,0,3,3,2,2,2,1,1,1,1,1
0,8,3,7.680269845877774e-06,0,0,3,3,2,3,2,1,1,1,1,1
0,8,5,4.876816888099711e-07,0,0,3,3,2,5,2,1,1,1,1,1
0,8,6,2.7327927455189638e-05,0,0,3,3,2,6,2,1,1,1,1,1
0,8,7,5.553319169848692e-06,0,0,3,3,2,1,2,2,1,1,1,1
0,8,11,2.0299514957855536e-08,0,0,3,3,2,5,2,2,1,1,1,1
0,8,13,0.00023954550852067769,0,0,3,3,2,1,2,3,1,1,1,1
