method,epoch,group_id,selection_type,block,layer,feature,side,pip,gate_mean,margin_mean,margin_sd,slab_norm_mean,slab_norm_median
RaT,2000,0,feature,input,-1,0,input,1.0,0.5333587527275085,1.0984504222869873,0.24318179488182068,2.1633825302124023,2.1450772285461426
RaT,2000,1,feature,input,-1,1,input,0.07020000368356705,0.005468738730996847,-0.7599595189094543,0.5323132872581482,2.076725721359253,2.025420665740967
RaT,2000,2,feature,input,-1,2,input,0.08940000087022781,0.006904883775860071,-0.6860623955726624,0.5090118646621704,2.0759942531585693,2.037670612335205
RaT,2000,3,feature,input,-1,3,input,1.0,0.6477339863777161,1.3861490488052368,0.23197253048419952,2.2701053619384766,2.245375394821167
RaT,2000,4,feature,input,-1,4,input,0.05180000141263008,0.0024238689802587032,-0.801591157913208,0.5403438806533813,2.078857421875,2.034710645675659
RaT,2000,5,feature,input,-1,5,input,0.07320000231266022,0.005539678502827883,-0.7331865429878235,0.5137954354286194,2.05600643157959,2.013598918914795
MCMC,,0,feature,input,-1,0,input,1.0,0.5835376977920532,1.320722222328186,0.557682454586029,2.306359052658081,2.2540812492370605
MCMC,,1,feature,input,-1,1,input,0.22220000624656677,0.01589360274374485,-0.5821683406829834,0.724233865737915,2.0785257816314697,2.0442888736724854
MCMC,,2,feature,input,-1,2,input,0.21439999341964722,0.013039215467870235,-0.5856979489326477,0.7056930065155029,2.0992844104766846,2.061607599258423
MCMC,,3,feature,input,-1,3,input,1.0,0.6324675679206848,1.4472782611846924,0.5397298336029053,2.4547390937805176,2.405679702758789
MCMC,,4,feature,input,-1,4,input,0.2727000117301941,0.026475457474589348,-0.5177072882652283,0.7469002604484558,2.0959293842315674,2.0512049198150635
MCMC,,5,feature,input,-1,5,input,0.26934999227523804,0.027694210410118103,-0.5228676199913025,0.7556600570678711,2.0921032428741455,2.052598714828491
