method,target,pip,expected_active_count
VI,x0,1.0,2.284600019454956
VI,x1,0.07020000368356705,2.284600019454956
VI,x2,0.08940000087022781,2.284600019454956
VI,x3,1.0,2.284600019454956
VI,x4,0.05180000141263008,2.284600019454956
VI,x5,0.07320000231266022,2.284600019454956
matched_MCMC,x0,1.0,2.9786500930786133
matched_MCMC,x1,0.22220000624656677,2.9786500930786133
matched_MCMC,x2,0.21439999341964722,2.9786500930786133
matched_MCMC,x3,1.0,2.9786500930786133
matched_MCMC,x4,0.2727000117301941,2.9786500930786133
matched_MCMC,x5,0.26934999227523804,2.9786500930786133
hard_MCMC,x0,1.0,2.0233500003814697
hard_MCMC,x1,0.0035000001080334187,2.0233500003814697
hard_MCMC,x2,0.003599999938160181,2.0233500003814697
hard_MCMC,x3,1.0,2.0233500003814697
hard_MCMC,x4,0.006500000134110451,2.0233500003814697
hard_MCMC,x5,0.009750000201165676,2.0233500003814697
