branch,head,coupling_layer,target_coord,mean_entropy
shift,1,0,4,2.9239706993103027
shift,1,0,8,2.2921180725097656
shift,1,0,9,2.201718330383301
shift,1,0,10,2.9556918144226074
shift,1,0,12,2.567871570587158
shift,1,0,14,0.18624576926231384
shift,1,0,15,0.5980352759361267
shift,1,0,16,1.3203505277633667
shift,1,0,17,1.5567827224731445
shift,1,0,19,1.963354468345642
shift,1,0,20,0.10361534357070923
shift,1,0,21,1.7495821714401245
shift,1,0,22,2.4742231369018555
shift,1,0,27,2.5690929889678955
shift,1,0,29,2.980851411819458
shift,1,0,30,2.5588767528533936
shift,1,0,35,2.2395009994506836
shift,1,0,36,0.028996765613555908
shift,1,0,37,2.584177255630493
shift,1,0,39,1.9687122106552124
shift,1,0,41,1.914638876914978
shift,1,0,42,2.45646071434021
shift,1,0,45,2.7066407203674316
shift,1,0,47,2.568835496902466
shift,1,1,0,1.7732442617416382
shift,1,1,1,2.4615375995635986
shift,1,1,2,1.5790555477142334
shift,1,1,3,1.5839011669158936
shift,1,1,5,2.6491641998291016
shift,1,1,6,0.9944984316825867
shift,1,1,7,0.9990201592445374
shift,1,1,11,1.1764379739761353
shift,1,1,13,1.9767941236495972
shift,1,1,18,0.978368878364563
shift,1,1,23,1.950648546218872
shift,1,1,24,0.28989771008491516
shift,1,1,25,2.3024566173553467
shift,1,1,26,0.9408555626869202
shift,1,1,28,1.5899502038955688
shift,1,1,31,0.5030146241188049
shift,1,1,32,0.6920409202575684
shift,1,1,33,1.0260646343231201
shift,1,1,34,0.44241267442703247
shift,1,1,38,2.18961238861084
shift,1,1,40,2.205810070037842
shift,1,1,43,1.370489478111267
shift,1,1,44,1.4985568523406982
shift,1,1,46,0.35977885127067566
shift,1,2,0,0.138533815741539
shift,1,2,1,1.771054744720459
shift,1,2,5,1.7047550678253174
shift,1,2,6,1.3918808698654175
shift,1,2,7,0.9387430548667908
shift,1,2,8,2.633533477783203
shift,1,2,9,2.1028828620910645
shift,1,2,13,1.6666734218597412
shift,1,2,14,1.4489519596099854
shift,1,2,17,1.54325270652771
shift,1,2,19,2.2651565074920654
shift,1,2,21,2.052419424057007
shift,1,2,22,1.3980501890182495
shift,1,2,23,1.8050068616867065
shift,1,2,27,2.099336624145508
shift,1,2,31,1.0160473585128784
shift,1,2,33,1.6253877878189087
shift,1,2,34,0.40595176815986633
shift,1,2,35,1.1654160022735596
shift,1,2,36,1.2390186786651611
shift,1,2,38,0.4527473747730255
shift,1,2,41,3.08066463470459
shift,1,2,42,0.7140921354293823
shift,1,2,45,0.3867773413658142
shift,1,3,2,2.2448065280914307
shift,1,3,3,1.7574949264526367
shift,1,3,4,1.5441617965698242
shift,1,3,10,2.6062216758728027
shift,1,3,11,2.390754222869873
shift,1,3,12,1.9269577264785767
shift,1,3,15,2.315255880355835
shift,1,3,16,2.1092689037323
shift,1,3,18,2.3322179317474365
shift,1,3,20,2.15191912651062
shift,1,3,24,2.1561806201934814
shift,1,3,25,1.9994691610336304
shift,1,3,26,1.9980485439300537
shift,1,3,28,1.6372134685516357
shift,1,3,29,2.0633182525634766
shift,1,3,30,1.7829036712646484
shift,1,3,32,2.392643451690674
shift,1,3,37,0.3451350927352905
shift,1,3,39,1.6159430742263794
shift,1,3,40,0.7830488085746765
shift,1,3,43,0.875720202922821
shift,1,3,44,0.15784484148025513
shift,1,3,46,1.0162287950515747
shift,1,3,47,1.3825825452804565
shift,1,4,0,2.1413848400115967
shift,1,4,2,2.317833662033081
