coupling_layer,target_coord,fixed_coord,mean_attention,target_latent_type,fixed_latent_type,target_parameter_type,fixed_parameter_type,target_group,fixed_group,target_unit,fixed_unit,target_layer,fixed_layer,target_side,fixed_side
0,4,0,0.012391708791255951,0,0,3,1,4,0,1,0,1,2,1,4
0,4,1,0.22322329878807068,0,0,3,3,4,1,1,1,1,1,1,1
0,4,2,0.011442714370787144,0,0,3,3,4,2,1,1,1,1,1,1
0,4,3,0.007215102203190327,0,0,3,3,4,3,1,1,1,1,1,1
0,4,5,0.00732056051492691,0,0,3,3,4,5,1,1,1,1,1,1
0,4,6,0.001250671106390655,0,0,3,3,4,6,1,1,1,1,1,1
0,4,7,0.0016030134866014123,0,0,3,3,4,1,1,2,1,1,1,1
0,4,11,0.0031719899270683527,0,0,3,3,4,5,1,2,1,1,1,1
0,4,13,0.0128956763073802,0,0,3,3,4,1,1,3,1,1,1,1
0,4,18,0.000936159398406744,0,0,3,3,4,6,1,3,1,1,1,1
0,4,23,0.001966624055057764,0,0,3,3,4,5,1,4,1,1,1,1
0,4,24,0.002260587178170681,0,0,3,3,4,6,1,4,1,1,1,1
0,4,25,0.006999155972152948,0,0,3,3,4,1,1,5,1,1,1,1
0,4,26,0.0015968969091773033,0,0,3,3,4,2,1,5,1,1,1,1
0,4,28,0.0027692033909261227,0,0,3,3,4,4,1,5,1,1,1,1
0,4,31,0.684313178062439,0,0,3,4,4,1,1,1,1,1,1,1
0,4,32,0.0029349143151193857,0,0,3,4,4,2,1,2,1,1,1,1
0,4,33,0.0013230054173618555,0,0,3,4,4,3,1,3,1,1,1,1
0,4,34,0.00225840718485415,0,0,3,4,4,4,1,4,1,1,1,1
0,4,38,0.003865090198814869,0,0,3,5,4,3,1,3,1,2,1,2
0,4,40,0.0005095989909023046,0,0,3,5,4,5,1,5,1,2,1,2
0,4,43,0.0024324797559529543,0,1,3,6,4,3,1,0,1,0,1,1
0,4,44,0.004219180438667536,0,1,3,6,4,4,1,0,1,0,1,1
0,4,46,0.0011010216549038887,0,1,3,6,4,6,1,0,1,0,1,1
0,8,0,0.5815215110778809,0,0,3,1,2,0,2,0,1,2,1,4
0,8,1,0.047449249774217606,0,0,3,3,2,1,2,1,1,1,1,1
0,8,2,0.08441904187202454,0,0,3,3,2,2,2,1,1,1,1,1
0,8,3,0.009889522567391396,0,0,3,3,2,3,2,1,1,1,1,1
0,8,5,0.010535318404436111,0,0,3,3,2,5,2,1,1,1,1,1
0,8,6,0.012176312506198883,0,0,3,3,2,6,2,1,1,1,1,1
0,8,7,0.030945224687457085,0,0,3,3,2,1,2,2,1,1,1,1
0,8,11,0.04057072103023529,0,0,3,3,2,5,2,2,1,1,1,1
0,8,13,0.07526330649852753,0,0,3,3,2,1,2,3,1,1,1,1
0,8,18,0.026411235332489014,0,0,3,3,2,6,2,3,1,1,1,1
0,8,23,0.029529480263590813,0,0,3,3,2,5,2,4,1,1,1,1
0,8,24,0.016593508422374725,0,0,3,3,2,6,2,4,1,1,1,1
0,8,25,0.0037479170132428408,0,0,3,3,2,1,2,5,1,1,1,1
0,8,26,0.013084680773317814,0,0,3,3,2,2,2,5,1,1,1,1
0,8,28,0.0032423390075564384,0,0,3,3,2,4,2,5,1,1,1,1
0,8,31,0.0021709133870899677,0,0,3,4,2,1,2,1,1,1,1,1
0,8,32,0.0032845321111381054,0,0,3,4,2,2,2,2,1,1,1,1
0,8,33,9.822686843108386e-05,0,0,3,4,2,3,2,3,1,1,1,1
0,8,34,0.0006639065104536712,0,0,3,4,2,4,2,4,1,1,1,1
0,8,38,3.587966421036981e-05,0,0,3,5,2,3,2,3,1,2,1,2
0,8,40,2.6493342375033535e-05,0,0,3,5,2,5,2,5,1,2,1,2
0,8,43,0.00037957457243464887,0,1,3,6,2,3,2,0,1,0,1,1
0,8,44,0.006683983374387026,0,1,3,6,2,4,2,0,1,0,1,1
0,8,46,0.0012772924965247512,0,1,3,6,2,6,2,0,1,0,1,1
0,9,0,0.41391608119010925,0,0,3,1,3,0,2,0,1,2,1,4
0,9,1,0.0011142559815198183,0,0,3,3,3,1,2,1,1,1,1,1
0,9,2,0.06704777479171753,0,0,3,3,3,2,2,1,1,1,1,1
0,9,3,0.007873352617025375,0,0,3,3,3,3,2,1,1,1,1,1
0,9,5,0.011028159409761429,0,0,3,3,3,5,2,1,1,1,1,1
0,9,6,0.008189812302589417,0,0,3,3,3,6,2,1,1,1,1,1
0,9,7,0.023121338337659836,0,0,3,3,3,1,2,2,1,1,1,1
0,9,11,0.07736086845397949,0,0,3,3,3,5,2,2,1,1,1,1
0,9,13,0.11933786422014236,0,0,3,3,3,1,2,3,1,1,1,1
0,9,18,0.0957021564245224,0,0,3,3,3,6,2,3,1,1,1,1
0,9,23,0.015655940398573875,0,0,3,3,3,5,2,4,1,1,1,1
0,9,24,0.02591039054095745,0,0,3,3,3,6,2,4,1,1,1,1
0,9,25,0.003315277397632599,0,0,3,3,3,1,2,5,1,1,1,1
0,9,26,0.06425721198320389,0,0,3,3,3,2,2,5,1,1,1,1
0,9,28,0.010307391174137592,0,0,3,3,3,4,2,5,1,1,1,1
0,9,31,0.00025286394520662725,0,0,3,4,3,1,2,1,1,1,1,1
0,9,32,0.00979534536600113,0,0,3,4,3,2,2,2,1,1,1,1
0,9,33,0.0064194281585514545,0,0,3,4,3,3,2,3,1,1,1,1
0,9,34,0.00394053291529417,0,0,3,4,3,4,2,4,1,1,1,1
0,9,38,0.0013461867347359657,0,0,3,5,3,3,2,3,1,2,1,2
0,9,40,0.001015756744891405,0,0,3,5,3,5,2,5,1,2,1,2
0,9,43,0.003783490275964141,0,1,3,6,3,3,2,0,1,0,1,1
0,9,44,0.026906078681349754,0,1,3,6,3,4,2,0,1,0,1,1
0,9,46,0.0024024234153330326,0,1,3,6,3,6,2,0,1,0,1,1
0,10,0,0.3832393288612366,0,0,3,1,4,0,2,0,1,2,1,4
0,10,1,0.013502218760550022,0,0,3,3,4,1,2,1,1,1,1,1
0,10,2,0.0616120882332325,0,0,3,3,4,2,2,1,1,1,1,1
0,10,3,0.01644578017294407,0,0,3,3,4,3,2,1,1,1,1,1
0,10,5,0.013994690030813217,0,0,3,3,4,5,2,1,1,1,1,1
0,10,6,0.0016191506292670965,0,0,3,3,4,6,2,1,1,1,1,1
0,10,7,0.006138040218502283,0,0,3,3,4,1,2,2,1,1,1,1
0,10,11,0.03104802593588829,0,0,3,3,4,5,2,2,1,1,1,1
0,10,13,0.09594834595918655,0,0,3,3,4,1,2,3,1,1,1,1
0,10,18,0.052607983350753784,0,0,3,3,4,6,2,3,1,1,1,1
0,10,23,0.02849467843770981,0,0,3,3,4,5,2,4,1,1,1,1
0,10,24,0.02618633210659027,0,0,3,3,4,6,2,4,1,1,1,1
0,10,25,0.010721970349550247,0,0,3,3,4,1,2,5,1,1,1,1
0,10,26,0.043990667909383774,0,0,3,3,4,2,2,5,1,1,1,1
0,10,28,0.009601115249097347,0,0,3,3,4,4,2,5,1,1,1,1
0,10,31,0.01833966001868248,0,0,3,4,4,1,2,1,1,1,1,1
0,10,32,0.02065565623342991,0,0,3,4,4,2,2,2,1,1,1,1
0,10,33,0.025594081729650497,0,0,3,4,4,3,2,3,1,1,1,1
0,10,34,0.010610961355268955,0,0,3,4,4,4,2,4,1,1,1,1
0,10,38,0.03890758380293846,0,0,3,5,4,3,2,3,1,2,1,2
0,10,40,0.006968603935092688,0,0,3,5,4,5,2,5,1,2,1,2
0,10,43,0.02715042233467102,0,1,3,6,4,3,2,0,1,0,1,1
0,10,44,0.051051001995801926,0,1,3,6,4,4,2,0,1,0,1,1
0,10,46,0.0055714682675898075,0,1,3,6,4,6,2,0,1,0,1,1
0,12,0,0.5429384112358093,0,0,3,1,6,0,2,0,1,2,1,4
0,12,1,0.00167797040194273,0,0,3,3,6,1,2,1,1,1,1,1
0,12,2,0.05499652400612831,0,0,3,3,6,2,2,1,1,1,1,1
0,12,3,0.0052053541876375675,0,0,3,3,6,3,2,1,1,1,1,1
0,12,5,0.009021326899528503,0,0,3,3,6,5,2,1,1,1,1,1
0,12,6,0.0032363098580390215,0,0,3,3,6,6,2,1,1,1,1,1
0,12,7,0.010467611253261566,0,0,3,3,6,1,2,2,1,1,1,1
0,12,11,0.09255258738994598,0,0,3,3,6,5,2,2,1,1,1,1
0,12,13,0.08117429912090302,0,0,3,3,6,1,2,3,1,1,1,1
0,12,18,0.049196548759937286,0,0,3,3,6,6,2,3,1,1,1,1
0,12,23,0.017627455294132233,0,0,3,3,6,5,2,4,1,1,1,1
0,12,24,0.019617173820734024,0,0,3,3,6,6,2,4,1,1,1,1
0,12,25,0.001810368848964572,0,0,3,3,6,1,2,5,1,1,1,1
0,12,26,0.05255737900733948,0,0,3,3,6,2,2,5,1,1,1,1
0,12,28,0.008418354205787182,0,0,3,3,6,4,2,5,1,1,1,1
0,12,31,0.0008815015316940844,0,0,3,4,6,1,2,1,1,1,1,1
0,12,32,0.01846337504684925,0,0,3,4,6,2,2,2,1,1,1,1
0,12,33,0.006558914203196764,0,0,3,4,6,3,2,3,1,1,1,1
0,12,34,0.0035537597723305225,0,0,3,4,6,4,2,4,1,1,1,1
0,12,38,0.0010312602389603853,0,0,3,5,6,3,2,3,1,2,1,2
0,12,40,0.0007325238548219204,0,0,3,5,6,5,2,5,1,2,1,2
0,12,43,0.0032219139393419027,0,1,3,6,6,3,2,0,1,0,1,1
0,12,44,0.014231402426958084,0,1,3,6,6,4,2,0,1,0,1,1
0,12,46,0.0008275930304080248,0,1,3,6,6,6,2,0,1,0,1,1
0,14,0,0.5269437432289124,0,0,3,1,2,0,3,0,1,2,1,4
0,14,1,0.17226642370224,0,0,3,3,2,1,3,1,1,1,1,1
0,14,2,0.054543156176805496,0,0,3,3,2,2,3,1,1,1,1,1
0,14,3,0.021511191502213478,0,0,3,3,2,3,3,1,1,1,1,1
0,14,5,0.007089913822710514,0,0,3,3,2,5,3,1,1,1,1,1
0,14,6,0.03827787563204765,0,0,3,3,2,6,3,1,1,1,1,1
0,14,7,0.051298364996910095,0,0,3,3,2,1,3,2,1,1,1,1
0,14,11,0.020632976666092873,0,0,3,3,2,5,3,2,1,1,1,1
0,14,13,0.0015827983152121305,0,0,3,3,2,1,3,3,1,1,1,1
0,14,18,0.0005796457990072668,0,0,3,3,2,6,3,3,1,1,1,1
0,14,23,0.00040729730972088873,0,0,3,3,2,5,3,4,1,1,1,1
0,14,24,0.002647273475304246,0,0,3,3,2,6,3,4,1,1,1,1
0,14,25,0.0026159705594182014,0,0,3,3,2,1,3,5,1,1,1,1
0,14,26,0.006950012873858213,0,0,3,3,2,2,3,5,1,1,1,1
0,14,28,0.02004328928887844,0,0,3,3,2,4,3,5,1,1,1,1
0,14,31,0.02102622389793396,0,0,3,4,2,1,3,1,1,1,1,1
0,14,32,0.023131651803851128,0,0,3,4,2,2,3,2,1,1,1,1
0,14,33,0.0002765725366771221,0,0,3,4,2,3,3,3,1,1,1,1
0,14,34,0.0003417175030335784,0,0,3,4,2,4,3,4,1,1,1,1
0,14,38,5.044584395363927e-05,0,0,3,5,2,3,3,3,1,2,1,2
0,14,40,4.586582872434519e-05,0,0,3,5,2,5,3,5,1,2,1,2
0,14,43,0.004108148626983166,0,1,3,6,2,3,3,0,1,0,1,1
0,14,44,0.018018288537859917,0,1,3,6,2,4,3,0,1,0,1,1
0,14,46,0.005611204542219639,0,1,3,6,2,6,3,0,1,0,1,1
0,15,0,0.6411903500556946,0,0,3,1,3,0,3,0,1,2,1,4
0,15,1,0.07829847186803818,0,0,3,3,3,1,3,1,1,1,1,1
0,15,2,0.052959226071834564,0,0,3,3,3,2,3,1,1,1,1,1
0,15,3,0.010399512015283108,0,0,3,3,3,3,3,1,1,1,1,1
0,15,5,0.013249712996184826,0,0,3,3,3,5,3,1,1,1,1,1
0,15,6,0.016916761174798012,0,0,3,3,3,6,3,1,1,1,1,1
0,15,7,0.0051887244917452335,0,0,3,3,3,1,3,2,1,1,1,1
0,15,11,0.010506100952625275,0,0,3,3,3,5,3,2,1,1,1,1
0,15,13,0.011406072415411472,0,0,3,3,3,1,3,3,1,1,1,1
0,15,18,0.006649268325418234,0,0,3,3,3,6,3,3,1,1,1,1
0,15,23,0.0037976279854774475,0,0,3,3,3,5,3,4,1,1,1,1
0,15,24,0.003475135425105691,0,0,3,3,3,6,3,4,1,1,1,1
0,15,25,0.011472695507109165,0,0,3,3,3,1,3,5,1,1,1,1
0,15,26,0.015633897855877876,0,0,3,3,3,2,3,5,1,1,1,1
0,15,28,0.046227339655160904,0,0,3,3,3,4,3,5,1,1,1,1
0,15,31,0.022422948852181435,0,0,3,4,3,1,3,1,1,1,1,1
0,15,32,0.016788357868790627,0,0,3,4,3,2,3,2,1,1,1,1
0,15,33,0.013343221507966518,0,0,3,4,3,3,3,3,1,1,1,1
0,15,34,0.0015519827138632536,0,0,3,4,3,4,3,4,1,1,1,1
0,15,38,0.002418216085061431,0,0,3,5,3,3,3,3,1,2,1,2
0,15,40,0.0018816019874066114,0,0,3,5,3,5,3,5,1,2,1,2
0,15,43,0.0021499681752175093,0,1,3,6,3,3,3,0,1,0,1,1
0,15,44,0.008735964074730873,0,1,3,6,3,4,3,0,1,0,1,1
0,15,46,0.003336649388074875,0,1,3,6,3,6,3,0,1,0,1,1
0,16,0,0.028023038059473038,0,0,3,1,4,0,3,0,1,2,1,4
0,16,1,0.7051545977592468,0,0,3,3,4,1,3,1,1,1,1,1
0,16,2,0.00996546819806099,0,0,3,3,4,2,3,1,1,1,1,1
0,16,3,0.004609627649188042,0,0,3,3,4,3,3,1,1,1,1,1
0,16,5,0.0033424634020775557,0,0,3,3,4,5,3,1,1,1,1,1
0,16,6,0.002201536437496543,0,0,3,3,4,6,3,1,1,1,1,1
0,16,7,0.0012224855599924922,0,0,3,3,4,1,3,2,1,1,1,1
0,16,11,0.0005987011827528477,0,0,3,3,4,5,3,2,1,1,1,1
0,16,13,0.0030715966131538153,0,0,3,3,4,1,3,3,1,1,1,1
0,16,18,0.0003035454428754747,0,0,3,3,4,6,3,3,1,1,1,1
0,16,23,0.00033368190634064376,0,0,3,3,4,5,3,4,1,1,1,1
0,16,24,0.0007449262775480747,0,0,3,3,4,6,3,4,1,1,1,1
0,16,25,0.007657359819859266,0,0,3,3,4,1,3,5,1,1,1,1
0,16,26,0.0004877478932030499,0,0,3,3,4,2,3,5,1,1,1,1
0,16,28,0.001503903535194695,0,0,3,3,4,4,3,5,1,1,1,1
0,16,31,0.22609943151474,0,0,3,4,4,1,3,1,1,1,1,1
0,16,32,0.00038301647873595357,0,0,3,4,4,2,3,2,1,1,1,1
0,16,33,6.594441219931468e-05,0,0,3,4,4,3,3,3,1,1,1,1
0,16,34,0.00015620577323716134,0,0,3,4,4,4,3,4,1,1,1,1
0,16,38,0.0003429206262808293,0,0,3,5,4,3,3,3,1,2,1,2
0,16,40,4.569012889987789e-05,0,0,3,5,4,5,3,5,1,2,1,2
0,16,43,0.00041159780812449753,0,1,3,6,4,3,3,0,1,0,1,1
0,16,44,0.0018995781429111958,0,1,3,6,4,4,3,0,1,0,1,1
0,16,46,0.0013752228114753962,0,1,3,6,4,6,3,0,1,0,1,1
0,17,0,0.49100732803344727,0,0,3,1,5,0,3,0,1,2,1,4
0,17,1,0.12434498965740204,0,0,3,3,5,1,3,1,1,1,1,1
0,17,2,0.08163019269704819,0,0,3,3,5,2,3,1,1,1,1,1
0,17,3,0.007980365306138992,0,0,3,3,5,3,3,1,1,1,1,1
0,17,5,0.021635103970766068,0,0,3,3,5,5,3,1,1,1,1,1
0,17,6,0.015642069280147552,0,0,3,3,5,6,3,1,1,1,1,1
0,17,7,0.00842534750699997,0,0,3,3,5,1,3,2,1,1,1,1
0,17,11,0.016794128343462944,0,0,3,3,5,5,3,2,1,1,1,1
0,17,13,0.07226579636335373,0,0,3,3,5,1,3,3,1,1,1,1
0,17,18,0.01650845818221569,0,0,3,3,5,6,3,3,1,1,1,1
0,17,23,0.012262405827641487,0,0,3,3,5,5,3,4,1,1,1,1
0,17,24,0.004626944661140442,0,0,3,3,5,6,3,4,1,1,1,1
