coupling_layer,target_coord,fixed_coord,mean_attention,target_latent_type,fixed_latent_type,target_parameter_type,fixed_parameter_type,target_group,fixed_group,target_unit,fixed_unit,target_layer,fixed_layer,target_side,fixed_side
0,4,0,0.0716773048043251,0,0,3,1,4,0,1,0,1,2,1,4
0,4,1,0.0034608799032866955,0,0,3,3,4,1,1,1,1,1,1,1
0,4,2,0.002088821493089199,0,0,3,3,4,2,1,1,1,1,1,1
0,4,3,0.0005231534596532583,0,0,3,3,4,3,1,1,1,1,1,1
0,4,5,3.3972584787989035e-05,0,0,3,3,4,5,1,1,1,1,1,1
0,4,6,0.0008767360704950988,0,0,3,3,4,6,1,1,1,1,1,1
0,4,7,0.0009003381710499525,0,0,3,3,4,1,1,2,1,1,1,1
0,4,11,7.1752774601918645e-06,0,0,3,3,4,5,1,2,1,1,1,1
0,4,13,0.006713843904435635,0,0,3,3,4,1,1,3,1,1,1,1
0,4,18,0.00794906821101904,0,0,3,3,4,6,1,3,1,1,1,1
0,4,23,0.0002229874226031825,0,0,3,3,4,5,1,4,1,1,1,1
0,4,24,0.006805232260376215,0,0,3,3,4,6,1,4,1,1,1,1
0,4,25,0.0006755258073098958,0,0,3,3,4,1,1,5,1,1,1,1
0,4,26,0.0006604246445931494,0,0,3,3,4,2,1,5,1,1,1,1
0,4,28,0.00013797871361020952,0,0,3,3,4,4,1,5,1,1,1,1
0,4,31,0.007024555001407862,0,0,3,4,4,1,1,1,1,1,1,1
0,4,32,0.0021895919926464558,0,0,3,4,4,2,1,2,1,1,1,1
0,4,33,0.010032975114881992,0,0,3,4,4,3,1,3,1,1,1,1
0,4,34,0.006084036082029343,0,0,3,4,4,4,1,4,1,1,1,1
0,4,38,0.029318783432245255,0,0,3,5,4,3,1,3,1,2,1,2
0,4,40,7.258264668053016e-05,0,0,3,5,4,5,1,5,1,2,1,2
0,4,43,0.016920117661356926,0,1,3,6,4,3,1,0,1,0,1,1
0,4,44,0.03823899105191231,0,1,3,6,4,4,1,0,1,0,1,1
0,4,46,0.7873842716217041,0,1,3,6,4,6,1,0,1,0,1,1
0,8,0,0.8139487504959106,0,0,3,1,2,0,2,0,1,2,1,4
0,8,1,2.688776703507756e-06,0,0,3,3,2,1,2,1,1,1,1,1
0,8,2,1.6235950170084834e-05,0,0,3,3,2,2,2,1,1,1,1,1
0,8,3,8.594358405389357e-06,0,0,3,3,2,3,2,1,1,1,1,1
0,8,5,1.236526259162929e-07,0,0,3,3,2,5,2,1,1,1,1,1
0,8,6,2.7958338250755332e-05,0,0,3,3,2,6,2,1,1,1,1,1
0,8,7,5.690118541679112e-06,0,0,3,3,2,1,2,2,1,1,1,1
0,8,11,6.58888268390001e-08,0,0,3,3,2,5,2,2,1,1,1,1
0,8,13,4.109909241378773e-06,0,0,3,3,2,1,2,3,1,1,1,1
0,8,18,2.5667715817689896e-05,0,0,3,3,2,6,2,3,1,1,1,1
0,8,23,1.6297338589765786e-08,0,0,3,3,2,5,2,4,1,1,1,1
0,8,24,2.0291614418965764e-05,0,0,3,3,2,6,2,4,1,1,1,1
0,8,25,1.432227463737945e-06,0,0,3,3,2,1,2,5,1,1,1,1
0,8,26,0.00016120927466545254,0,0,3,3,2,2,2,5,1,1,1,1
0,8,28,1.4601004295400344e-05,0,0,3,3,2,4,2,5,1,1,1,1
0,8,31,0.0001652050850680098,0,0,3,4,2,1,2,1,1,1,1,1
0,8,32,0.020688297227025032,0,0,3,4,2,2,2,2,1,1,1,1
0,8,33,0.0025176680646836758,0,0,3,4,2,3,2,3,1,1,1,1
0,8,34,1.3181077520130202e-05,0,0,3,4,2,4,2,4,1,1,1,1
0,8,38,0.08772192150354385,0,0,3,5,2,3,2,3,1,2,1,2
0,8,40,6.209280400071293e-05,0,0,3,5,2,5,2,5,1,2,1,2
0,8,43,0.0011225927155464888,0,1,3,6,2,3,2,0,1,0,1,1
0,8,44,0.018265411257743835,0,1,3,6,2,4,2,0,1,0,1,1
0,8,46,0.05520656704902649,0,1,3,6,2,6,2,0,1,0,1,1
0,9,0,0.3024351894855499,0,0,3,1,3,0,2,0,1,2,1,4
0,9,1,7.452484169334639e-06,0,0,3,3,3,1,2,1,1,1,1,1
0,9,2,3.755738725885749e-05,0,0,3,3,3,2,2,1,1,1,1,1
0,9,3,7.643336175533477e-06,0,0,3,3,3,3,2,1,1,1,1,1
0,9,5,4.944921556671034e-07,0,0,3,3,3,5,2,1,1,1,1,1
0,9,6,2.5219731469405815e-05,0,0,3,3,3,6,2,1,1,1,1,1
0,9,7,3.0655739919893676e-06,0,0,3,3,3,1,2,2,1,1,1,1
0,9,11,4.201899628242245e-08,0,0,3,3,3,5,2,2,1,1,1,1
0,9,13,2.9908424039604142e-05,0,0,3,3,3,1,2,3,1,1,1,1
0,9,18,0.0002081920683849603,0,0,3,3,3,6,2,3,1,1,1,1
0,9,23,2.2618159789544734e-07,0,0,3,3,3,5,2,4,1,1,1,1
0,9,24,1.1663189070532098e-05,0,0,3,3,3,6,2,4,1,1,1,1
0,9,25,2.220279748144094e-05,0,0,3,3,3,1,2,5,1,1,1,1
