method,epoch,group_id,selection_type,block,layer,feature,side,pip,gate_mean,margin_mean,margin_sd,slab_norm_mean,slab_norm_median
RaT,2000,0,feature,input,-1,0,input,1.0,0.5543139576911926,1.1638249158859253,0.31532835960388184,2.1440954208374023,2.1187894344329834
RaT,2000,1,feature,input,-1,1,input,0.06560000032186508,0.001739957951940596,-0.7945566773414612,0.6414864659309387,2.018573045730591,1.9887853860855103
RaT,2000,2,feature,input,-1,2,input,0.09880000352859497,0.0025550974532961845,-0.6725217700004578,0.590262234210968,2.0611789226531982,2.0419538021087646
RaT,2000,3,feature,input,-1,3,input,1.0,0.6750180721282959,1.504958152770996,0.34806469082832336,2.346320390701294,2.334218978881836
RaT,2000,4,feature,input,-1,4,input,0.10119999945163727,0.003217375138774514,-0.6882109642028809,0.6136290431022644,2.0831186771392822,2.0707712173461914
RaT,2000,5,feature,input,-1,5,input,0.07039999961853027,0.0017815973842516541,-0.722365140914917,0.5717184543609619,2.0400965213775635,2.0169646739959717
MCMC,,0,feature,input,-1,0,input,1.0,0.5835376977920532,1.320722222328186,0.557682454586029,2.306359052658081,2.2540812492370605
MCMC,,1,feature,input,-1,1,input,0.22220000624656677,0.01589360274374485,-0.5821683406829834,0.724233865737915,2.0785257816314697,2.0442888736724854
MCMC,,2,feature,input,-1,2,input,0.21439999341964722,0.013039215467870235,-0.5856979489326477,0.7056930065155029,2.0992844104766846,2.061607599258423
MCMC,,3,feature,input,-1,3,input,1.0,0.6324675679206848,1.4472782611846924,0.5397298336029053,2.4547390937805176,2.405679702758789
MCMC,,4,feature,input,-1,4,input,0.2727000117301941,0.026475457474589348,-0.5177072882652283,0.7469002604484558,2.0959293842315674,2.0512049198150635
MCMC,,5,feature,input,-1,5,input,0.26934999227523804,0.027694210410118103,-0.5228676199913025,0.7556600570678711,2.0921032428741455,2.052598714828491
