method,epoch,group_id,selection_type,block,layer,feature,side,pip,gate_mean,margin_mean,margin_sd,slab_norm_mean,slab_norm_median
RaT,1,0,feature,input,-1,0,input,0.46799999475479126,0.10988424718379974,-0.026404935866594315,0.6827513575553894,1.0508352518081665,1.0276395082473755
RaT,1,1,feature,input,-1,1,input,0.49799999594688416,0.11028001457452774,-0.003665897296741605,0.6642103791236877,1.064894676208496,1.045880675315857
RaT,1,2,feature,input,-1,2,input,0.5009999871253967,0.11716823279857635,0.008506817743182182,0.6723873615264893,1.058553695678711,1.0232739448547363
RaT,1,3,feature,input,-1,3,input,0.5379999876022339,0.12112045288085938,0.05891098827123642,0.6337748169898987,1.0661354064941406,1.0492258071899414
RaT,1,4,feature,input,-1,4,input,0.5139999985694885,0.12278587371110916,0.03372753784060478,0.6798288226127625,1.0589255094528198,1.0207304954528809
RaT,1,5,feature,input,-1,5,input,0.527999997138977,0.11880870163440704,0.03128835931420326,0.6577141284942627,1.0697537660598755,1.0598050355911255
RaT,250,0,feature,input,-1,0,input,0.5139999985694885,0.22874762117862701,0.0311173964291811,1.3125051259994507,2.62581729888916,2.59380841255188
RaT,250,1,feature,input,-1,1,input,0.5230000019073486,0.23457714915275574,0.07509084045886993,1.3193694353103638,1.3813387155532837,1.3598060607910156
RaT,250,2,feature,input,-1,2,input,0.4830000102519989,0.22162246704101562,0.01614474691450596,1.317250370979309,1.3543211221694946,1.3185893297195435
RaT,250,3,feature,input,-1,3,input,0.5,0.21927987039089203,0.03168868646025658,1.2795634269714355,2.8827383518218994,2.856109380722046
RaT,250,4,feature,input,-1,4,input,0.5049999952316284,0.22414852678775787,0.019952699542045593,1.3000260591506958,1.3756165504455566,1.3326247930526733
RaT,250,5,feature,input,-1,5,input,0.5199999809265137,0.24154463410377502,0.08489641547203064,1.3655632734298706,1.3485606908798218,1.301830768585205
RaT,500,0,feature,input,-1,0,input,0.48399999737739563,0.20480959117412567,-0.05671258643269539,1.2921420335769653,2.66749906539917,2.6362552642822266
RaT,500,1,feature,input,-1,1,input,0.46799999475479126,0.20707644522190094,-0.04585322365164757,1.3446329832077026,1.4568229913711548,1.4145885705947876
RaT,500,2,feature,input,-1,2,input,0.4880000054836273,0.2101692259311676,-0.005043562036007643,1.2810571193695068,1.3774739503860474,1.377243161201477
RaT,500,3,feature,input,-1,3,input,0.48500001430511475,0.2164488285779953,-0.0005976124084554613,1.3109735250473022,2.841488838195801,2.811898708343506
RaT,500,4,feature,input,-1,4,input,0.4860000014305115,0.21814002096652985,-0.03372810781002045,1.3478052616119385,1.4551910161972046,1.3885409832000732
RaT,500,5,feature,input,-1,5,input,0.48399999737739563,0.21099793910980225,-0.007547739893198013,1.2728660106658936,1.4319287538528442,1.3975427150726318
RaT,750,0,feature,input,-1,0,input,1.0,0.7034884095191956,1.6072825193405151,0.35395723581314087,2.346418857574463,2.3278849124908447
RaT,750,1,feature,input,-1,1,input,0.20900000631809235,0.012124944478273392,-0.4929202198982239,0.5773868560791016,2.0481746196746826,2.035808801651001
RaT,750,2,feature,input,-1,2,input,0.1979999989271164,0.009620611555874348,-0.5067474246025085,0.5744917988777161,2.046602487564087,2.0340781211853027
RaT,750,3,feature,input,-1,3,input,1.0,0.7508138418197632,1.810806393623352,0.3763722777366638,2.4765896797180176,2.467090368270874
RaT,750,4,feature,input,-1,4,input,0.17499999701976776,0.010368368588387966,-0.5943243503570557,0.6139764189720154,1.9781631231307983,1.9672669172286987
RaT,750,5,feature,input,-1,5,input,0.25200000405311584,0.01624957099556923,-0.43918147683143616,0.57932448387146,2.0707037448883057,2.0692670345306396
RaT,1000,0,feature,input,-1,0,input,1.0,0.634238600730896,1.3777586221694946,0.3425014019012451,2.252305746078491,2.211754322052002
RaT,1000,1,feature,input,-1,1,input,0.17399999499320984,0.008256672881543636,-0.6509580016136169,0.6613335013389587,2.027071237564087,2.020069122314453
RaT,1000,2,feature,input,-1,2,input,0.17599999904632568,0.005873251706361771,-0.5813778638839722,0.594608724117279,2.0626773834228516,2.0075743198394775
RaT,1000,3,feature,input,-1,3,input,1.0,0.71346116065979,1.6423600912094116,0.3490636944770813,2.358051300048828,2.336074113845825
RaT,1000,4,feature,input,-1,4,input,0.19300000369548798,0.01099378615617752,-0.5882295966148376,0.6289462447166443,2.0658648014068604,2.0450260639190674
RaT,1000,5,feature,input,-1,5,input,0.15700000524520874,0.005782327614724636,-0.5931214690208435,0.5914059281349182,2.020947217941284,1.9955826997756958
RaT,1250,0,feature,input,-1,0,input,1.0,0.6039875745773315,1.2952629327774048,0.34365731477737427,2.192570209503174,2.1631453037261963
RaT,1250,1,feature,input,-1,1,input,0.1340000033378601,0.0047485665418207645,-0.6596064567565918,0.6226264834403992,2.0114216804504395,1.9959520101547241
RaT,1250,2,feature,input,-1,2,input,0.14100000262260437,0.0039042672142386436,-0.6373677253723145,0.6119535565376282,2.0461947917938232,2.0446746349334717
RaT,1250,3,feature,input,-1,3,input,1.0,0.6970062851905823,1.5793312788009644,0.34096619486808777,2.3381643295288086,2.319176197052002
RaT,1250,4,feature,input,-1,4,input,0.1080000028014183,0.002468512626364827,-0.7229217290878296,0.6336835622787476,2.094433546066284,2.0795412063598633
RaT,1250,5,feature,input,-1,5,input,0.12999999523162842,0.0032274643890559673,-0.6125750541687012,0.5735263228416443,2.00824236869812,1.963754415512085
RaT,1500,0,feature,input,-1,0,input,1.0,0.5916697978973389,1.2656058073043823,0.3525407314300537,2.184978485107422,2.1578285694122314
RaT,1500,1,feature,input,-1,1,input,0.17299999296665192,0.006118529010564089,-0.5353748798370361,0.5689981579780579,1.9954801797866821,1.9257121086120605
RaT,1500,2,feature,input,-1,2,input,0.16200000047683716,0.005608130246400833,-0.5829713344573975,0.5939092040061951,2.008843421936035,1.9627501964569092
RaT,1500,3,feature,input,-1,3,input,1.0,0.6995319724082947,1.590702772140503,0.3486178517341614,2.2768642902374268,2.25964617729187
RaT,1500,4,feature,input,-1,4,input,0.1770000010728836,0.007693975232541561,-0.5305866599082947,0.5844104290008545,2.082935094833374,2.0732219219207764
RaT,1500,5,feature,input,-1,5,input,0.10000000149011612,0.0028480032924562693,-0.6657729744911194,0.5802529454231262,2.0803558826446533,2.052689552307129
RaT,1750,0,feature,input,-1,0,input,1.0,0.5609505772590637,1.180120587348938,0.3169383406639099,2.2245209217071533,2.1836295127868652
RaT,1750,1,feature,input,-1,1,input,0.11500000208616257,0.0046288613229990005,-0.6571237444877625,0.602881133556366,2.0285770893096924,2.0188093185424805
RaT,1750,2,feature,input,-1,2,input,0.15000000596046448,0.005143681075423956,-0.6203901767730713,0.6092277765274048,2.0341718196868896,1.9996705055236816
