branch,head,coupling_layer,target_coord,mean_entropy
shift,1,0,4,0.6827695369720459
shift,1,0,8,0.249205082654953
shift,1,0,9,1.3910373449325562
shift,1,0,10,0.8059478402137756
shift,1,0,12,0.0778399184346199
shift,1,0,14,0.33947694301605225
shift,1,0,15,0.8019770383834839
shift,1,0,16,0.21289974451065063
shift,1,0,17,0.9344051480293274
shift,1,0,19,0.061980240046978
shift,1,0,20,0.7512969374656677
shift,1,0,21,0.7465009689331055
shift,1,0,22,0.3822697699069977
shift,1,0,27,1.8850290775299072
shift,1,0,29,0.22118355333805084
shift,1,0,30,0.031323421746492386
shift,1,0,35,0.10822892934083939
shift,1,0,36,0.992777407169342
shift,1,0,37,1.4870216846466064
shift,1,0,39,1.0362342596054077
shift,1,0,41,0.4717162251472473
shift,1,0,42,1.0720490217208862
shift,1,0,45,0.7525863647460938
shift,1,0,47,2.3056206703186035
shift,1,1,0,1.9878708124160767
shift,1,1,1,1.5348491668701172
shift,1,1,2,2.017364978790283
shift,1,1,3,1.5013742446899414
shift,1,1,5,1.6855517625808716
shift,1,1,6,1.9497694969177246
shift,1,1,7,1.018052577972412
shift,1,1,11,1.3702391386032104
shift,1,1,13,0.7992586493492126
shift,1,1,18,0.7798306941986084
shift,1,1,23,1.2034952640533447
shift,1,1,24,1.7035402059555054
shift,1,1,25,0.7763214111328125
shift,1,1,26,0.8402353525161743
shift,1,1,28,0.7681640982627869
shift,1,1,31,1.075793743133545
shift,1,1,32,2.3599600791931152
shift,1,1,33,0.7603777050971985
shift,1,1,34,1.2910027503967285
shift,1,1,38,1.1574724912643433
shift,1,1,40,1.6733922958374023
shift,1,1,43,1.5335419178009033
shift,1,1,44,0.8676173090934753
shift,1,1,46,1.3126686811447144
shift,1,2,0,0.3658573031425476
shift,1,2,1,2.2521519660949707
shift,1,2,5,2.6690292358398438
shift,1,2,6,2.650264263153076
shift,1,2,7,2.6762895584106445
shift,1,2,8,2.196492910385132
shift,1,2,9,2.8509721755981445
shift,1,2,13,2.3135604858398438
shift,1,2,14,1.0540717840194702
shift,1,2,17,2.5055692195892334
shift,1,2,19,2.208604574203491
shift,1,2,21,2.847931146621704
shift,1,2,22,2.0138251781463623
shift,1,2,23,2.6929454803466797
shift,1,2,27,2.708653211593628
shift,1,2,31,2.7226109504699707
shift,1,2,33,2.826918601989746
shift,1,2,34,2.9789867401123047
shift,1,2,35,0.9105521440505981
shift,1,2,36,0.020110705867409706
shift,1,2,38,0.02404135651886463
shift,1,2,41,0.9066084027290344
shift,1,2,42,1.0663721561431885
shift,1,2,45,1.2979958057403564
shift,1,3,2,2.500051259994507
shift,1,3,3,0.397566020488739
shift,1,3,4,0.8151125311851501
shift,1,3,10,0.4570945203304291
shift,1,3,11,0.5479219555854797
shift,1,3,12,0.9338955283164978
shift,1,3,15,0.9893283247947693
shift,1,3,16,1.5595766305923462
shift,1,3,18,2.1601972579956055
shift,1,3,20,2.1725151538848877
shift,1,3,24,2.098442316055298
shift,1,3,25,1.6213732957839966
shift,1,3,26,1.9491850137710571
shift,1,3,28,1.5065422058105469
shift,1,3,29,1.77851402759552
shift,1,3,30,1.8224412202835083
shift,1,3,32,2.706961154937744
shift,1,3,37,2.3400824069976807
shift,1,3,39,2.844000816345215
shift,1,3,40,1.7354298830032349
shift,1,3,43,0.00789723638445139
shift,1,3,44,0.48377174139022827
shift,1,3,46,0.30291882157325745
shift,1,3,47,2.333977460861206
shift,1,4,0,0.4623853266239166
shift,1,4,2,2.176206111907959
shift,1,4,3,2.2275424003601074
shift,1,4,7,1.0458909273147583
shift,1,4,8,1.732279658317566
shift,1,4,11,0.171063631772995
shift,1,4,13,1.578500747680664
shift,1,4,14,1.7725437879562378
shift,1,4,16,1.5148911476135254
shift,1,4,17,1.5889711380004883
shift,1,4,19,1.2150185108184814
shift,1,4,20,0.8348568677902222
shift,1,4,22,0.9548686742782593
shift,1,4,26,0.8981379866600037
shift,1,4,27,0.358880877494812
shift,1,4,29,0.9007086753845215
shift,1,4,32,1.4963394403457642
shift,1,4,33,2.891396999359131
shift,1,4,37,0.12468652427196503
shift,1,4,38,0.33626288175582886
shift,1,4,39,0.35574597120285034
shift,1,4,41,0.42737480998039246
shift,1,4,44,0.9241435527801514
shift,1,4,45,2.6252739429473877
shift,1,5,1,1.2369983196258545
shift,1,5,4,0.22272203862667084
shift,1,5,5,2.476321220397949
shift,1,5,6,1.0503151416778564
shift,1,5,9,2.100128650665283
shift,1,5,10,0.8434712886810303
shift,1,5,12,2.355409860610962
shift,1,5,15,2.023613929748535
shift,1,5,18,1.3555748462677002
shift,1,5,21,1.2734599113464355
shift,1,5,23,2.4011380672454834
shift,1,5,24,1.5329560041427612
shift,1,5,25,2.682568073272705
shift,1,5,28,2.6857166290283203
shift,1,5,30,1.578420877456665
shift,1,5,31,1.0019689798355103
shift,1,5,34,1.1785916090011597
shift,1,5,35,2.4136605262756348
shift,1,5,36,0.610297679901123
shift,1,5,40,2.173139810562134
shift,1,5,42,2.573265314102173
shift,1,5,43,2.242075204849243
shift,1,5,46,0.848126232624054
shift,1,5,47,2.3665783405303955
shift,1,6,1,1.6842632293701172
shift,1,6,2,1.6349838972091675
shift,1,6,6,1.5400539636611938
shift,1,6,7,0.28288689255714417
shift,1,6,8,0.0021361566614359617
shift,1,6,10,0.0012035379186272621
shift,1,6,13,1.3113151788711548
shift,1,6,15,1.384790301322937
shift,1,6,18,1.2939890623092651
shift,1,6,19,1.1427007913589478
shift,1,6,23,1.1098488569259644
shift,1,6,24,0.4655378460884094
shift,1,6,26,0.7032659649848938
shift,1,6,28,0.8886094689369202
shift,1,6,29,0.2602439522743225
shift,1,6,31,2.516433000564575
shift,1,6,32,0.19467270374298096
shift,1,6,36,0.49989697337150574
shift,1,6,37,0.9175905585289001
shift,1,6,38,0.3051806688308716
shift,1,6,42,0.6782677173614502
shift,1,6,43,0.26640716195106506
shift,1,6,45,0.07558819651603699
shift,1,6,47,1.540279746055603
shift,1,7,0,1.0726721286773682
shift,1,7,3,1.2776883840560913
shift,1,7,4,1.6663832664489746
shift,1,7,5,2.2238094806671143
shift,1,7,9,0.35849615931510925
shift,1,7,11,1.9460529088974
shift,1,7,12,0.8643180131912231
shift,1,7,14,0.03224928677082062
shift,1,7,16,0.6319640874862671
shift,1,7,17,0.502172589302063
shift,1,7,20,0.21855492889881134
shift,1,7,21,0.3114362955093384
shift,1,7,22,1.0097404718399048
shift,1,7,25,2.2287380695343018
shift,1,7,27,0.5003018975257874
shift,1,7,30,0.081833116710186
shift,1,7,33,0.04197457805275917
shift,1,7,34,0.87806236743927
shift,1,7,35,2.3435235023498535
shift,1,7,39,0.04527527466416359
shift,1,7,40,0.01718427985906601
shift,1,7,41,0.055009521543979645
shift,1,7,44,0.07140164077281952
shift,1,7,46,0.15624290704727173
shift,2,0,4,1.3527231216430664
shift,2,0,8,0.8252491354942322
shift,2,0,9,2.5917723178863525
shift,2,0,10,0.7812796235084534
shift,2,0,12,0.8675252199172974
shift,2,0,14,2.1832964420318604
shift,2,0,15,2.247354507446289
shift,2,0,16,1.4169535636901855
shift,2,0,17,1.3458073139190674
shift,2,0,19,2.3584859371185303
shift,2,0,20,2.2338643074035645
shift,2,0,21,1.7018061876296997
shift,2,0,22,1.8943687677383423
shift,2,0,27,2.4853596687316895
shift,2,0,29,1.6486830711364746
shift,2,0,30,0.2469337284564972
shift,2,0,35,2.002701997756958
shift,2,0,36,2.5164272785186768
shift,2,0,37,2.4197635650634766
shift,2,0,39,1.7051594257354736
shift,2,0,41,1.0284770727157593
shift,2,0,42,2.4559755325317383
shift,2,0,45,1.509851336479187
shift,2,0,47,0.05980122461915016
shift,2,1,0,0.4964745342731476
shift,2,1,1,0.804029107093811
shift,2,1,2,0.8701991438865662
shift,2,1,3,0.7963191866874695
shift,2,1,5,0.6846892237663269
shift,2,1,6,0.6878336071968079
shift,2,1,7,0.8268093466758728
shift,2,1,11,0.9868951439857483
shift,2,1,13,0.14416396617889404
shift,2,1,18,0.8349589705467224
shift,2,1,23,0.7684556841850281
shift,2,1,24,0.47247806191444397
shift,2,1,25,0.6545418500900269
shift,2,1,26,0.7633808851242065
shift,2,1,28,0.5377202033996582
shift,2,1,31,0.8251103758811951
shift,2,1,32,1.0411015748977661
shift,2,1,33,1.1324937343597412
shift,2,1,34,0.5855539441108704
shift,2,1,38,1.1339914798736572
shift,2,1,40,2.1792612075805664
shift,2,1,43,0.7870110869407654
shift,2,1,44,0.8720051646232605
shift,2,1,46,0.845093846321106
shift,2,2,0,0.7522130012512207
shift,2,2,1,1.0502516031265259
shift,2,2,5,1.793515682220459
shift,2,2,6,1.5094386339187622
shift,2,2,7,2.208585023880005
shift,2,2,8,1.4930769205093384
shift,2,2,9,2.192281723022461
shift,2,2,13,1.0656813383102417
shift,2,2,14,2.8362059593200684
shift,2,2,17,1.4178338050842285
shift,2,2,19,2.582746982574463
shift,2,2,21,2.5697243213653564
shift,2,2,22,1.522619605064392
shift,2,2,23,2.5317153930664062
shift,2,2,27,2.4681215286254883
shift,2,2,31,1.47259521484375
shift,2,2,33,0.646942138671875
shift,2,2,34,1.5225871801376343
shift,2,2,35,1.5936216115951538
shift,2,2,36,0.8798649907112122
shift,2,2,38,0.8248631358146667
shift,2,2,41,0.5952234864234924
shift,2,2,42,2.6010682582855225
shift,2,2,45,2.0181126594543457
shift,2,3,2,2.2063534259796143
shift,2,3,3,1.905280590057373
shift,2,3,4,2.4875826835632324
shift,2,3,10,0.0910177230834961
shift,2,3,11,2.4166855812072754
shift,2,3,12,1.713842511177063
shift,2,3,15,1.8565622568130493
shift,2,3,16,2.523885726928711
shift,2,3,18,2.192493200302124
shift,2,3,20,2.054669141769409
shift,2,3,24,2.467557191848755
shift,2,3,25,1.076946496963501
shift,2,3,26,1.724378228187561
shift,2,3,28,2.254951238632202
shift,2,3,29,1.8779189586639404
shift,2,3,30,2.0455996990203857
shift,2,3,32,2.058779239654541
shift,2,3,37,1.6480852365493774
shift,2,3,39,2.585310935974121
shift,2,3,40,2.2653462886810303
shift,2,3,43,1.5535707473754883
shift,2,3,44,1.80698823928833
shift,2,3,46,0.7410343289375305
shift,2,3,47,1.4478222131729126
shift,2,4,0,3.0165936946868896
shift,2,4,2,2.2244300842285156
shift,2,4,3,2.6742770671844482
shift,2,4,7,1.0070842504501343
shift,2,4,8,0.2102157026529312
shift,2,4,11,2.5153512954711914
shift,2,4,13,0.10976257175207138
shift,2,4,14,0.273953378200531
shift,2,4,16,0.13823643326759338
shift,2,4,17,1.9392991065979004
shift,2,4,19,0.24798458814620972
shift,2,4,20,0.5729583501815796
shift,2,4,22,1.2658390998840332
shift,2,4,26,2.5924296379089355
shift,2,4,27,2.8016040325164795
shift,2,4,29,2.910950183868408
