coupling_layer,target_coord,fixed_coord,mean_attention,target_latent_type,fixed_latent_type,target_parameter_type,fixed_parameter_type,target_group,fixed_group,target_unit,fixed_unit,target_layer,fixed_layer,target_side,fixed_side
0,4,0,9.096988833334763e-06,0,0,3,1,4,0,1,0,1,2,1,4
0,4,1,6.899757863720879e-05,0,0,3,3,4,1,1,1,1,1,1,1
0,4,2,7.094021566445008e-05,0,0,3,3,4,2,1,1,1,1,1,1
0,4,3,0.00035434539313428104,0,0,3,3,4,3,1,1,1,1,1,1
0,4,5,0.0005879905074834824,0,0,3,3,4,5,1,1,1,1,1,1
0,4,6,5.970734946458833e-06,0,0,3,3,4,6,1,1,1,1,1,1
0,4,7,0.00017770082922652364,0,0,3,3,4,1,1,2,1,1,1,1
0,4,11,0.00013708464393857867,0,0,3,3,4,5,1,2,1,1,1,1
0,4,13,0.00018610844563227147,0,0,3,3,4,1,1,3,1,1,1,1
0,4,18,7.715769606875256e-05,0,0,3,3,4,6,1,3,1,1,1,1
0,4,23,9.800600673770532e-05,0,0,3,3,4,5,1,4,1,1,1,1
0,4,24,2.852163015631959e-05,0,0,3,3,4,6,1,4,1,1,1,1
0,4,25,1.8423565052216873e-05,0,0,3,3,4,1,1,5,1,1,1,1
0,4,26,1.1260106475674547e-05,0,0,3,3,4,2,1,5,1,1,1,1
0,4,28,1.3952743529443978e-06,0,0,3,3,4,4,1,5,1,1,1,1
0,4,31,0.003593472531065345,0,0,3,4,4,1,1,1,1,1,1,1
0,4,32,0.0005243909545242786,0,0,3,4,4,2,1,2,1,1,1,1
0,4,33,0.9906578660011292,0,0,3,4,4,3,1,3,1,1,1,1
0,4,34,0.0002950988127849996,0,0,3,4,4,4,1,4,1,1,1,1
0,4,38,0.0013419942697510123,0,0,3,5,4,3,1,3,1,2,1,2
0,4,40,0.00012344319839030504,0,0,3,5,4,5,1,5,1,2,1,2
0,4,43,0.0015976811992004514,0,1,3,6,4,3,1,0,1,0,1,1
0,4,44,2.9901038942625746e-05,0,1,3,6,4,4,1,0,1,0,1,1
0,4,46,3.1654274152970174e-06,0,1,3,6,4,6,1,0,1,0,1,1
0,8,0,6.632620352320373e-05,0,0,3,1,2,0,2,0,1,2,1,4
0,8,1,0.00010502056102268398,0,0,3,3,2,1,2,1,1,1,1,1
0,8,2,0.0001312954700551927,0,0,3,3,2,2,2,1,1,1,1,1
0,8,3,0.0005943523719906807,0,0,3,3,2,3,2,1,1,1,1,1
0,8,5,0.0013425055658444762,0,0,3,3,2,5,2,1,1,1,1,1
0,8,6,3.659459252958186e-05,0,0,3,3,2,6,2,1,1,1,1,1
0,8,7,0.0001309512445004657,0,0,3,3,2,1,2,2,1,1,1,1
0,8,11,0.0003956622094847262,0,0,3,3,2,5,2,2,1,1,1,1
0,8,13,0.0005206575151532888,0,0,3,3,2,1,2,3,1,1,1,1
0,8,18,0.00023706781212240458,0,0,3,3,2,6,2,3,1,1,1,1
0,8,23,0.0007402641349472106,0,0,3,3,2,5,2,4,1,1,1,1
0,8,24,0.0001538014766993001,0,0,3,3,2,6,2,4,1,1,1,1
0,8,25,7.02524121152237e-05,0,0,3,3,2,1,2,5,1,1,1,1
0,8,26,4.4274642277741805e-05,0,0,3,3,2,2,2,5,1,1,1,1
0,8,28,1.2485988008847926e-05,0,0,3,3,2,4,2,5,1,1,1,1
0,8,31,0.0025525991804897785,0,0,3,4,2,1,2,1,1,1,1,1
0,8,32,0.001110127312131226,0,0,3,4,2,2,2,2,1,1,1,1
0,8,33,0.9830169081687927,0,0,3,4,2,3,2,3,1,1,1,1
0,8,34,0.00113196880556643,0,0,3,4,2,4,2,4,1,1,1,1
0,8,38,0.003858784446492791,0,0,3,5,2,3,2,3,1,2,1,2
0,8,40,0.0008675301214680076,0,0,3,5,2,5,2,5,1,2,1,2
0,8,43,0.002780322218313813,0,1,3,6,2,3,2,0,1,0,1,1
0,8,44,5.341899304767139e-05,0,1,3,6,2,4,2,0,1,0,1,1
0,8,46,4.664811058319174e-05,0,1,3,6,2,6,2,0,1,0,1,1
0,9,0,0.00018977915169671178,0,0,3,1,3,0,2,0,1,2,1,4
0,9,1,0.0032383312936872244,0,0,3,3,3,1,2,1,1,1,1,1
0,9,2,0.007589440327137709,0,0,3,3,3,2,2,1,1,1,1,1
0,9,3,0.006328337825834751,0,0,3,3,3,3,2,1,1,1,1,1
0,9,5,0.052425168454647064,0,0,3,3,3,5,2,1,1,1,1,1
0,9,6,0.0006641848012804985,0,0,3,3,3,6,2,1,1,1,1,1
0,9,7,0.0011240312596783042,0,0,3,3,3,1,2,2,1,1,1,1
0,9,11,0.001695352839305997,0,0,3,3,3,5,2,2,1,1,1,1
0,9,13,0.006008544471114874,0,0,3,3,3,1,2,3,1,1,1,1
0,9,18,0.0007934755994938314,0,0,3,3,3,6,2,3,1,1,1,1
0,9,23,0.005845258012413979,0,0,3,3,3,5,2,4,1,1,1,1
0,9,24,0.0011230496456846595,0,0,3,3,3,6,2,4,1,1,1,1
