coupling_layer,target_coord,fixed_coord,mean_attention,target_latent_type,fixed_latent_type,target_parameter_type,fixed_parameter_type,target_group,fixed_group,target_unit,fixed_unit,target_layer,fixed_layer,target_side,fixed_side
0,4,0,0.02157530002295971,0,0,3,1,4,0,1,0,1,2,1,4
0,4,1,2.106033753079828e-05,0,0,3,3,4,1,1,1,1,1,1,1
0,4,2,9.000937097880524e-06,0,0,3,3,4,2,1,1,1,1,1,1
0,4,3,6.176013357617194e-06,0,0,3,3,4,3,1,1,1,1,1,1
0,4,5,7.539701414316369e-07,0,0,3,3,4,5,1,1,1,1,1,1
0,4,6,1.5818648535059765e-05,0,0,3,3,4,6,1,1,1,1,1,1
0,4,7,6.204507371876389e-05,0,0,3,3,4,1,1,2,1,1,1,1
0,4,11,9.735907951835543e-06,0,0,3,3,4,5,1,2,1,1,1,1
0,4,13,0.15180625021457672,0,0,3,3,4,1,1,3,1,1,1,1
0,4,18,0.007447558920830488,0,0,3,3,4,6,1,3,1,1,1,1
0,4,23,1.0852239029190969e-05,0,0,3,3,4,5,1,4,1,1,1,1
0,4,24,5.545042313315207e-06,0,0,3,3,4,6,1,4,1,1,1,1
0,4,25,0.00023813522420823574,0,0,3,3,4,1,1,5,1,1,1,1
0,4,26,3.221258521080017e-05,0,0,3,3,4,2,1,5,1,1,1,1
0,4,28,0.0002951193891931325,0,0,3,3,4,4,1,5,1,1,1,1
0,4,31,6.121004844317213e-05,0,0,3,4,4,1,1,1,1,1,1,1
0,4,32,9.282217069994658e-05,0,0,3,4,4,2,1,2,1,1,1,1
0,4,33,0.02826906554400921,0,0,3,4,4,3,1,3,1,1,1,1
0,4,34,0.00024163642956409603,0,0,3,4,4,4,1,4,1,1,1,1
0,4,38,0.7874283194541931,0,0,3,5,4,3,1,3,1,2,1,2
0,4,40,0.00010248120088363066,0,0,3,5,4,5,1,5,1,2,1,2
0,4,43,0.0003598786424845457,0,1,3,6,4,3,1,0,1,0,1,1
0,4,44,0.0003716782957781106,0,1,3,6,4,4,1,0,1,0,1,1
0,4,46,0.0015365610597655177,0,1,3,6,4,6,1,0,1,0,1,1
0,8,0,0.011768881231546402,0,0,3,1,2,0,2,0,1,2,1,4
0,8,1,3.729440322786104e-06,0,0,3,3,2,1,2,1,1,1,1,1
0,8,2,3.0954156500229146e-06,0,0,3,3,2,2,2,1,1,1,1,1
0,8,3,7.59720080623083e-07,0,0,3,3,2,3,2,1,1,1,1,1
0,8,5,2.473025517701899e-07,0,0,3,3,2,5,2,1,1,1,1,1
0,8,6,1.4405713955056854e-06,0,0,3,3,2,6,2,1,1,1,1,1
0,8,7,1.9708775653271005e-05,0,0,3,3,2,1,2,2,1,1,1,1
0,8,11,5.402167744250619e-07,0,0,3,3,2,5,2,2,1,1,1,1
0,8,13,0.02182101272046566,0,0,3,3,2,1,2,3,1,1,1,1
0,8,18,0.000320362247293815,0,0,3,3,2,6,2,3,1,1,1,1
0,8,23,7.952673399813648e-07,0,0,3,3,2,5,2,4,1,1,1,1
0,8,24,5.197986183702596e-07,0,0,3,3,2,6,2,4,1,1,1,1
0,8,25,4.529176658252254e-05,0,0,3,3,2,1,2,5,1,1,1,1
0,8,26,6.291361842158949e-06,0,0,3,3,2,2,2,5,1,1,1,1
0,8,28,2.4541195671190508e-05,0,0,3,3,2,4,2,5,1,1,1,1
0,8,31,3.399794513825327e-05,0,0,3,4,2,1,2,1,1,1,1,1
0,8,32,2.8838809157605283e-05,0,0,3,4,2,2,2,2,1,1,1,1
0,8,33,0.014358536340296268,0,0,3,4,2,3,2,3,1,1,1,1
0,8,34,3.112328704446554e-05,0,0,3,4,2,4,2,4,1,1,1,1
0,8,38,0.9510461688041687,0,0,3,5,2,3,2,3,1,2,1,2
0,8,40,0.0003854961250908673,0,0,3,5,2,5,2,5,1,2,1,2
0,8,43,3.211471630493179e-05,0,1,3,6,2,3,2,0,1,0,1,1
0,8,44,3.166449459968135e-05,0,1,3,6,2,4,2,0,1,0,1,1
0,8,46,3.490194649202749e-05,0,1,3,6,2,6,2,0,1,0,1,1
0,9,0,0.2945309579372406,0,0,3,1,3,0,2,0,1,2,1,4
0,9,1,0.0005027790903113782,0,0,3,3,3,1,2,1,1,1,1,1
0,9,2,0.0006535269785672426,0,0,3,3,3,2,2,1,1,1,1,1
0,9,3,0.0002419117372483015,0,0,3,3,3,3,2,1,1,1,1,1
0,9,5,0.00011843847460113466,0,0,3,3,3,5,2,1,1,1,1,1
0,9,6,0.00044881433132104576,0,0,3,3,3,6,2,1,1,1,1,1
0,9,7,0.0013001086190342903,0,0,3,3,3,1,2,2,1,1,1,1
0,9,11,0.00032272294629365206,0,0,3,3,3,5,2,2,1,1,1,1
0,9,13,0.1916993111371994,0,0,3,3,3,1,2,3,1,1,1,1
0,9,18,0.014734079129993916,0,0,3,3,3,6,2,3,1,1,1,1
0,9,23,0.0003406725008971989,0,0,3,3,3,5,2,4,1,1,1,1
0,9,24,0.00015655695460736752,0,0,3,3,3,6,2,4,1,1,1,1
0,9,25,0.0033704647794365883,0,0,3,3,3,1,2,5,1,1,1,1
0,9,26,0.0016970628639683127,0,0,3,3,3,2,2,5,1,1,1,1
0,9,28,0.0035510652232915163,0,0,3,3,3,4,2,5,1,1,1,1
0,9,31,0.0009740651585161686,0,0,3,4,3,1,2,1,1,1,1,1
