method,epoch,group_id,selection_type,block,layer,feature,side,pip,gate_mean,margin_mean,margin_sd,slab_norm_mean,slab_norm_median
RaT,2000,0,feature,input,-1,0,input,1.0,0.9874989986419678,1.2582939863204956,0.2940865159034729,2.066392660140991,2.024625062942505
RaT,2000,1,feature,input,-1,1,input,0.03440000116825104,0.0027322189416736364,-0.8068887591362,0.4376872181892395,2.1065855026245117,2.074232578277588
RaT,2000,2,feature,input,-1,2,input,0.02199999988079071,0.002139184856787324,-0.9126123189926147,0.4694882035255432,2.0677413940429688,2.0234856605529785
RaT,2000,3,feature,input,-1,3,input,1.0,0.9968970417976379,1.338578224182129,0.2752435803413391,2.255423069000244,2.230114698410034
RaT,2000,4,feature,input,-1,4,input,0.04820000007748604,0.003349934471771121,-0.8039302825927734,0.503333330154419,2.1601948738098145,2.1160662174224854
RaT,2000,5,feature,input,-1,5,input,0.03720000013709068,0.003950233571231365,-0.8605502247810364,0.47715404629707336,2.047729015350342,2.009582757949829
MCMC,,0,feature,input,-1,0,input,1.0,0.8848554491996765,1.0983258485794067,0.558168351650238,2.068044662475586,2.0075740814208984
MCMC,,1,feature,input,-1,1,input,0.1859000027179718,0.009357400238513947,-0.6597661972045898,0.7161746621131897,2.119943380355835,2.0742082595825195
MCMC,,2,feature,input,-1,2,input,0.1829500049352646,0.009256996214389801,-0.6665972471237183,0.7112066745758057,2.1019487380981445,2.0649890899658203
MCMC,,3,feature,input,-1,3,input,1.0,0.9252493977546692,1.159803867340088,0.5377483367919922,2.255377769470215,2.198509693145752
MCMC,,4,feature,input,-1,4,input,0.20954999327659607,0.01936718076467514,-0.6459929943084717,0.749302089214325,2.1077322959899902,2.0568177700042725
MCMC,,5,feature,input,-1,5,input,0.20669999718666077,0.01877063326537609,-0.6440686583518982,0.745581328868866,2.102245807647705,2.061924934387207
