branch,head,coupling_layer,target_coord,mean_entropy
shift,1,0,4,0.06376440078020096
shift,1,0,8,0.04936071112751961
shift,1,0,9,0.35866937041282654
shift,1,0,10,0.7619724273681641
shift,1,0,12,0.1867476999759674
shift,1,0,14,0.18359102308750153
shift,1,0,15,0.09303337335586548
shift,1,0,16,0.9684607982635498
shift,1,0,17,0.3390367329120636
shift,1,0,19,0.003350592218339443
shift,1,0,20,0.010236510075628757
shift,1,0,21,0.008605447597801685
shift,1,0,22,0.002126905135810375
shift,1,0,27,0.04954078048467636
shift,1,0,29,0.01151337381452322
shift,1,0,30,0.0024526084307581186
shift,1,0,35,0.025945892557501793
shift,1,0,36,0.9038467407226562
shift,1,0,37,1.658479928970337
shift,1,0,39,0.8427572250366211
shift,1,0,41,2.0528321266174316
shift,1,0,42,0.5297747850418091
shift,1,0,45,0.22990167140960693
shift,1,0,47,2.8937764167785645
shift,1,1,0,2.386791229248047
shift,1,1,1,2.35481595993042
shift,1,1,2,2.137937068939209
shift,1,1,3,2.523148775100708
shift,1,1,5,2.132394552230835
shift,1,1,6,1.8480732440948486
shift,1,1,7,1.8588982820510864
shift,1,1,11,2.1221492290496826
shift,1,1,13,1.9091240167617798
shift,1,1,18,2.0305333137512207
shift,1,1,23,1.3744020462036133
shift,1,1,24,1.5625977516174316
shift,1,1,25,1.9429843425750732
shift,1,1,26,2.2979893684387207
shift,1,1,28,1.6727709770202637
shift,1,1,31,2.203977346420288
shift,1,1,32,1.6738826036453247
shift,1,1,33,1.21278977394104
shift,1,1,34,1.7984055280685425
shift,1,1,38,1.9584474563598633
shift,1,1,40,1.6106709241867065
shift,1,1,43,2.3649697303771973
shift,1,1,44,0.3834303021430969
shift,1,1,46,2.654621124267578
shift,1,2,0,0.39866483211517334
shift,1,2,1,2.1346161365509033
shift,1,2,5,2.254181146621704
shift,1,2,6,2.5779922008514404
shift,1,2,7,2.7423903942108154
shift,1,2,8,2.21360182762146
shift,1,2,9,2.6260175704956055
shift,1,2,13,1.0292727947235107
shift,1,2,14,2.5059866905212402
shift,1,2,17,2.5778136253356934
shift,1,2,19,2.677645683288574
shift,1,2,21,2.8202767372131348
shift,1,2,22,1.9816118478775024
shift,1,2,23,2.533029794692993
shift,1,2,27,2.297248363494873
shift,1,2,31,1.8678151369094849
shift,1,2,33,2.114226818084717
shift,1,2,34,2.0414679050445557
shift,1,2,35,1.5984973907470703
shift,1,2,36,2.456435441970825
shift,1,2,38,1.4044135808944702
shift,1,2,41,0.4884735643863678
shift,1,2,42,2.7299883365631104
shift,1,2,45,0.33472031354904175
shift,1,3,2,0.07289145886898041
shift,1,3,3,0.07806035131216049
shift,1,3,4,0.16539867222309113
shift,1,3,10,0.21340496838092804
shift,1,3,11,0.12685763835906982
shift,1,3,12,0.4332115352153778
shift,1,3,15,0.15427763760089874
shift,1,3,16,0.25060221552848816
shift,1,3,18,0.3078516721725464
shift,1,3,20,0.11514794826507568
shift,1,3,24,0.2472536265850067
shift,1,3,25,0.09186974912881851
shift,1,3,26,0.09101495146751404
shift,1,3,28,0.153828427195549
shift,1,3,29,0.038899827748537064
shift,1,3,30,0.48260655999183655
shift,1,3,32,2.7282865047454834
shift,1,3,37,2.5373897552490234
shift,1,3,39,2.2261650562286377
shift,1,3,40,2.212484359741211
shift,1,3,43,0.14159634709358215
shift,1,3,44,2.811668872833252
shift,1,3,46,0.4959883391857147
shift,1,3,47,0.3724641501903534
shift,1,4,0,1.8190885782241821
shift,1,4,2,1.5877708196640015
shift,1,4,3,2.4729485511779785
shift,1,4,7,2.455397367477417
shift,1,4,8,0.8234733939170837
shift,1,4,11,1.5890851020812988
shift,1,4,13,2.133013963699341
shift,1,4,14,2.0775370597839355
shift,1,4,16,1.3998452425003052
shift,1,4,17,2.686572313308716
shift,1,4,19,2.009860038757324
shift,1,4,20,1.814592719078064
shift,1,4,22,1.3619953393936157
shift,1,4,26,1.8128628730773926
shift,1,4,27,2.1050779819488525
shift,1,4,29,2.28017520904541
shift,1,4,32,1.104675054550171
shift,1,4,33,2.6015169620513916
shift,1,4,37,0.4787416160106659
shift,1,4,38,0.5456761121749878
shift,1,4,39,0.4145733714103699
shift,1,4,41,2.617108106613159
shift,1,4,44,2.8063066005706787
shift,1,4,45,2.6967382431030273
shift,1,5,1,1.5832425355911255
shift,1,5,4,0.6587498188018799
shift,1,5,5,0.8589600324630737
shift,1,5,6,1.082965612411499
shift,1,5,9,1.282169222831726
shift,1,5,10,2.50677227973938
shift,1,5,12,1.2794467210769653
shift,1,5,15,1.096543550491333
shift,1,5,18,0.974667489528656
shift,1,5,21,0.9423925280570984
shift,1,5,23,1.0775820016860962
shift,1,5,24,0.9811682105064392
shift,1,5,25,2.357306957244873
shift,1,5,28,1.6687525510787964
shift,1,5,30,0.4054749310016632
shift,1,5,31,1.9887744188308716
shift,1,5,34,2.144167900085449
shift,1,5,35,0.9456208348274231
shift,1,5,36,1.7542122602462769
shift,1,5,40,2.5941343307495117
shift,1,5,42,2.451148748397827
shift,1,5,43,2.2703633308410645
shift,1,5,46,2.3339288234710693
shift,1,5,47,2.0577616691589355
shift,1,6,1,1.8715527057647705
shift,1,6,2,1.7056816816329956
shift,1,6,6,1.864871621131897
shift,1,6,7,0.20909537374973297
shift,1,6,8,0.23286890983581543
shift,1,6,10,0.27695178985595703
shift,1,6,13,1.6001144647598267
shift,1,6,15,0.9531404972076416
shift,1,6,18,0.9109711647033691
shift,1,6,19,1.2834398746490479
shift,1,6,23,0.26304370164871216
shift,1,6,24,0.26436591148376465
shift,1,6,26,0.8411159515380859
shift,1,6,28,1.3172698020935059
shift,1,6,29,0.8594487905502319
shift,1,6,31,2.535997152328491
shift,1,6,32,1.663252353668213
shift,1,6,36,1.1558970212936401
shift,1,6,37,2.1947760581970215
shift,1,6,38,1.3112940788269043
shift,1,6,42,2.712474822998047
shift,1,6,43,2.609499454498291
shift,1,6,45,0.6649328470230103
shift,1,6,47,2.46661639213562
shift,1,7,0,2.581587791442871
shift,1,7,3,1.1936438083648682
shift,1,7,4,2.0300326347351074
shift,1,7,5,2.4752681255340576
shift,1,7,9,2.4410288333892822
shift,1,7,11,2.218588352203369
shift,1,7,12,1.107797622680664
shift,1,7,14,1.4170864820480347
shift,1,7,16,2.022813558578491
shift,1,7,17,1.7393994331359863
shift,1,7,20,2.3081767559051514
shift,1,7,21,2.1662604808807373
shift,1,7,22,2.240652322769165
shift,1,7,25,2.4588563442230225
shift,1,7,27,2.6252410411834717
shift,1,7,30,1.7300885915756226
shift,1,7,33,2.3271872997283936
shift,1,7,34,1.9736474752426147
shift,1,7,35,2.755608081817627
shift,1,7,39,2.3449954986572266
shift,1,7,40,1.8399797677993774
shift,1,7,41,0.11826108396053314
shift,1,7,44,0.08556900173425674
shift,1,7,46,0.06753867119550705
shift,2,0,4,0.9160737991333008
shift,2,0,8,0.6839836239814758
shift,2,0,9,1.2618825435638428
shift,2,0,10,0.2902585566043854
shift,2,0,12,1.1053152084350586
shift,2,0,14,1.0714472532272339
shift,2,0,15,0.38532403111457825
shift,2,0,16,0.3504069447517395
shift,2,0,17,1.0575910806655884
shift,2,0,19,0.4639371931552887
shift,2,0,20,0.7926437258720398
shift,2,0,21,0.46260589361190796
shift,2,0,22,0.6954513192176819
shift,2,0,27,0.2261895388364792
shift,2,0,29,0.019390475004911423
shift,2,0,30,0.37335577607154846
shift,2,0,35,0.033002227544784546
shift,2,0,36,1.3898801803588867
shift,2,0,37,0.4156692624092102
shift,2,0,39,0.2834184467792511
shift,2,0,41,0.030835362151265144
shift,2,0,42,0.09070833027362823
shift,2,0,45,0.0054940651170909405
shift,2,0,47,1.2206707000732422
shift,2,1,0,0.8596119284629822
shift,2,1,1,0.8952420949935913
shift,2,1,2,0.9985283017158508
shift,2,1,3,0.8014445900917053
shift,2,1,5,0.9174801707267761
shift,2,1,6,0.7893936038017273
shift,2,1,7,0.9613449573516846
shift,2,1,11,1.2397197484970093
shift,2,1,13,1.339462161064148
shift,2,1,18,1.5251208543777466
shift,2,1,23,1.1151548624038696
shift,2,1,24,0.5305155515670776
shift,2,1,25,1.4718623161315918
shift,2,1,26,0.5206897258758545
shift,2,1,28,1.2722444534301758
shift,2,1,31,1.5773825645446777
shift,2,1,32,1.6528968811035156
shift,2,1,33,1.7841345071792603
shift,2,1,34,1.0703034400939941
shift,2,1,38,2.031805992126465
shift,2,1,40,2.4885494709014893
shift,2,1,43,1.8635720014572144
shift,2,1,44,0.7722922563552856
shift,2,1,46,1.799200415611267
shift,2,2,0,0.3699256479740143
shift,2,2,1,0.1154806837439537
shift,2,2,5,0.03245395049452782
shift,2,2,6,0.1377885341644287
shift,2,2,7,0.4687061011791229
shift,2,2,8,1.1935590505599976
shift,2,2,9,2.294080972671509
shift,2,2,13,1.750778079032898
shift,2,2,14,2.70611572265625
shift,2,2,17,2.0132477283477783
shift,2,2,19,1.1321322917938232
shift,2,2,21,1.8335102796554565
shift,2,2,22,1.9486056566238403
shift,2,2,23,0.7649921178817749
shift,2,2,27,1.5315488576889038
shift,2,2,31,0.15200193226337433
shift,2,2,33,2.064833879470825
shift,2,2,34,2.048426866531372
shift,2,2,35,0.8171844482421875
shift,2,2,36,0.29384544491767883
shift,2,2,38,0.9609645009040833
shift,2,2,41,0.0714237242937088
shift,2,2,42,1.1246715784072876
shift,2,2,45,1.0607757568359375
shift,2,3,2,1.6259428262710571
shift,2,3,3,1.2139383554458618
shift,2,3,4,2.156481981277466
shift,2,3,10,0.20588135719299316
shift,2,3,11,2.0210235118865967
shift,2,3,12,1.9616466760635376
shift,2,3,15,1.6459590196609497
shift,2,3,16,2.613090753555298
shift,2,3,18,2.2346606254577637
shift,2,3,20,1.5689619779586792
shift,2,3,24,1.980918526649475
shift,2,3,25,0.7955780625343323
shift,2,3,26,1.5280810594558716
shift,2,3,28,1.9992735385894775
shift,2,3,29,1.3570350408554077
shift,2,3,30,1.7507781982421875
shift,2,3,32,2.2040345668792725
shift,2,3,37,1.071942925453186
shift,2,3,39,2.742767572402954
shift,2,3,40,2.542661428451538
shift,2,3,43,1.2364227771759033
shift,2,3,44,2.540114402770996
shift,2,3,46,0.845633327960968
shift,2,3,47,1.7728297710418701
shift,2,4,0,2.6212339401245117
shift,2,4,2,2.7503504753112793
shift,2,4,3,2.711421251296997
shift,2,4,7,1.2677960395812988
shift,2,4,8,0.7126895785331726
shift,2,4,11,1.1396502256393433
shift,2,4,13,0.08459868282079697
shift,2,4,14,0.17053210735321045
shift,2,4,16,0.06796647608280182
shift,2,4,17,0.8512217998504639
shift,2,4,19,0.07499595731496811
shift,2,4,20,0.20378048717975616
shift,2,4,22,0.43685710430145264
shift,2,4,26,2.3421361446380615
shift,2,4,27,2.2618274688720703
shift,2,4,29,2.6461024284362793
shift,2,4,32,1.156131625175476
shift,2,4,33,0.4160746932029724
shift,2,4,37,0.11388420313596725
shift,2,4,38,1.8922531604766846
shift,2,4,39,0.7934770584106445
shift,2,4,41,0.3556995093822479
shift,2,4,44,0.5285223126411438
shift,2,4,45,1.9368302822113037
shift,2,5,1,2.1882123947143555
shift,2,5,4,2.1190240383148193
shift,2,5,5,2.2226734161376953
shift,2,5,6,2.7384917736053467
shift,2,5,9,1.9587467908859253
shift,2,5,10,0.25218334794044495
shift,2,5,12,1.5259965658187866
shift,2,5,15,2.47194242477417
shift,2,5,18,2.570981502532959
shift,2,5,21,1.8159589767456055
shift,2,5,23,0.8669210076332092
shift,2,5,24,1.9416186809539795
shift,2,5,25,1.5100041627883911
shift,2,5,28,1.3501445055007935
shift,2,5,30,2.3230812549591064
shift,2,5,31,1.4730143547058105
shift,2,5,34,2.336009979248047
shift,2,5,35,1.8632211685180664
shift,2,5,36,2.598468542098999
shift,2,5,40,1.5306164026260376
shift,2,5,42,1.9749927520751953
shift,2,5,43,0.1890755295753479
shift,2,5,46,2.0229740142822266
shift,2,5,47,1.4776504039764404
shift,2,6,1,2.3981080055236816
shift,2,6,2,2.4280710220336914
shift,2,6,6,2.8223659992218018
shift,2,6,7,1.1154229640960693
shift,2,6,8,2.5245702266693115
shift,2,6,10,0.7546852231025696
shift,2,6,13,2.7764530181884766
shift,2,6,15,2.8336758613586426
shift,2,6,18,2.104995012283325
shift,2,6,19,2.329481840133667
shift,2,6,23,2.4191055297851562
shift,2,6,24,2.5152816772460938
shift,2,6,26,1.3520197868347168
shift,2,6,28,2.7004384994506836
shift,2,6,29,1.357370376586914
shift,2,6,31,2.6393630504608154
shift,2,6,32,2.0692954063415527
shift,2,6,36,1.4982575178146362
shift,2,6,37,0.7727752923965454
shift,2,6,38,0.15558907389640808
shift,2,6,42,0.5340369343757629
shift,2,6,43,0.5106145739555359
shift,2,6,45,1.0021586418151855
shift,2,6,47,0.8856754302978516
shift,2,7,0,0.050957273691892624
shift,2,7,3,2.014333486557007
shift,2,7,4,2.23667311668396
shift,2,7,5,2.211276054382324
shift,2,7,9,3.0099806785583496
shift,2,7,11,2.5571649074554443
shift,2,7,12,2.1299686431884766
shift,2,7,14,2.780252456665039
shift,2,7,16,2.5862653255462646
shift,2,7,17,2.8414576053619385
shift,2,7,20,2.395400047302246
shift,2,7,21,2.6663851737976074
shift,2,7,22,2.890794038772583
shift,2,7,25,2.6667959690093994
shift,2,7,27,2.637752056121826
shift,2,7,30,2.475206136703491
shift,2,7,33,0.6380491256713867
shift,2,7,34,2.660585880279541
shift,2,7,35,2.286975145339966
shift,2,7,39,2.0510966777801514
shift,2,7,40,1.1390767097473145
shift,2,7,41,2.5284078121185303
shift,2,7,44,1.673222303390503
shift,2,7,46,1.7905246019363403
scale,1,0,4,2.2608916759490967
scale,1,0,8,0.20794637501239777
scale,1,0,9,0.4413284957408905
scale,1,0,10,1.7635952234268188
scale,1,0,12,0.47795000672340393
scale,1,0,14,0.5162492394447327
scale,1,0,15,0.21037958562374115
scale,1,0,16,0.21217596530914307
scale,1,0,17,0.21035851538181305
scale,1,0,19,0.10122522711753845
scale,1,0,20,0.27069807052612305
scale,1,0,21,0.6219365000724792
scale,1,0,22,1.888200283050537
scale,1,0,27,0.3246929943561554
scale,1,0,29,0.1935439109802246
scale,1,0,30,0.04797474667429924
scale,1,0,35,0.13001500070095062
scale,1,0,36,1.9262744188308716
scale,1,0,37,1.8943872451782227
scale,1,0,39,0.3018593192100525
scale,1,0,41,0.3254159986972809
scale,1,0,42,1.5476826429367065
scale,1,0,45,1.5352904796600342
scale,1,0,47,1.9610999822616577
scale,1,1,0,2.24971866607666
scale,1,1,1,0.040970973670482635
scale,1,1,2,0.027205703780055046
scale,1,1,3,0.085442915558815
scale,1,1,5,0.11698301136493683
scale,1,1,6,0.10787200927734375
scale,1,1,7,0.2169225513935089
scale,1,1,11,0.6387656927108765
scale,1,1,13,0.2633611559867859
scale,1,1,18,0.3695662319660187
scale,1,1,23,0.07543432712554932
scale,1,1,24,0.0085506122559309
scale,1,1,25,0.11847274750471115
