coupling_layer,target_coord,fixed_coord,mean_attention,target_latent_type,fixed_latent_type,target_parameter_type,fixed_parameter_type,target_group,fixed_group,target_unit,fixed_unit,target_layer,fixed_layer,target_side,fixed_side
0,4,0,0.024476533755660057,0,0,3,1,4,0,1,0,1,2,1,4
0,4,1,0.023140525445342064,0,0,3,3,4,1,1,1,1,1,1,1
0,4,2,0.001377698965370655,0,0,3,3,4,2,1,1,1,1,1,1
0,4,3,0.002346667228266597,0,0,3,3,4,3,1,1,1,1,1,1
0,4,5,0.00040416463161818683,0,0,3,3,4,5,1,1,1,1,1,1
0,4,6,0.01560310460627079,0,0,3,3,4,6,1,1,1,1,1,1
0,4,7,0.005497252102941275,0,0,3,3,4,1,1,2,1,1,1,1
0,4,11,0.001993057318031788,0,0,3,3,4,5,1,2,1,1,1,1
0,4,13,0.033574048429727554,0,0,3,3,4,1,1,3,1,1,1,1
0,4,18,0.08616576343774796,0,0,3,3,4,6,1,3,1,1,1,1
0,4,23,0.011478278785943985,0,0,3,3,4,5,1,4,1,1,1,1
0,4,24,0.09099751710891724,0,0,3,3,4,6,1,4,1,1,1,1
0,4,25,0.013413676992058754,0,0,3,3,4,1,1,5,1,1,1,1
0,4,26,0.003929616417735815,0,0,3,3,4,2,1,5,1,1,1,1
0,4,28,0.0018379298271611333,0,0,3,3,4,4,1,5,1,1,1,1
0,4,31,0.0013765241019427776,0,0,3,4,4,1,1,1,1,1,1,1
0,4,32,0.0034780874848365784,0,0,3,4,4,2,1,2,1,1,1,1
0,4,33,0.04499492049217224,0,0,3,4,4,3,1,3,1,1,1,1
0,4,34,0.0037160112988203764,0,0,3,4,4,4,1,4,1,1,1,1
0,4,38,0.2607196271419525,0,0,3,5,4,3,1,3,1,2,1,2
0,4,40,0.22307923436164856,0,0,3,5,4,5,1,5,1,2,1,2
0,4,43,0.06799684464931488,0,1,3,6,4,3,1,0,1,0,1,1
0,4,44,0.0019389092922210693,0,1,3,6,4,4,1,0,1,0,1,1
0,4,46,0.0764641985297203,0,1,3,6,4,6,1,0,1,0,1,1
0,8,0,9.822884749155492e-05,0,0,3,1,2,0,2,0,1,2,1,4
0,8,1,8.402334060519934e-05,0,0,3,3,2,1,2,1,1,1,1,1
0,8,2,4.3285152173666575e-07,0,0,3,3,2,2,2,1,1,1,1,1
0,8,3,1.7147573316833586e-06,0,0,3,3,2,3,2,1,1,1,1,1
0,8,5,2.488514496690186e-07,0,0,3,3,2,5,2,1,1,1,1,1
0,8,6,1.0404977729194798e-05,0,0,3,3,2,6,2,1,1,1,1,1
0,8,7,3.441879016463645e-06,0,0,3,3,2,1,2,2,1,1,1,1
0,8,11,1.0199923963227775e-06,0,0,3,3,2,5,2,2,1,1,1,1
0,8,13,1.9098988559562713e-06,0,0,3,3,2,1,2,3,1,1,1,1
0,8,18,1.7085323634091765e-05,0,0,3,3,2,6,2,3,1,1,1,1
0,8,23,9.590246008883696e-06,0,0,3,3,2,5,2,4,1,1,1,1
0,8,24,0.000249852251727134,0,0,3,3,2,6,2,4,1,1,1,1
0,8,25,5.017014700570144e-06,0,0,3,3,2,1,2,5,1,1,1,1
0,8,26,8.554591204301687e-07,0,0,3,3,2,2,2,5,1,1,1,1
0,8,28,4.67110339741339e-07,0,0,3,3,2,4,2,5,1,1,1,1
0,8,31,6.592502472813067e-07,0,0,3,4,2,1,2,1,1,1,1,1
0,8,32,1.3511714769265382e-07,0,0,3,4,2,2,2,2,1,1,1,1
0,8,33,1.2830855666834395e-05,0,0,3,4,2,3,2,3,1,1,1,1
0,8,34,9.16120768579276e-07,0,0,3,4,2,4,2,4,1,1,1,1
0,8,38,0.0486551895737648,0,0,3,5,2,3,2,3,1,2,1,2
