coupling_layer,target_coord,fixed_coord,mean_attention,target_latent_type,fixed_latent_type,target_parameter_type,fixed_parameter_type,target_group,fixed_group,target_unit,fixed_unit,target_layer,fixed_layer,target_side,fixed_side
0,4,0,0.017977800220251083,0,0,3,1,4,0,1,0,1,2,1,4
0,4,1,0.01290102954953909,0,0,3,3,4,1,1,1,1,1,1,1
0,4,2,0.0014802939258515835,0,0,3,3,4,2,1,1,1,1,1,1
0,4,3,0.0006198487826623023,0,0,3,3,4,3,1,1,1,1,1,1
0,4,5,0.000886269670445472,0,0,3,3,4,5,1,1,1,1,1,1
0,4,6,0.0008788032573647797,0,0,3,3,4,6,1,1,1,1,1,1
0,4,7,0.005329586565494537,0,0,3,3,4,1,1,2,1,1,1,1
0,4,11,0.00040139167685993016,0,0,3,3,4,5,1,2,1,1,1,1
0,4,13,0.0004888366092927754,0,0,3,3,4,1,1,3,1,1,1,1
0,4,18,0.0001624694123165682,0,0,3,3,4,6,1,3,1,1,1,1
0,4,23,0.0015556968282908201,0,0,3,3,4,5,1,4,1,1,1,1
0,4,24,0.00036753140739165246,0,0,3,3,4,6,1,4,1,1,1,1
0,4,25,0.00013107738050166517,0,0,3,3,4,1,1,5,1,1,1,1
0,4,26,8.953596989158541e-05,0,0,3,3,4,2,1,5,1,1,1,1
0,4,28,9.591077832737938e-05,0,0,3,3,4,4,1,5,1,1,1,1
0,4,31,0.0008843078394420445,0,0,3,4,4,1,1,1,1,1,1,1
0,4,32,0.0009872446535155177,0,0,3,4,4,2,1,2,1,1,1,1
0,4,33,9.340819815406576e-05,0,0,3,4,4,3,1,3,1,1,1,1
0,4,34,0.00015766128490213305,0,0,3,4,4,4,1,4,1,1,1,1
0,4,38,0.513532280921936,0,0,3,5,4,3,1,3,1,2,1,2
0,4,40,0.44071176648139954,0,0,3,5,4,5,1,5,1,2,1,2
0,4,43,0.00014047334843780845,0,1,3,6,4,3,1,0,1,0,1,1
0,4,44,1.3535936886910349e-05,0,1,3,6,4,4,1,0,1,0,1,1
0,4,46,0.0001131964527303353,0,1,3,6,4,6,1,0,1,0,1,1
0,8,0,0.003334919922053814,0,0,3,1,2,0,2,0,1,2,1,4
0,8,1,0.017087483778595924,0,0,3,3,2,1,2,1,1,1,1,1
0,8,2,0.001578045659698546,0,0,3,3,2,2,2,1,1,1,1,1
0,8,3,0.000973582617007196,0,0,3,3,2,3,2,1,1,1,1,1
0,8,5,0.001875978079624474,0,0,3,3,2,5,2,1,1,1,1,1
0,8,6,0.00010692516661947593,0,0,3,3,2,6,2,1,1,1,1,1
0,8,7,0.012499957345426083,0,0,3,3,2,1,2,2,1,1,1,1
0,8,11,0.00035055342596024275,0,0,3,3,2,5,2,2,1,1,1,1
0,8,13,9.564711945131421e-05,0,0,3,3,2,1,2,3,1,1,1,1
0,8,18,3.5571129046729766e-06,0,0,3,3,2,6,2,3,1,1,1,1
0,8,23,0.00069715321296826,0,0,3,3,2,5,2,4,1,1,1,1
0,8,24,1.9001634427695535e-05,0,0,3,3,2,6,2,4,1,1,1,1
0,8,25,6.83295147609897e-05,0,0,3,3,2,1,2,5,1,1,1,1
0,8,26,3.9569204091094434e-05,0,0,3,3,2,2,2,5,1,1,1,1
0,8,28,2.1831638150615618e-05,0,0,3,3,2,4,2,5,1,1,1,1
0,8,31,0.0004230610211379826,0,0,3,4,2,1,2,1,1,1,1,1
0,8,32,0.00016961252549663186,0,0,3,4,2,2,2,2,1,1,1,1
0,8,33,1.066361346602207e-05,0,0,3,4,2,3,2,3,1,1,1,1
0,8,34,2.805339863698464e-05,0,0,3,4,2,4,2,4,1,1,1,1
0,8,38,0.1766389161348343,0,0,3,5,2,3,2,3,1,2,1,2
0,8,40,0.7839525938034058,0,0,3,5,2,5,2,5,1,2,1,2
0,8,43,2.0124783986830153e-05,0,1,3,6,2,3,2,0,1,0,1,1
0,8,44,3.627292244345881e-07,0,1,3,6,2,4,2,0,1,0,1,1
0,8,46,3.4994175166502828e-06,0,1,3,6,2,6,2,0,1,0,1,1
0,9,0,0.009696470573544502,0,0,3,1,3,0,2,0,1,2,1,4
0,9,1,0.03504783287644386,0,0,3,3,3,1,2,1,1,1,1,1
0,9,2,0.0006003008456900716,0,0,3,3,3,2,2,1,1,1,1,1
0,9,3,0.003703830996528268,0,0,3,3,3,3,2,1,1,1,1,1
0,9,5,0.005546802654862404,0,0,3,3,3,5,2,1,1,1,1,1
0,9,6,0.0004886576789431274,0,0,3,3,3,6,2,1,1,1,1,1
0,9,7,0.13412895798683167,0,0,3,3,3,1,2,2,1,1,1,1
0,9,11,0.01730896160006523,0,0,3,3,3,5,2,2,1,1,1,1
0,9,13,0.00038879108615219593,0,0,3,3,3,1,2,3,1,1,1,1
0,9,18,0.00019466037338133901,0,0,3,3,3,6,2,3,1,1,1,1
0,9,23,0.002637111581861973,0,0,3,3,3,5,2,4,1,1,1,1
0,9,24,4.651111885323189e-05,0,0,3,3,3,6,2,4,1,1,1,1
0,9,25,0.0013925258535891771,0,0,3,3,3,1,2,5,1,1,1,1
0,9,26,0.000281188462395221,0,0,3,3,3,2,2,5,1,1,1,1
0,9,28,0.004422350786626339,0,0,3,3,3,4,2,5,1,1,1,1
0,9,31,0.0013564523542299867,0,0,3,4,3,1,2,1,1,1,1,1
0,9,32,0.001649539335630834,0,0,3,4,3,2,2,2,1,1,1,1
0,9,33,0.00023383158259093761,0,0,3,4,3,3,2,3,1,1,1,1
0,9,34,0.00011117305257357657,0,0,3,4,3,4,2,4,1,1,1,1
0,9,38,0.19100718200206757,0,0,3,5,3,3,2,3,1,2,1,2
0,9,40,0.5893945097923279,0,0,3,5,3,5,2,5,1,2,1,2
0,9,43,0.00022315271780826151,0,1,3,6,3,3,2,0,1,0,1,1
0,9,44,7.792346877977252e-05,0,1,3,6,3,4,2,0,1,0,1,1
0,9,46,6.0900452808709815e-05,0,1,3,6,3,6,2,0,1,0,1,1
0,10,0,0.0001495097967563197,0,0,3,1,4,0,2,0,1,2,1,4
0,10,1,0.011943509802222252,0,0,3,3,4,1,2,1,1,1,1,1
0,10,2,0.00018269853899255395,0,0,3,3,4,2,2,1,1,1,1,1
0,10,3,0.0008433356415480375,0,0,3,3,4,3,2,1,1,1,1,1
0,10,5,0.0007811203831806779,0,0,3,3,4,5,2,1,1,1,1,1
0,10,6,2.853143996617291e-05,0,0,3,3,4,6,2,1,1,1,1,1
