branch,head,coupling_layer,target_coord,mean_entropy
shift,1,0,3,1.239046335220337
shift,1,0,4,0.4042031168937683
shift,1,0,5,0.17408981919288635
shift,1,0,7,1.1363009214401245
shift,1,0,8,0.5660860538482666
shift,1,0,11,0.629124641418457
shift,1,0,12,0.9467936158180237
shift,1,0,14,0.054399359971284866
shift,1,0,16,0.13537411391735077
shift,1,0,17,0.03724156320095062
shift,1,0,19,1.6377570629119873
shift,1,0,20,0.8495093584060669
shift,1,0,21,2.0419137477874756
shift,1,0,22,1.1436607837677002
shift,1,0,23,2.004619836807251
shift,1,0,27,1.1481693983078003
shift,1,0,28,0.7404237985610962
shift,1,0,29,1.031507134437561
shift,1,0,32,0.9848139882087708
shift,1,0,33,0.3085553050041199
shift,1,0,34,0.7973557114601135
shift,1,0,36,0.500874936580658
shift,1,0,45,0.151991069316864
shift,1,0,46,0.2928159832954407
shift,1,1,0,0.011408809572458267
shift,1,1,1,0.020033588632941246
shift,1,1,2,0.00424874946475029
shift,1,1,6,0.02829231321811676
shift,1,1,9,0.025140423327684402
shift,1,1,10,0.9790664315223694
shift,1,1,13,0.3040902018547058
shift,1,1,15,0.9958634376525879
shift,1,1,18,0.05446941405534744
shift,1,1,24,0.43694794178009033
shift,1,1,25,0.004810268525034189
shift,1,1,26,0.09367785602807999
shift,1,1,30,0.013470316305756569
shift,1,1,31,0.005061076954007149
shift,1,1,35,0.02889775112271309
shift,1,1,37,0.4617306590080261
shift,1,1,38,0.7050397396087646
shift,1,1,39,1.3483843803405762
shift,1,1,40,0.007004117127507925
shift,1,1,41,0.5544025897979736
shift,1,1,42,0.551393449306488
shift,1,1,43,0.28895100951194763
shift,1,1,44,1.2455220222473145
shift,1,2,0,1.6641860008239746
shift,1,2,1,2.1378490924835205
shift,1,2,2,1.4864625930786133
shift,1,2,3,0.7298622727394104
shift,1,2,4,2.7871460914611816
shift,1,2,5,2.605813980102539
shift,1,2,6,2.507291793823242
shift,1,2,10,1.834352970123291
shift,1,2,12,1.1965208053588867
shift,1,2,14,2.186422824859619
shift,1,2,15,2.093061685562134
shift,1,2,17,1.9992097616195679
shift,1,2,19,2.434333086013794
shift,1,2,21,2.3495821952819824
shift,1,2,23,2.1843678951263428
shift,1,2,26,1.5633289813995361
shift,1,2,30,1.5699584484100342
shift,1,2,31,1.0293951034545898
shift,1,2,33,2.6036179065704346
shift,1,2,34,2.680528163909912
shift,1,2,35,2.4640185832977295
shift,1,2,36,1.4001177549362183
shift,1,2,38,2.7969276905059814
shift,1,2,46,0.20131853222846985
shift,1,3,7,2.12650728225708
shift,1,3,8,1.7744419574737549
shift,1,3,9,1.8937480449676514
shift,1,3,11,1.4364013671875
shift,1,3,13,2.447171211242676
shift,1,3,16,2.1816141605377197
shift,1,3,18,1.6316242218017578
shift,1,3,20,1.8563212156295776
shift,1,3,22,0.6595736145973206
shift,1,3,24,0.48239001631736755
shift,1,3,25,1.962958574295044
shift,1,3,27,1.4297856092453003
shift,1,3,28,1.7272509336471558
shift,1,3,29,1.7148288488388062
shift,1,3,32,1.8470262289047241
shift,1,3,37,1.7442184686660767
shift,1,3,39,2.155158281326294
shift,1,3,40,1.7122045755386353
shift,1,3,41,2.5033764839172363
shift,1,3,42,2.261146068572998
shift,1,3,43,1.6805413961410522
shift,1,3,44,0.957118034362793
shift,1,3,45,2.1788265705108643
shift,1,4,1,2.552316427230835
shift,1,4,2,2.9061646461486816
shift,1,4,4,2.6764817237854004
shift,1,4,7,2.011265754699707
shift,1,4,8,2.6265618801116943
shift,1,4,9,2.427090644836426
shift,1,4,10,2.256401538848877
shift,1,4,11,2.4690141677856445
shift,1,4,13,0.7086653113365173
shift,1,4,14,2.0706913471221924
shift,1,4,16,1.8694010972976685
shift,1,4,18,1.7100073099136353
shift,1,4,21,1.7302018404006958
shift,1,4,23,1.8067489862442017
shift,1,4,25,2.544660806655884
shift,1,4,28,2.4807188510894775
shift,1,4,30,2.3620922565460205
shift,1,4,33,1.2396289110183716
shift,1,4,36,1.5664602518081665
shift,1,4,37,1.3332700729370117
shift,1,4,38,1.566392421722412
shift,1,4,39,1.920462727546692
shift,1,4,40,1.1943916082382202
shift,1,4,45,1.7790346145629883
shift,1,5,0,1.4361064434051514
