coupling_layer,target_coord,fixed_coord,mean_attention,target_latent_type,fixed_latent_type,target_parameter_type,fixed_parameter_type,target_group,fixed_group,target_unit,fixed_unit,target_layer,fixed_layer,target_side,fixed_side
0,3,0,0.0010528112761676311,0,0,3,1,1,0,1,0,1,2,1,4
0,3,1,0.0009742457768879831,0,0,3,3,1,1,1,1,1,1,1,1
0,3,2,0.006701197940856218,0,0,3,3,1,1,1,1,1,1,1,1
0,3,6,0.004718828946352005,0,0,3,3,1,1,1,1,1,1,1,1
0,3,9,0.09393129497766495,0,0,3,3,1,2,1,2,1,1,1,1
0,3,10,0.07475089281797409,0,0,3,3,1,2,1,2,1,1,1,1
0,3,13,0.005691171158105135,0,0,3,3,1,3,1,3,1,1,1,1
0,3,15,0.046086814254522324,0,0,3,3,1,3,1,3,1,1,1,1
0,3,18,0.05652816593647003,0,0,3,3,1,3,1,3,1,1,1,1
0,3,24,0.04234090819954872,0,0,3,3,1,4,1,4,1,1,1,1
0,3,25,0.0017892391188070178,0,0,3,3,1,5,1,5,1,1,1,1
0,3,26,0.004051746800541878,0,0,3,3,1,5,1,5,1,1,1,1
0,3,30,0.005090423859655857,0,0,3,3,1,5,1,5,1,1,1,1
0,3,31,0.03582650423049927,0,0,3,4,1,1,1,1,1,1,1,1
0,3,35,0.0011576650431379676,0,0,3,4,1,5,1,5,1,1,1,1
0,3,37,0.44904768466949463,0,0,3,5,1,2,1,2,1,2,1,2
0,3,38,0.06491116434335709,0,0,3,5,1,3,1,3,1,2,1,2
0,3,39,0.03248226270079613,0,0,3,5,1,4,1,4,1,2,1,2
0,3,40,0.0010411852272227407,0,0,3,5,1,5,1,5,1,2,1,2
0,3,41,0.0019952584989368916,0,1,3,6,1,1,1,1,1,1,1,5
0,3,42,0.05217773839831352,0,1,3,6,1,2,1,2,1,1,1,5
0,3,43,0.010826662182807922,0,1,3,6,1,3,1,3,1,1,1,5
0,3,44,0.006825762335211039,0,1,3,6,1,4,1,4,1,1,1,5
0,4,0,0.01100093498826027,0,0,3,1,1,0,1,0,1,2,1,4
0,4,1,0.0005502987769432366,0,0,3,3,1,1,1,1,1,1,1,1
0,4,2,0.002542919712141156,0,0,3,3,1,1,1,1,1,1,1,1
0,4,6,0.002147063845768571,0,0,3,3,1,1,1,1,1,1,1,1
0,4,9,0.010027842596173286,0,0,3,3,1,2,1,2,1,1,1,1
0,4,10,0.016715360805392265,0,0,3,3,1,2,1,2,1,1,1,1
0,4,13,0.0023874533362686634,0,0,3,3,1,3,1,3,1,1,1,1
0,4,15,0.026776045560836792,0,0,3,3,1,3,1,3,1,1,1,1
