coupling_layer,target_coord,fixed_coord,mean_attention,target_latent_type,fixed_latent_type,target_parameter_type,fixed_parameter_type,target_group,fixed_group,target_unit,fixed_unit,target_layer,fixed_layer,target_side,fixed_side
0,3,0,0.3234447240829468,0,0,3,1,1,0,1,0,1,2,1,4
0,3,1,0.0011699484894052148,0,0,3,3,1,1,1,1,1,1,1,1
0,3,2,0.0038057633209973574,0,0,3,3,1,1,1,1,1,1,1,1
0,3,6,0.0030250693671405315,0,0,3,3,1,1,1,1,1,1,1,1
0,3,9,0.0007726236362941563,0,0,3,3,1,2,1,2,1,1,1,1
0,3,10,0.0014955418882891536,0,0,3,3,1,2,1,2,1,1,1,1
0,3,13,0.0849757120013237,0,0,3,3,1,3,1,3,1,1,1,1
0,3,15,0.03760695829987526,0,0,3,3,1,3,1,3,1,1,1,1
0,3,18,0.09469322860240936,0,0,3,3,1,3,1,3,1,1,1,1
0,3,24,0.003263042075559497,0,0,3,3,1,4,1,4,1,1,1,1
0,3,25,0.005890677683055401,0,0,3,3,1,5,1,5,1,1,1,1
0,3,26,0.01032023411244154,0,0,3,3,1,5,1,5,1,1,1,1
0,3,30,0.016482023522257805,0,0,3,3,1,5,1,5,1,1,1,1
0,3,31,0.003707367926836014,0,0,3,4,1,1,1,1,1,1,1,1
0,3,35,0.03157348558306694,0,0,3,4,1,5,1,5,1,1,1,1
0,3,37,0.004348458722233772,0,0,3,5,1,2,1,2,1,2,1,2
0,3,38,0.2060764729976654,0,0,3,5,1,3,1,3,1,2,1,2
0,3,39,0.0046927141956985,0,0,3,5,1,4,1,4,1,2,1,2
0,3,40,0.039850618690252304,0,0,3,5,1,5,1,5,1,2,1,2
0,3,41,0.005245101172477007,0,1,3,6,1,1,1,1,1,1,1,5
0,3,42,0.004501692019402981,0,1,3,6,1,2,1,2,1,1,1,5
0,3,43,0.09408523887395859,0,1,3,6,1,3,1,3,1,1,1,5
0,3,44,0.01897347718477249,0,1,3,6,1,4,1,4,1,1,1,5
0,4,0,0.9534088969230652,0,0,3,1,1,0,1,0,1,2,1,4
0,4,1,0.00015904747124295682,0,0,3,3,1,1,1,1,1,1,1,1
0,4,2,0.00025770647334866226,0,0,3,3,1,1,1,1,1,1,1,1
0,4,6,0.00044199940748512745,0,0,3,3,1,1,1,1,1,1,1,1
0,4,9,0.0003149818512611091,0,0,3,3,1,2,1,2,1,1,1,1
0,4,10,0.0005204706685617566,0,0,3,3,1,2,1,2,1,1,1,1
0,4,13,0.0022890688851475716,0,0,3,3,1,3,1,3,1,1,1,1
0,4,15,0.0007806133944541216,0,0,3,3,1,3,1,3,1,1,1,1
0,4,18,0.004005036782473326,0,0,3,3,1,3,1,3,1,1,1,1
0,4,24,0.000585623609367758,0,0,3,3,1,4,1,4,1,1,1,1
0,4,25,0.0005080847186036408,0,0,3,3,1,5,1,5,1,1,1,1
0,4,26,0.0005435727653093636,0,0,3,3,1,5,1,5,1,1,1,1
0,4,30,0.0006573025020770729,0,0,3,3,1,5,1,5,1,1,1,1
0,4,31,0.00020982649584766477,0,0,3,4,1,1,1,1,1,1,1,1
0,4,35,0.0019514835439622402,0,0,3,4,1,5,1,5,1,1,1,1
0,4,37,0.0034730012994259596,0,0,3,5,1,2,1,2,1,2,1,2
0,4,38,0.012681209482252598,0,0,3,5,1,3,1,3,1,2,1,2
0,4,39,0.0038391780108213425,0,0,3,5,1,4,1,4,1,2,1,2
0,4,40,0.010127452202141285,0,0,3,5,1,5,1,5,1,2,1,2
0,4,41,0.00027426431188359857,0,1,3,6,1,1,1,1,1,1,1,5
0,4,42,0.0004904891247861087,0,1,3,6,1,2,1,2,1,1,1,5
0,4,43,0.0005241594626568258,0,1,3,6,1,3,1,3,1,1,1,5
0,4,44,0.001956226769834757,0,1,3,6,1,4,1,4,1,1,1,5
0,5,0,0.659048855304718,0,0,3,1,1,0,1,0,1,2,1,4
0,5,1,0.00018624561198521405,0,0,3,3,1,1,1,1,1,1,1,1
0,5,2,0.0006766380975022912,0,0,3,3,1,1,1,1,1,1,1,1
0,5,6,0.0008749489788897336,0,0,3,3,1,1,1,1,1,1,1,1
0,5,9,0.00013580788800027221,0,0,3,3,1,2,1,2,1,1,1,1
0,5,10,0.00015108645311556756,0,0,3,3,1,2,1,2,1,1,1,1
0,5,13,0.01998376101255417,0,0,3,3,1,3,1,3,1,1,1,1
0,5,15,0.002379820914939046,0,0,3,3,1,3,1,3,1,1,1,1
0,5,18,0.009431415237486362,0,0,3,3,1,3,1,3,1,1,1,1
0,5,24,0.0005617091082967818,0,0,3,3,1,4,1,4,1,1,1,1
0,5,25,0.001298772869631648,0,0,3,3,1,5,1,5,1,1,1,1
0,5,26,0.001506271306425333,0,0,3,3,1,5,1,5,1,1,1,1
