method,epoch,group_id,selection_type,block,layer,unit,global_unit,side,pip,gate_mean,margin_mean,margin_sd,slab_norm_mean,slab_norm_median
RaT,1,0,unit,0,0,0,0,group,0.5419999957084656,0.13190564513206482,0.0838611051440239,0.6587830781936646,1.224883794784546,1.2074429988861084
RaT,1,1,unit,0,0,1,1,group,0.5699999928474426,0.1456986963748932,0.12535396218299866,0.670082151889801,1.2436186075210571,1.229117751121521
RaT,1,2,unit,0,0,2,2,group,0.5559999942779541,0.14468808472156525,0.10930746048688889,0.6812446117401123,1.2330021858215332,1.2246485948562622
RaT,1,3,unit,0,0,3,3,group,0.5730000138282776,0.1492164134979248,0.12712222337722778,0.6814362406730652,1.227326512336731,1.2057063579559326
RaT,1,4,unit,0,0,4,4,group,0.5669999718666077,0.14822036027908325,0.12364450842142105,0.6993458271026611,1.2029772996902466,1.1819185018539429
RaT,250,0,unit,0,0,0,0,group,0.4950000047683716,0.21523645520210266,-0.031540755182504654,1.344167947769165,2.4966881275177,2.483144998550415
RaT,250,1,unit,0,0,1,1,group,0.5019999742507935,0.21780431270599365,0.004385055508464575,1.354375958442688,2.4125306606292725,2.3971147537231445
RaT,250,2,unit,0,0,2,2,group,0.47999998927116394,0.20993657410144806,-0.04567179083824158,1.3351824283599854,2.4264583587646484,2.384950876235962
RaT,250,3,unit,0,0,3,3,group,0.4880000054836273,0.20654693245887756,-0.06286078691482544,1.3590829372406006,2.481621503829956,2.4581477642059326
RaT,250,4,unit,0,0,4,4,group,0.45899999141693115,0.1870204359292984,-0.10954304039478302,1.3147650957107544,2.833181381225586,2.8166494369506836
RaT,500,0,unit,0,0,0,0,group,0.5130000114440918,0.24588856101036072,0.07464321702718735,1.4938331842422485,2.5572760105133057,2.551935911178589
RaT,500,1,unit,0,0,1,1,group,0.5080000162124634,0.24058350920677185,0.05611896887421608,1.4802765846252441,2.480623722076416,2.4488184452056885
RaT,500,2,unit,0,0,2,2,group,0.4819999933242798,0.23189501464366913,-0.019653523340821266,1.4936118125915527,2.408804178237915,2.3495848178863525
RaT,500,3,unit,0,0,3,3,group,0.49799999594688416,0.22859296202659607,-0.020307058468461037,1.4799585342407227,2.4255003929138184,2.391852855682373
RaT,500,4,unit,0,0,4,4,group,0.49399998784065247,0.23407842218875885,0.034674059599637985,1.4511134624481201,2.56968092918396,2.5463576316833496
RaT,750,0,unit,0,0,0,0,group,1.0,0.7297341823577881,1.704213261604309,0.33149227499961853,2.5929596424102783,2.6051366329193115
RaT,750,1,unit,0,0,1,1,group,0.421999990940094,0.09064444899559021,-0.08259616047143936,0.6326940655708313,2.512901782989502,2.4878368377685547
RaT,750,2,unit,0,0,2,2,group,0.4020000100135803,0.07662158459424973,-0.1545325666666031,0.6437557339668274,2.421900987625122,2.3849339485168457
RaT,750,3,unit,0,0,3,3,group,0.3050000071525574,0.0464775450527668,-0.2688112258911133,0.567851185798645,2.544362783432007,2.5209293365478516
RaT,750,4,unit,0,0,4,4,group,1.0,0.7471014261245728,1.762804388999939,0.2728986144065857,2.524397373199463,2.5125763416290283
RaT,1000,0,unit,0,0,0,0,group,1.0,0.6696906089782715,1.4824573993682861,0.3213764727115631,2.510232925415039,2.5116567611694336
RaT,1000,1,unit,0,0,1,1,group,0.07199999690055847,0.0035708248615264893,-0.5478782057762146,0.3880178928375244,2.4004621505737305,2.352977991104126
RaT,1000,2,unit,0,0,2,2,group,0.06300000101327896,0.0032067636493593454,-0.6798701882362366,0.43767592310905457,2.5702855587005615,2.5084195137023926
RaT,1000,3,unit,0,0,3,3,group,0.05999999865889549,0.0020433501340448856,-0.6539003849029541,0.41819170117378235,2.4689252376556396,2.4261081218719482
RaT,1000,4,unit,0,0,4,4,group,1.0,0.7350738644599915,1.7001615762710571,0.24220840632915497,2.4902756214141846,2.474560260772705
RaT,1250,0,unit,0,0,0,0,group,1.0,0.6434484720230103,1.399808406829834,0.3182847499847412,2.5465941429138184,2.5636541843414307
RaT,1250,1,unit,0,0,1,1,group,0.03500000014901161,0.0012345568975433707,-0.6982482671737671,0.4162571132183075,2.494485855102539,2.4487199783325195
RaT,1250,2,unit,0,0,2,2,group,0.05000000074505806,0.003404310205951333,-0.7183264493942261,0.46826860308647156,2.488069534301758,2.4746835231781006
RaT,1250,3,unit,0,0,3,3,group,0.061000000685453415,0.0022386990021914244,-0.6627480983734131,0.4328418970108032,2.514986515045166,2.4899771213531494
RaT,1250,4,unit,0,0,4,4,group,1.0,0.6926239728927612,1.5317654609680176,0.2273050993680954,2.58406400680542,2.5640065670013428
