method,epoch,group_id,selection_type,block,layer,unit,global_unit,side,pip,gate_mean,margin_mean,margin_sd,slab_norm_mean,slab_norm_median
RaT,2000,0,unit,0,0,0,0,group,1.0,0.6239422559738159,1.3299827575683594,0.27677106857299805,2.600313901901245,2.597982168197632
RaT,2000,1,unit,0,0,1,1,group,0.09120000153779984,0.00541834719479084,-0.6081261038780212,0.4633992910385132,2.4988551139831543,2.4572367668151855
RaT,2000,2,unit,0,0,2,2,group,0.09860000014305115,0.007177332416176796,-0.6298750042915344,0.4954466223716736,2.5701165199279785,2.5320229530334473
RaT,2000,3,unit,0,0,3,3,group,0.0729999989271164,0.0026157202664762735,-0.6018532514572144,0.41161924600601196,2.429241895675659,2.3991692066192627
RaT,2000,4,unit,0,0,4,4,group,1.0,0.6948553919792175,1.5432270765304565,0.2403261661529541,2.579791307449341,2.5428671836853027
MCMC,,0,unit,0,0,0,0,group,0.6349499821662903,0.28124356269836426,0.39210501313209534,1.096429705619812,2.5277512073516846,2.4886038303375244
MCMC,,1,unit,0,0,1,1,group,0.8032000064849854,0.4272773563861847,0.8457231521606445,1.0619611740112305,2.5452475547790527,2.5198886394500732
MCMC,,2,unit,0,0,2,2,group,0.5977500081062317,0.24406440556049347,0.27920377254486084,1.0870448350906372,2.515824556350708,2.4808595180511475
MCMC,,3,unit,0,0,3,3,group,0.6628999710083008,0.30704429745674133,0.46722128987312317,1.1277326345443726,2.5320980548858643,2.494929790496826
MCMC,,4,unit,0,0,4,4,group,0.7302500009536743,0.3667077124118805,0.6656069755554199,1.1193387508392334,2.589390277862549,2.557547092437744
