method,epoch,block,layer,unit,global_unit,group_id,posterior_rank,unit_pip,gate_mean,margin_mean,margin_sd,input_slab_norm_mean,output_slab_norm_mean,slab_strength_mean,effective_strength_mean
RaT,1,0,0,3,3,3,1,0.5730000138282776,0.1492164134979248,0.12712222337722778,0.6814362406730652,1.227326512336731,0.3824256658554077,0.46532782912254333,0.0674491673707962
RaT,1,0,0,1,1,1,2,0.5699999928474426,0.1456986963748932,0.12535396218299866,0.670082151889801,1.2436186075210571,0.37855100631713867,0.47868576645851135,0.07337253540754318
RaT,1,0,0,4,4,4,3,0.5669999718666077,0.14822036027908325,0.12364450842142105,0.6993458271026611,1.2029772996902466,0.3984690010547638,0.4815976023674011,0.0705476775765419
RaT,1,0,0,2,2,2,4,0.5559999942779541,0.14468808472156525,0.10930746048688889,0.6812446117401123,1.2330020666122437,0.3792610466480255,0.4648200571537018,0.06661556661128998
RaT,1,0,0,0,0,0,5,0.5419999957084656,0.13190564513206482,0.0838611051440239,0.6587830781936646,1.224883794784546,0.3727111220359802,0.45331794023513794,0.05655095726251602
RaT,250,0,0,1,1,1,1,0.5019999742507935,0.21780431270599365,0.004385055508464575,1.354375958442688,2.4125306606292725,0.0318739153444767,0.07682614773511887,0.016844982281327248
RaT,250,0,0,0,0,0,2,0.4950000047683716,0.21523645520210266,-0.031540755182504654,1.344167947769165,2.4966881275177,0.40620601177215576,1.0138813257217407,0.21833981573581696
RaT,250,0,0,3,3,3,3,0.4880000054836273,0.20654693245887756,-0.06286078691482544,1.3590829372406006,2.481621503829956,0.031726520508527756,0.077872134745121,0.015117503702640533
RaT,250,0,0,2,2,2,4,0.47999998927116394,0.20993657410144806,-0.04567179083824158,1.3351824283599854,2.4264581203460693,0.03271366283297539,0.07849807292222977,0.01774696633219719
RaT,250,0,0,4,4,4,5,0.45899999141693115,0.1870204359292984,-0.10954304039478302,1.3147650957107544,2.833181381225586,0.6324382424354553,1.791598916053772,0.3371588885784149
RaT,500,0,0,0,0,0,1,0.5130000114440918,0.24588856101036072,0.07464321702718735,1.4938331842422485,2.5572760105133057,0.4086519181728363,1.0447083711624146,0.25580480694770813
RaT,500,0,0,1,1,1,2,0.5080000162124634,0.24058350920677185,0.05611896887421608,1.4802765846252441,2.480623722076416,0.030565237626433372,0.07475213706493378,0.017850037664175034
RaT,500,0,0,3,3,3,3,0.49799999594688416,0.22859296202659607,-0.020307058468461037,1.4799585342407227,2.4255006313323975,0.03388260677456856,0.08207623660564423,0.018352683633565903
RaT,500,0,0,4,4,4,4,0.49399998784065247,0.23407842218875885,0.034674059599637985,1.4511134624481201,2.56968092918396,0.6451859474182129,1.6581692695617676,0.38598498702049255
RaT,500,0,0,2,2,2,5,0.4819999933242798,0.23189501464366913,-0.019653523340821266,1.4936118125915527,2.408804416656494,0.030760521069169044,0.07305300235748291,0.016669273376464844
RaT,750,0,0,0,0,0,1,1.0,0.7297341823577881,1.704213261604309,0.33149227499961853,2.5929596424102783,0.5505171418190002,1.4254155158996582,1.0327541828155518
RaT,750,0,0,4,4,4,2,1.0,0.7471014261245728,1.762804388999939,0.2728986144065857,2.524397373199463,0.9127605557441711,2.304395914077759,1.7144324779510498
RaT,750,0,0,1,1,1,3,0.421999990940094,0.09064444899559021,-0.08259616047143936,0.6326940655708313,2.512901782989502,0.13657517731189728,0.3327612578868866,0.027763033285737038
RaT,750,0,0,2,2,2,4,0.4020000100135803,0.07662158459424973,-0.1545325666666031,0.6437557339668274,2.421900987625122,0.18108020722866058,0.43628913164138794,0.028570350259542465
RaT,750,0,0,3,3,3,5,0.3050000071525574,0.0464775450527668,-0.2688112258911133,0.567851185798645,2.544362783432007,0.24034757912158966,0.6103004217147827,0.024303285405039787
RaT,1000,0,0,0,0,0,1,1.0,0.6696906089782715,1.4824573993682861,0.3213764727115631,2.510232925415039,0.5901281237602234,1.4789109230041504,0.9701857566833496
RaT,1000,0,0,4,4,4,2,1.0,0.7350738644599915,1.7001615762710571,0.24220840632915497,2.4902756214141846,0.8649062514305115,2.14438533782959,1.565732717514038
RaT,1000,0,0,1,1,1,3,0.07199999690055847,0.0035708248615264893,-0.5478782057762146,0.3880178928375244,2.4004621505737305,0.618297278881073,1.4755831956863403,0.005634554196149111
RaT,1000,0,0,2,2,2,4,0.06300000101327896,0.0032067636493593454,-0.6798701882362366,0.43767592310905457,2.5702855587005615,0.5966115593910217,1.5359338521957397,0.003401955123990774
RaT,1000,0,0,3,3,3,5,0.05999999865889549,0.0020433501340448856,-0.6539003849029541,0.41819170117378235,2.4689252376556396,0.6152409911155701,1.513751745223999,0.0022803889587521553
RaT,1250,0,0,0,0,0,1,1.0,0.6434484720230103,1.399808406829834,0.3182847499847412,2.5465941429138184,0.6320714354515076,1.6036663055419922,1.005644679069519
RaT,1250,0,0,4,4,4,2,1.0,0.6926239728927612,1.5317654609680176,0.2273050993680954,2.58406400680542,0.9576511383056641,2.452786922454834,1.6850477457046509
RaT,1250,0,0,3,3,3,3,0.061000000685453415,0.0022386990021914244,-0.6627480983734131,0.4328418970108032,2.514986276626587,0.7126927971839905,1.7717576026916504,0.0027103060856461525
RaT,1250,0,0,2,2,2,4,0.05000000074505806,0.003404310205951333,-0.7183264493942261,0.46826860308647156,2.488069772720337,0.7341240048408508,1.813970685005188,0.0037253445480018854
RaT,1250,0,0,1,1,1,5,0.03500000014901161,0.0012345568975433707,-0.6982482671737671,0.4162571132183075,2.494485855102539,0.6560655236244202,1.6404287815093994,0.00203515007160604
RaT,1500,0,0,0,0,0,1,1.0,0.6448540687561035,1.3970218896865845,0.2995545566082001,2.633989095687866,0.640851616859436,1.6793320178985596,1.0592918395996094
RaT,1500,0,0,4,4,4,2,1.0,0.6966754794120789,1.5448668003082275,0.22438357770442963,2.6132702827453613,0.95320725440979,2.4678261280059814,1.7038805484771729
RaT,1500,0,0,2,2,2,3,0.08799999952316284,0.004912145901471376,-0.6434349417686462,0.4837261736392975,2.592818021774292,0.7104013562202454,1.8396812677383423,0.00456687156111002
RaT,1500,0,0,1,1,1,4,0.07400000095367432,0.004795276094228029,-0.6462182402610779,0.45504844188690186,2.578508138656616,0.7278138399124146,1.8666948080062866,0.006200509145855904
RaT,1500,0,0,3,3,3,5,0.05900000035762787,0.003343967953696847,-0.7371224164962769,0.45548996329307556,2.464021921157837,0.6990533471107483,1.7279350757598877,0.005590297747403383
RaT,1750,0,0,0,0,0,1,1.0,0.6179682016372681,1.3203670978546143,0.30030709505081177,2.5612781047821045,0.6527191400527954,1.665987491607666,1.0032840967178345
RaT,1750,0,0,4,4,4,2,1.0,0.6694110035896301,1.4510712623596191,0.2189701348543167,2.73345947265625,0.9907079339027405,2.6729466915130615,1.7716917991638184
RaT,1750,0,0,2,2,2,3,0.09700000286102295,0.004406340420246124,-0.5996494293212891,0.4587404131889343,2.482084035873413,0.6769340634346008,1.6678496599197388,0.005897670518606901
