method,epoch,block,layer,unit,global_unit,group_id,posterior_rank,unit_pip,gate_mean,margin_mean,margin_sd,input_slab_norm_mean,output_slab_norm_mean,slab_strength_mean,effective_strength_mean
RaT,2000,0,0,0,0,0,1,1.0,0.6239422559738159,1.3299827575683594,0.27677106857299805,2.600313901901245,0.6762319207191467,1.7491662502288818,1.0666160583496094
RaT,2000,0,0,4,4,4,2,1.0,0.6948553919792175,1.5432270765304565,0.2403261661529541,2.579791307449341,0.979982316493988,2.4910194873809814,1.7114847898483276
RaT,2000,0,0,2,2,2,3,0.09860000014305115,0.007177332416176796,-0.6298750042915344,0.4954466223716736,2.5701165199279785,0.6680166721343994,1.702133059501648,0.007357413414865732
RaT,2000,0,0,1,1,1,4,0.09120000153779984,0.00541834719479084,-0.6081261038780212,0.4633992910385132,2.4988551139831543,0.6947261691093445,1.7253855466842651,0.007957453839480877
RaT,2000,0,0,3,3,3,5,0.0729999989271164,0.0026157202664762735,-0.6018532514572144,0.41161924600601196,2.429241895675659,0.6790729761123657,1.6329201459884644,0.004380267113447189
MCMC,,0,0,1,1,1,1,0.8032000064849854,0.4272773563861847,0.8457231521606445,1.0619611740112305,2.5452475547790527,0.9316558837890625,2.3195502758026123,0.941208004951477
MCMC,,0,0,4,4,4,2,0.7302500009536743,0.3667077124118805,0.6656069755554199,1.1193387508392334,2.589390277862549,0.8366238474845886,2.1386351585388184,0.744508683681488
MCMC,,0,0,3,3,3,3,0.6628999710083008,0.30704429745674133,0.46722128987312317,1.1277326345443726,2.5320980548858643,0.7756727337837219,1.9189584255218506,0.5040637850761414
MCMC,,0,0,0,0,0,4,0.6349499821662903,0.28124356269836426,0.39210501313209534,1.096429705619812,2.5277512073516846,0.7152703404426575,1.7701045274734497,0.39905059337615967
MCMC,,0,0,2,2,2,5,0.5977500081062317,0.24406440556049347,0.27920377254486084,1.0870448350906372,2.515824556350708,0.7366912364959717,1.8515796661376953,0.37322866916656494
