branch,head,coupling_layer,target_coord,mean_entropy
shift,1,0,3,1.8071354627609253
shift,1,0,4,1.7947874069213867
shift,1,0,5,1.6066858768463135
shift,1,0,7,1.8565311431884766
shift,1,0,8,1.4421783685684204
shift,1,0,11,1.4471601247787476
shift,1,0,12,1.6722939014434814
shift,1,0,14,0.7800235748291016
shift,1,0,16,0.8458660244941711
shift,1,0,17,0.40522056818008423
shift,1,0,19,1.4552756547927856
shift,1,0,20,0.33469030261039734
shift,1,0,21,1.1221282482147217
shift,1,0,22,0.7375248074531555
shift,1,0,23,1.4811712503433228
shift,1,0,27,2.0465962886810303
shift,1,0,28,1.700363278388977
shift,1,0,29,2.2657549381256104
shift,1,0,32,2.0440595149993896
shift,1,0,33,1.2284058332443237
shift,1,0,34,0.28439849615097046
shift,1,0,36,0.5444162487983704
shift,1,0,45,0.9330565929412842
shift,1,0,46,0.3065681755542755
shift,1,1,0,0.16697989404201508
shift,1,1,1,0.7164390087127686
shift,1,1,2,1.8434950113296509
shift,1,1,6,2.495455026626587
shift,1,1,9,1.1838101148605347
shift,1,1,10,1.5588630437850952
shift,1,1,13,1.1484092473983765
shift,1,1,15,1.285291314125061
shift,1,1,18,1.3048540353775024
shift,1,1,24,1.7823058366775513
shift,1,1,25,1.9520485401153564
shift,1,1,26,2.069032907485962
shift,1,1,30,2.1492793560028076
shift,1,1,31,0.9384005069732666
shift,1,1,35,1.41215181350708
shift,1,1,37,1.1813921928405762
shift,1,1,38,0.7057085037231445
shift,1,1,39,0.9121748805046082
shift,1,1,40,0.808517575263977
shift,1,1,41,1.6420772075653076
shift,1,1,42,2.705676794052124
shift,1,1,43,2.5150771141052246
shift,1,1,44,2.374696731567383
shift,1,2,0,2.066624641418457
shift,1,2,1,1.4152748584747314
shift,1,2,2,1.7384448051452637
shift,1,2,3,0.7028072476387024
shift,1,2,4,2.3323442935943604
shift,1,2,5,2.3314690589904785
shift,1,2,6,2.28115177154541
shift,1,2,10,1.0702265501022339
shift,1,2,12,1.698941946029663
shift,1,2,14,1.2264206409454346
shift,1,2,15,1.6945796012878418
shift,1,2,17,2.2289185523986816
shift,1,2,19,1.6174135208129883
shift,1,2,21,0.6903260350227356
shift,1,2,23,1.5872849225997925
shift,1,2,26,1.280460238456726
shift,1,2,30,2.359849691390991
shift,1,2,31,0.7734978795051575
shift,1,2,33,1.3912615776062012
shift,1,2,34,0.59678053855896
shift,1,2,35,1.5979787111282349
shift,1,2,36,2.3469698429107666
shift,1,2,38,1.2274774312973022
shift,1,2,46,1.9421703815460205
shift,1,3,7,0.05862884595990181
