coupling_layer,target_coord,fixed_coord,mean_attention,target_latent_type,fixed_latent_type,target_parameter_type,fixed_parameter_type,target_group,fixed_group,target_unit,fixed_unit,target_layer,fixed_layer,target_side,fixed_side
0,3,0,0.005033808760344982,0,0,3,1,1,0,1,0,1,2,1,4
0,3,1,0.0007379116723313928,0,0,3,3,1,1,1,1,1,1,1,1
0,3,2,0.0026671725790947676,0,0,3,3,1,1,1,1,1,1,1,1
0,3,6,0.00286981207318604,0,0,3,3,1,1,1,1,1,1,1,1
0,3,9,0.011829067021608353,0,0,3,3,1,2,1,2,1,1,1,1
0,3,10,0.012257387861609459,0,0,3,3,1,2,1,2,1,1,1,1
0,3,13,0.00401602778583765,0,0,3,3,1,3,1,3,1,1,1,1
0,3,15,0.024270057678222656,0,0,3,3,1,3,1,3,1,1,1,1
0,3,18,0.023928161710500717,0,0,3,3,1,3,1,3,1,1,1,1
0,3,24,0.025792017579078674,0,0,3,3,1,4,1,4,1,1,1,1
0,3,25,0.0037195903714746237,0,0,3,3,1,5,1,5,1,1,1,1
0,3,26,0.007161873858422041,0,0,3,3,1,5,1,5,1,1,1,1
0,3,30,0.008101243525743484,0,0,3,3,1,5,1,5,1,1,1,1
0,3,31,0.010084508918225765,0,0,3,4,1,1,1,1,1,1,1,1
0,3,35,0.00266467803157866,0,0,3,4,1,5,1,5,1,1,1,1
0,3,37,0.32260948419570923,0,0,3,5,1,2,1,2,1,2,1,2
0,3,38,0.26288267970085144,0,0,3,5,1,3,1,3,1,2,1,2
0,3,39,0.219919353723526,0,0,3,5,1,4,1,4,1,2,1,2
0,3,40,0.013576582074165344,0,0,3,5,1,5,1,5,1,2,1,2
0,3,41,0.0014380111824721098,0,1,3,6,1,1,1,1,1,1,1,5
0,3,42,0.010364191606640816,0,1,3,6,1,2,1,2,1,1,1,5
0,3,43,0.013773920014500618,0,1,3,6,1,3,1,3,1,1,1,5
0,3,44,0.01030282024294138,0,1,3,6,1,4,1,4,1,1,1,5
0,4,0,0.07893425226211548,0,0,3,1,1,0,1,0,1,2,1,4
0,4,1,0.0005275212461128831,0,0,3,3,1,1,1,1,1,1,1,1
0,4,2,0.0008667266229167581,0,0,3,3,1,1,1,1,1,1,1,1
