coupling_layer,target_coord,fixed_coord,mean_attention,target_latent_type,fixed_latent_type,target_parameter_type,fixed_parameter_type,target_group,fixed_group,target_unit,fixed_unit,target_layer,fixed_layer,target_side,fixed_side
0,3,0,0.13447673618793488,0,0,3,1,1,0,1,0,1,2,1,4
0,3,1,0.0021528664510697126,0,0,3,3,1,1,1,1,1,1,1,1
0,3,2,0.004488099366426468,0,0,3,3,1,1,1,1,1,1,1,1
0,3,6,0.004085988737642765,0,0,3,3,1,1,1,1,1,1,1,1
0,3,9,0.001957415835931897,0,0,3,3,1,2,1,2,1,1,1,1
0,3,10,0.003332824446260929,0,0,3,3,1,2,1,2,1,1,1,1
0,3,13,0.1322062909603119,0,0,3,3,1,3,1,3,1,1,1,1
0,3,15,0.08492802083492279,0,0,3,3,1,3,1,3,1,1,1,1
0,3,18,0.19642941653728485,0,0,3,3,1,3,1,3,1,1,1,1
0,3,24,0.009181440807878971,0,0,3,3,1,4,1,4,1,1,1,1
0,3,25,0.01337036956101656,0,0,3,3,1,5,1,5,1,1,1,1
0,3,26,0.018888570368289948,0,0,3,3,1,5,1,5,1,1,1,1
0,3,30,0.021420639008283615,0,0,3,3,1,5,1,5,1,1,1,1
0,3,31,0.003767153713852167,0,0,3,4,1,1,1,1,1,1,1,1
0,3,35,0.05417744442820549,0,0,3,4,1,5,1,5,1,1,1,1
0,3,37,0.0060053677298128605,0,0,3,5,1,2,1,2,1,2,1,2
0,3,38,0.21890504658222198,0,0,3,5,1,3,1,3,1,2,1,2
0,3,39,0.005081654526293278,0,0,3,5,1,4,1,4,1,2,1,2
0,3,40,0.03275284543633461,0,0,3,5,1,5,1,5,1,2,1,2
0,3,41,0.0019741004798561335,0,1,3,6,1,1,1,1,1,1,1,5
0,3,42,0.0029272916726768017,0,1,3,6,1,2,1,2,1,1,1,5
0,3,43,0.036725860089063644,0,1,3,6,1,3,1,3,1,1,1,5
0,3,44,0.010764469392597675,0,1,3,6,1,4,1,4,1,1,1,5
0,4,0,0.27348777651786804,0,0,3,1,1,0,1,0,1,2,1,4
0,4,1,0.003929833881556988,0,0,3,3,1,1,1,1,1,1,1,1
0,4,2,0.004082940518856049,0,0,3,3,1,1,1,1,1,1,1,1
0,4,6,0.007134948391467333,0,0,3,3,1,1,1,1,1,1,1,1
0,4,9,0.012304711155593395,0,0,3,3,1,2,1,2,1,1,1,1
0,4,10,0.021896418184041977,0,0,3,3,1,2,1,2,1,1,1,1
0,4,13,0.10611068457365036,0,0,3,3,1,3,1,3,1,1,1,1
0,4,15,0.06084153428673744,0,0,3,3,1,3,1,3,1,1,1,1
0,4,18,0.2012612670660019,0,0,3,3,1,3,1,3,1,1,1,1
0,4,24,0.031236907467246056,0,0,3,3,1,4,1,4,1,1,1,1
0,4,25,0.02602754719555378,0,0,3,3,1,5,1,5,1,1,1,1
