method,epoch,group_id,selection_type,block,layer,unit,global_unit,side,pip,gate_mean,margin_mean,margin_sd,slab_norm_mean,slab_norm_median
RaT,1,0,unit,0,0,0,0,group,0.5600000023841858,0.140961155295372,0.11384617537260056,0.6677272915840149,1.2684476375579834,1.2498784065246582
RaT,1,1,unit,0,0,1,1,group,0.5820000171661377,0.1529475450515747,0.1481691598892212,0.6768295764923096,1.2662062644958496,1.2660434246063232
RaT,1,2,unit,0,0,2,2,group,0.5659999847412109,0.1523885875940323,0.13485783338546753,0.6878209114074707,1.2749207019805908,1.2631503343582153
RaT,1,3,unit,0,0,3,3,group,0.5879999995231628,0.15957993268966675,0.16070769727230072,0.6894719004631042,1.2512210607528687,1.2218378782272339
RaT,1,4,unit,0,0,4,4,group,0.5580000281333923,0.14491817355155945,0.10939978808164597,0.7032169103622437,1.251293659210205,1.2256985902786255
RaT,250,0,unit,0,0,0,0,group,0.5080000162124634,0.20880930125713348,0.016199259087443352,1.1921894550323486,2.2118990421295166,2.21608829498291
RaT,250,1,unit,0,0,1,1,group,0.5080000162124634,0.2170831263065338,0.04552103579044342,1.2420979738235474,2.1085610389709473,2.1131811141967773
RaT,250,2,unit,0,0,2,2,group,0.49900001287460327,0.21548669040203094,0.022559059783816338,1.2403314113616943,2.1863913536071777,2.1917898654937744
RaT,250,3,unit,0,0,3,3,group,0.5059999823570251,0.20134256780147552,-0.02306389808654785,1.2295489311218262,2.1984951496124268,2.1989951133728027
RaT,250,4,unit,0,0,4,4,group,0.45899999141693115,0.16212502121925354,-0.09719925373792648,1.0842145681381226,2.5251102447509766,2.520632028579712
RaT,500,0,unit,0,0,0,0,group,0.5370000004768372,0.2460719794034958,0.14718793332576752,1.3237255811691284,2.3500635623931885,2.355461597442627
RaT,500,1,unit,0,0,1,1,group,0.5339999794960022,0.23983466625213623,0.1136590763926506,1.3280744552612305,2.233612537384033,2.2093305587768555
RaT,500,2,unit,0,0,2,2,group,0.5040000081062317,0.2295510321855545,0.0456681065261364,1.3364864587783813,2.195584535598755,2.174302101135254
RaT,500,3,unit,0,0,3,3,group,0.5210000276565552,0.22956021130084991,0.055691711604595184,1.330237865447998,2.1619858741760254,2.1378257274627686
RaT,500,4,unit,0,0,4,4,group,0.5130000114440918,0.23991933465003967,0.09204844385385513,1.3592010736465454,2.4967777729034424,2.4998717308044434
RaT,750,0,unit,0,0,0,0,group,1.0,0.6388959884643555,1.390146017074585,0.34011349081993103,2.339020013809204,2.3325157165527344
RaT,750,1,unit,0,0,1,1,group,0.19099999964237213,0.019118696451187134,-0.5828865766525269,0.6602948904037476,2.4434971809387207,2.4616692066192627
RaT,750,2,unit,0,0,2,2,group,0.17399999499320984,0.014999263919889927,-0.56371009349823,0.6198848485946655,2.3918325901031494,2.382964611053467
RaT,750,3,unit,0,0,3,3,group,0.24799999594688416,0.026855649426579475,-0.4222870469093323,0.610343873500824,2.4746875762939453,2.4819328784942627
RaT,750,4,unit,0,0,4,4,group,1.0,0.731713056564331,1.7064977884292603,0.3176603615283966,2.4912266731262207,2.4964869022369385
RaT,1000,0,unit,0,0,0,0,group,1.0,0.5925722718238831,1.2622084617614746,0.335043340921402,2.425496816635132,2.4180028438568115
RaT,1000,1,unit,0,0,1,1,group,0.05299999937415123,0.0009536413126625121,-0.720234751701355,0.5396543741226196,2.348344087600708,2.314598798751831
RaT,1000,2,unit,0,0,2,2,group,0.06599999964237213,0.001116065657697618,-0.7279895544052124,0.576116681098938,2.455014705657959,2.4194858074188232
RaT,1000,3,unit,0,0,3,3,group,0.05299999937415123,0.0005849933950230479,-0.7397748827934265,0.5623617768287659,2.3902735710144043,2.3681249618530273
RaT,1000,4,unit,0,0,4,4,group,1.0,0.6340800523757935,1.3625370264053345,0.2929995357990265,2.464118719100952,2.4678947925567627
