method,epoch,group_id,selection_type,block,layer,unit,global_unit,side,pip,gate_mean,margin_mean,margin_sd,slab_norm_mean,slab_norm_median
RaT,2000,0,unit,0,0,0,0,group,1.0,0.5915810465812683,1.2704051733016968,0.3691032826900482,2.3980512619018555,2.393770217895508
RaT,2000,1,unit,0,0,1,1,group,0.19220000505447388,0.007573742885142565,-0.5328086614608765,0.5878289341926575,2.4619522094726562,2.435436725616455
RaT,2000,2,unit,0,0,2,2,group,0.1589999943971634,0.005721732508391142,-0.5971477627754211,0.5991562008857727,2.4429590702056885,2.419881582260132
RaT,2000,3,unit,0,0,3,3,group,0.15960000455379486,0.0050105140544474125,-0.5988507270812988,0.6039881706237793,2.4332926273345947,2.4240431785583496
RaT,2000,4,unit,0,0,4,4,group,1.0,0.6201696395874023,1.3199362754821777,0.28040701150894165,2.4169623851776123,2.4156603813171387
MCMC,,0,unit,0,0,0,0,group,0.6349499821662903,0.28124356269836426,0.39210501313209534,1.096429705619812,2.5277512073516846,2.4886038303375244
MCMC,,1,unit,0,0,1,1,group,0.8032000064849854,0.4272773563861847,0.8457231521606445,1.0619611740112305,2.5452475547790527,2.5198886394500732
MCMC,,2,unit,0,0,2,2,group,0.5977500081062317,0.24406440556049347,0.27920377254486084,1.0870448350906372,2.515824556350708,2.4808595180511475
MCMC,,3,unit,0,0,3,3,group,0.6628999710083008,0.30704429745674133,0.46722128987312317,1.1277326345443726,2.5320980548858643,2.494929790496826
MCMC,,4,unit,0,0,4,4,group,0.7302500009536743,0.3667077124118805,0.6656069755554199,1.1193387508392334,2.589390277862549,2.557547092437744
