method,target,pip,expected_active_count
VI,unit_rank_1,1.0,2.5107998847961426
VI,unit_rank_2,1.0,2.5107998847961426
VI,unit_rank_3,0.41119998693466187,2.5107998847961426
VI,unit_rank_4,0.09099999815225601,2.5107998847961426
VI,unit_rank_5,0.00860000029206276,2.5107998847961426
matched_MCMC,unit_rank_1,1.0,3.4290499687194824
matched_MCMC,unit_rank_2,1.0,3.4290499687194824
matched_MCMC,unit_rank_3,0.8071500062942505,3.4290499687194824
matched_MCMC,unit_rank_4,0.4689500033855438,3.4290499687194824
matched_MCMC,unit_rank_5,0.1529500037431717,3.4290499687194824
hard_MCMC,unit_rank_1,1.0,2.5215001106262207
hard_MCMC,unit_rank_2,1.0,2.5215001106262207
hard_MCMC,unit_rank_3,0.4031499922275543,2.5215001106262207
hard_MCMC,unit_rank_4,0.10220000147819519,2.5215001106262207
hard_MCMC,unit_rank_5,0.01614999957382679,2.5215001106262207
