method,epoch,block,layer,unit,global_unit,group_id,posterior_rank,unit_pip,gate_mean,margin_mean,margin_sd,input_slab_norm_mean,output_slab_norm_mean,slab_strength_mean,effective_strength_mean
RaT,2000,0,0,0,0,0,1,1.0,0.5915810465812683,1.2704051733016968,0.3691032826900482,2.3980512619018555,0.8226959109306335,1.9436540603637695,1.0979037284851074
RaT,2000,0,0,4,4,4,2,1.0,0.6201696395874023,1.3199362754821777,0.28040701150894165,2.4169623851776123,1.1693590879440308,2.795628547668457,1.6912872791290283
RaT,2000,0,0,1,1,1,3,0.19220000505447388,0.007573742885142565,-0.5328086614608765,0.5878289341926575,2.4619522094726562,0.7157167792320251,1.753090262413025,0.010807019658386707
RaT,2000,0,0,3,3,3,4,0.15960000455379486,0.0050105140544474125,-0.5988507270812988,0.6039881706237793,2.4332926273345947,0.7495887279510498,1.8166027069091797,0.009092818945646286
RaT,2000,0,0,2,2,2,5,0.1589999943971634,0.005721732508391142,-0.5971477627754211,0.5991562008857727,2.4429590702056885,0.7123774886131287,1.7266972064971924,0.007541037164628506
MCMC,,0,0,1,1,1,1,0.8032000064849854,0.4272773563861847,0.8457231521606445,1.0619611740112305,2.5452475547790527,0.9316558837890625,2.3195502758026123,0.941208004951477
MCMC,,0,0,4,4,4,2,0.7302500009536743,0.3667077124118805,0.6656069755554199,1.1193387508392334,2.589390277862549,0.8366238474845886,2.1386351585388184,0.744508683681488
MCMC,,0,0,3,3,3,3,0.6628999710083008,0.30704429745674133,0.46722128987312317,1.1277326345443726,2.5320980548858643,0.7756727337837219,1.9189584255218506,0.5040637850761414
MCMC,,0,0,0,0,0,4,0.6349499821662903,0.28124356269836426,0.39210501313209534,1.096429705619812,2.5277512073516846,0.7152703404426575,1.7701045274734497,0.39905059337615967
MCMC,,0,0,2,2,2,5,0.5977500081062317,0.24406440556049347,0.27920377254486084,1.0870448350906372,2.515824556350708,0.7366912364959717,1.8515796661376953,0.37322866916656494
