branch,head,coupling_layer,target_coord,mean_entropy
shift,1,0,3,0.2725377678871155
shift,1,0,4,0.6793082356452942
shift,1,0,5,0.5234648585319519
shift,1,0,7,1.6192058324813843
shift,1,0,8,1.3419862985610962
shift,1,0,11,1.5367345809936523
shift,1,0,12,1.154376745223999
shift,1,0,14,2.4586920738220215
shift,1,0,16,2.825082540512085
shift,1,0,17,2.754878282546997
shift,1,0,19,1.0718228816986084
shift,1,0,20,0.839729368686676
shift,1,0,21,1.2144412994384766
shift,1,0,22,0.26257166266441345
shift,1,0,23,0.5664321184158325
shift,1,0,27,0.8622846007347107
shift,1,0,28,1.0666033029556274
shift,1,0,29,1.6770931482315063
shift,1,0,32,1.89674711227417
shift,1,0,33,2.359375476837158
shift,1,0,34,0.9252598881721497
shift,1,0,36,0.4050194025039673
shift,1,0,45,0.3444642424583435
shift,1,0,46,0.03261912241578102
shift,1,1,0,0.8610350489616394
shift,1,1,1,1.5805083513259888
shift,1,1,2,2.7015841007232666
shift,1,1,6,2.7177557945251465
shift,1,1,9,1.2218148708343506
shift,1,1,10,1.153387188911438
shift,1,1,13,1.10885751247406
shift,1,1,15,1.257232904434204
shift,1,1,18,0.8948979377746582
shift,1,1,24,2.4183051586151123
shift,1,1,25,2.0678837299346924
shift,1,1,26,2.2226269245147705
shift,1,1,30,2.61026668548584
shift,1,1,31,2.623899221420288
shift,1,1,35,2.747269630432129
shift,1,1,37,0.3119356036186218
shift,1,1,38,0.6221630573272705
shift,1,1,39,2.0703237056732178
shift,1,1,40,2.775327205657959
shift,1,1,41,0.8290327191352844
shift,1,1,42,0.4228554666042328
shift,1,1,43,0.20966848731040955
shift,1,1,44,0.5772789120674133
shift,1,2,0,0.03119722753763199
shift,1,2,1,0.408991277217865
shift,1,2,2,2.1689932346343994
shift,1,2,3,2.179797887802124
shift,1,2,4,1.6888643503189087
shift,1,2,5,0.3518523573875427
shift,1,2,6,2.180424451828003
shift,1,2,10,2.472982883453369
shift,1,2,12,2.35387921333313
shift,1,2,14,2.1458170413970947
shift,1,2,15,2.612586259841919
shift,1,2,17,2.6211323738098145
shift,1,2,19,0.36434659361839294
shift,1,2,21,0.4806937873363495
shift,1,2,23,0.49407219886779785
shift,1,2,26,2.352518081665039
shift,1,2,30,2.4147660732269287
shift,1,2,31,1.7380720376968384
shift,1,2,33,2.4143223762512207
shift,1,2,34,0.1016460582613945
shift,1,2,35,2.3970720767974854
shift,1,2,36,0.18544161319732666
shift,1,2,38,0.8489830493927002
shift,1,2,46,0.4485418498516083
shift,1,3,7,1.5557905435562134
shift,1,3,8,1.6525189876556396
shift,1,3,9,1.5831469297409058
shift,1,3,11,1.65422785282135
shift,1,3,13,0.058504264801740646
shift,1,3,16,0.3705354332923889
shift,1,3,18,0.05344884842634201
shift,1,3,20,1.4073232412338257
shift,1,3,22,0.8851057291030884
shift,1,3,24,1.2713104486465454
shift,1,3,25,1.9737001657485962
shift,1,3,27,0.8621152639389038
shift,1,3,28,0.5130138993263245
shift,1,3,29,0.8153163194656372
shift,1,3,32,1.0885906219482422
shift,1,3,37,0.259202778339386
shift,1,3,39,0.2853391170501709
shift,1,3,40,2.049896001815796
shift,1,3,41,1.0051383972167969
shift,1,3,42,1.224729299545288
shift,1,3,43,2.006765127182007
shift,1,3,44,0.9524208903312683
shift,1,3,45,2.5721986293792725
shift,1,4,1,2.632220506668091
shift,1,4,2,2.552854061126709
shift,1,4,4,2.367753028869629
shift,1,4,7,1.005908489227295
shift,1,4,8,0.841821551322937
shift,1,4,9,1.8623967170715332
shift,1,4,10,0.6740606427192688
shift,1,4,11,1.1285579204559326
shift,1,4,13,2.1885128021240234
shift,1,4,14,2.1417577266693115
shift,1,4,16,2.1464927196502686
shift,1,4,18,2.3092167377471924
shift,1,4,21,0.6123747825622559
shift,1,4,23,0.25455978512763977
shift,1,4,25,1.1503061056137085
shift,1,4,28,1.3380097150802612
shift,1,4,30,1.6223901510238647
shift,1,4,33,2.06821608543396
shift,1,4,36,0.5399158000946045
shift,1,4,37,0.7962324619293213
shift,1,4,38,1.227332592010498
shift,1,4,39,1.3654950857162476
shift,1,4,40,1.5450273752212524
shift,1,4,45,1.8038229942321777
shift,1,5,0,0.2708145081996918
shift,1,5,3,0.922776460647583
shift,1,5,5,1.019443392753601
shift,1,5,6,1.4512194395065308
shift,1,5,12,1.5524965524673462
shift,1,5,15,1.4086042642593384
shift,1,5,17,2.6541213989257812
shift,1,5,19,2.637389659881592
shift,1,5,20,1.7737025022506714
shift,1,5,22,1.499232292175293
shift,1,5,24,2.406423330307007
shift,1,5,26,2.3935976028442383
shift,1,5,27,2.49280047416687
shift,1,5,29,2.466295003890991
shift,1,5,31,0.5331326723098755
shift,1,5,32,0.6720634698867798
shift,1,5,34,2.428581714630127
shift,1,5,35,2.7141523361206055
shift,1,5,41,1.8132399320602417
shift,1,5,42,0.5937628149986267
shift,1,5,43,0.7800179719924927
shift,1,5,44,1.2544028759002686
shift,1,5,46,1.7737388610839844
shift,1,6,0,0.7202100157737732
shift,1,6,2,0.8008753061294556
shift,1,6,4,1.7040666341781616
shift,1,6,5,2.390636920928955
