coupling_layer,target_coord,fixed_coord,mean_attention,target_latent_type,fixed_latent_type,target_parameter_type,fixed_parameter_type,target_group,fixed_group,target_unit,fixed_unit,target_layer,fixed_layer,target_side,fixed_side
0,3,0,0.2697773575782776,0,0,3,1,1,0,1,0,1,2,1,4
0,3,1,0.004056130535900593,0,0,3,3,1,1,1,1,1,1,1,1
0,3,2,0.021390842273831367,0,0,3,3,1,1,1,1,1,1,1,1
0,3,6,0.01925187185406685,0,0,3,3,1,1,1,1,1,1,1,1
0,3,9,0.0027559634763747454,0,0,3,3,1,2,1,2,1,1,1,1
0,3,10,0.003299831412732601,0,0,3,3,1,2,1,2,1,1,1,1
0,3,13,0.008038926869630814,0,0,3,3,1,3,1,3,1,1,1,1
0,3,15,0.005619034171104431,0,0,3,3,1,3,1,3,1,1,1,1
0,3,18,0.001081454916857183,0,0,3,3,1,3,1,3,1,1,1,1
0,3,24,0.0007899976917542517,0,0,3,3,1,4,1,4,1,1,1,1
0,3,25,0.01901412382721901,0,0,3,3,1,5,1,5,1,1,1,1
0,3,26,0.004457118920981884,0,0,3,3,1,5,1,5,1,1,1,1
0,3,30,0.0008373870514333248,0,0,3,3,1,5,1,5,1,1,1,1
0,3,31,0.12085035443305969,0,0,3,4,1,1,1,1,1,1,1,1
0,3,35,0.04653382673859596,0,0,3,4,1,5,1,5,1,1,1,1
0,3,37,0.03051389567553997,0,0,3,5,1,2,1,2,1,2,1,2
0,3,38,0.15680959820747375,0,0,3,5,1,3,1,3,1,2,1,2
0,3,39,0.029053233563899994,0,0,3,5,1,4,1,4,1,2,1,2
0,3,40,0.2548764944076538,0,0,3,5,1,5,1,5,1,2,1,2
0,3,41,0.0003088556695729494,0,1,3,6,1,1,1,1,1,1,1,5
0,3,42,0.0001894450979307294,0,1,3,6,1,2,1,2,1,1,1,5
0,3,43,0.0002995485265273601,0,1,3,6,1,3,1,3,1,1,1,5
0,3,44,0.0001948278513737023,0,1,3,6,1,4,1,4,1,1,1,5
0,4,0,0.18906089663505554,0,0,3,1,1,0,1,0,1,2,1,4
0,4,1,0.003553147427737713,0,0,3,3,1,1,1,1,1,1,1,1
0,4,2,0.049721963703632355,0,0,3,3,1,1,1,1,1,1,1,1
0,4,6,0.075489342212677,0,0,3,3,1,1,1,1,1,1,1,1
0,4,9,0.0074456557631492615,0,0,3,3,1,2,1,2,1,1,1,1
0,4,10,0.016089892014861107,0,0,3,3,1,2,1,2,1,1,1,1
0,4,13,0.021428441628813744,0,0,3,3,1,3,1,3,1,1,1,1
0,4,15,0.005780981387943029,0,0,3,3,1,3,1,3,1,1,1,1
0,4,18,0.002873492892831564,0,0,3,3,1,3,1,3,1,1,1,1
0,4,24,0.0012873058440163732,0,0,3,3,1,4,1,4,1,1,1,1
0,4,25,0.008304482325911522,0,0,3,3,1,5,1,5,1,1,1,1
0,4,26,0.017957553267478943,0,0,3,3,1,5,1,5,1,1,1,1
0,4,30,0.0013425773940980434,0,0,3,3,1,5,1,5,1,1,1,1
0,4,31,0.5487496256828308,0,0,3,4,1,1,1,1,1,1,1,1
0,4,35,0.03268403932452202,0,0,3,4,1,5,1,5,1,1,1,1
