coupling_layer,target_coord,fixed_coord,mean_attention,target_latent_type,fixed_latent_type,target_parameter_type,fixed_parameter_type,target_group,fixed_group,target_unit,fixed_unit,target_layer,fixed_layer,target_side,fixed_side
0,3,0,0.000991803826764226,0,0,3,1,1,0,1,0,1,2,1,4
0,3,1,0.00010168232256546617,0,0,3,3,1,1,1,1,1,1,1,1
0,3,2,1.0567606295808218e-05,0,0,3,3,1,1,1,1,1,1,1,1
0,3,6,5.4381456720875576e-05,0,0,3,3,1,1,1,1,1,1,1,1
0,3,9,5.368988695408916e-06,0,0,3,3,1,2,1,2,1,1,1,1
0,3,10,1.9005185095011257e-05,0,0,3,3,1,2,1,2,1,1,1,1
0,3,13,0.0017831907607614994,0,0,3,3,1,3,1,3,1,1,1,1
0,3,15,0.0037419269792735577,0,0,3,3,1,3,1,3,1,1,1,1
0,3,18,0.0017786137759685516,0,0,3,3,1,3,1,3,1,1,1,1
0,3,24,0.00021532541722990572,0,0,3,3,1,4,1,4,1,1,1,1
0,3,25,1.0817730071721599e-05,0,0,3,3,1,5,1,5,1,1,1,1
0,3,26,2.2992750018602237e-05,0,0,3,3,1,5,1,5,1,1,1,1
0,3,30,1.3857548765372485e-05,0,0,3,3,1,5,1,5,1,1,1,1
0,3,31,2.3058335500536487e-05,0,0,3,4,1,1,1,1,1,1,1,1
0,3,35,2.160111762350425e-05,0,0,3,4,1,5,1,5,1,1,1,1
0,3,37,0.0014354302547872066,0,0,3,5,1,2,1,2,1,2,1,2
0,3,38,0.9432652592658997,0,0,3,5,1,3,1,3,1,2,1,2
0,3,39,0.04237540066242218,0,0,3,5,1,4,1,4,1,2,1,2
0,3,40,0.001344312448054552,0,0,3,5,1,5,1,5,1,2,1,2
0,3,41,7.566672138636932e-05,0,1,3,6,1,1,1,1,1,1,1,5
0,3,42,1.2511430213635322e-05,0,1,3,6,1,2,1,2,1,1,1,5
0,3,43,0.0018818738171830773,0,1,3,6,1,3,1,3,1,1,1,5
0,3,44,0.0008152700611390173,0,1,3,6,1,4,1,4,1,1,1,5
0,4,0,0.003513110801577568,0,0,3,1,1,0,1,0,1,2,1,4
0,4,1,0.0001684209710219875,0,0,3,3,1,1,1,1,1,1,1,1
0,4,2,1.6174555639736354e-05,0,0,3,3,1,1,1,1,1,1,1,1
0,4,6,4.1443203372182325e-05,0,0,3,3,1,1,1,1,1,1,1,1
0,4,9,3.2360435398004483e-07,0,0,3,3,1,2,1,2,1,1,1,1
0,4,10,1.4070106999497511e-06,0,0,3,3,1,2,1,2,1,1,1,1
0,4,13,0.00030095555121079087,0,0,3,3,1,3,1,3,1,1,1,1
0,4,15,0.0004957222263328731,0,0,3,3,1,3,1,3,1,1,1,1
0,4,18,0.0003446506743784994,0,0,3,3,1,3,1,3,1,1,1,1
0,4,24,0.0005249851965345442,0,0,3,3,1,4,1,4,1,1,1,1
0,4,25,2.9858049401809694e-06,0,0,3,3,1,5,1,5,1,1,1,1
0,4,26,1.7420002222934272e-06,0,0,3,3,1,5,1,5,1,1,1,1
0,4,30,3.462518861852004e-06,0,0,3,3,1,5,1,5,1,1,1,1
0,4,31,7.42126940167509e-06,0,0,3,4,1,1,1,1,1,1,1,1
0,4,35,2.061265149677638e-06,0,0,3,4,1,5,1,5,1,1,1,1
0,4,37,0.0004992465837858617,0,0,3,5,1,2,1,2,1,2,1,2
0,4,38,0.33703139424324036,0,0,3,5,1,3,1,3,1,2,1,2
0,4,39,0.6519483923912048,0,0,3,5,1,4,1,4,1,2,1,2
0,4,40,0.002380846533924341,0,0,3,5,1,5,1,5,1,2,1,2
0,4,41,0.00015347416047006845,0,1,3,6,1,1,1,1,1,1,1,5
0,4,42,3.153322268190095e-06,0,1,3,6,1,2,1,2,1,1,1,5
0,4,43,0.0010767963249236345,0,1,3,6,1,3,1,3,1,1,1,5
0,4,44,0.0014817669289186597,0,1,3,6,1,4,1,4,1,1,1,5
0,5,0,0.0005765720852650702,0,0,3,1,1,0,1,0,1,2,1,4
0,5,1,7.24456476746127e-05,0,0,3,3,1,1,1,1,1,1,1,1
0,5,2,4.31632452091435e-06,0,0,3,3,1,1,1,1,1,1,1,1
0,5,6,1.608658021723386e-05,0,0,3,3,1,1,1,1,1,1,1,1
0,5,9,1.3497839290721458e-07,0,0,3,3,1,2,1,2,1,1,1,1
0,5,10,1.0089053148476523e-06,0,0,3,3,1,2,1,2,1,1,1,1
0,5,13,0.00014607423509005457,0,0,3,3,1,3,1,3,1,1,1,1
0,5,15,0.0002596998238004744,0,0,3,3,1,3,1,3,1,1,1,1
0,5,18,0.00015786882431712002,0,0,3,3,1,3,1,3,1,1,1,1
0,5,24,2.180117371608503e-05,0,0,3,3,1,4,1,4,1,1,1,1
0,5,25,1.8592977539810818e-06,0,0,3,3,1,5,1,5,1,1,1,1
