method,epoch,group_id,selection_type,block,layer,unit,global_unit,side,pip,gate_mean,margin_mean,margin_sd,slab_norm_mean,slab_norm_median
RaT,1,0,unit,0,0,0,0,group,0.4399999976158142,0.19217611849308014,-0.09351644665002823,0.6721047163009644,1.242626667022705,1.2409379482269287
RaT,1,1,unit,0,0,1,1,group,0.5360000133514404,0.25372636318206787,0.05117221549153328,0.6794219017028809,1.2311224937438965,1.2313761711120605
RaT,1,2,unit,0,0,2,2,group,0.4909999966621399,0.2255944311618805,-0.021139245480298996,0.6870442628860474,1.2178534269332886,1.198289155960083
RaT,1,3,unit,0,0,3,3,group,0.46000000834465027,0.21876515448093414,-0.060964684933423996,0.6868003010749817,1.221902847290039,1.1929033994674683
RaT,1,4,unit,0,0,4,4,group,0.4259999990463257,0.17285986244678497,-0.13890284299850464,0.6705370545387268,1.2106406688690186,1.1932666301727295
RaT,250,0,unit,0,0,0,0,group,0.5239999890327454,0.3912534713745117,0.00581805594265461,1.475449800491333,2.460940361022949,2.4554996490478516
RaT,250,1,unit,0,0,1,1,group,0.4869999885559082,0.35400697588920593,-0.007728702388703823,1.4513118267059326,2.4412436485290527,2.419347047805786
RaT,250,2,unit,0,0,2,2,group,0.5099999904632568,0.3614957928657532,-0.016101539134979248,1.5216529369354248,2.4482548236846924,2.4272642135620117
RaT,250,3,unit,0,0,3,3,group,0.5230000019073486,0.37578123807907104,0.033012278378009796,1.4845610857009888,2.644956111907959,2.648688316345215
RaT,250,4,unit,0,0,4,4,group,0.5059999823570251,0.3757490813732147,-0.02392336167395115,1.5433545112609863,2.389392137527466,2.370072841644287
RaT,500,0,unit,0,0,0,0,group,0.4740000069141388,0.3309122920036316,-0.11226571351289749,1.4118678569793701,2.5057358741760254,2.499051809310913
RaT,500,1,unit,0,0,1,1,group,0.4580000042915344,0.3153011202812195,-0.18197228014469147,1.4045511484146118,2.322695016860962,2.3108127117156982
RaT,500,2,unit,0,0,2,2,group,0.47600001096725464,0.3468807339668274,-0.04460889846086502,1.3963494300842285,2.3621280193328857,2.3333871364593506
RaT,500,3,unit,0,0,3,3,group,0.49399998784065247,0.35265761613845825,-0.0284353569149971,1.4071522951126099,2.7095868587493896,2.7115278244018555
RaT,500,4,unit,0,0,4,4,group,0.5019999742507935,0.36764857172966003,0.002667562570422888,1.454389214515686,2.3543710708618164,2.3003149032592773
RaT,750,0,unit,0,0,0,0,group,1.0,0.9964642524719238,1.8760000467300415,0.49536868929862976,2.406440019607544,2.3995954990386963
RaT,750,1,unit,0,0,1,1,group,0.8259999752044678,0.6527571082115173,0.8935861587524414,0.976252555847168,2.252082586288452,2.2254021167755127
RaT,750,2,unit,0,0,2,2,group,0.7960000038146973,0.6049070954322815,0.8012531995773315,1.0125049352645874,2.3063392639160156,2.2470672130584717
RaT,750,3,unit,0,0,3,3,group,1.0,0.9978353381156921,1.99325430393219,0.5006601214408875,2.5782628059387207,2.5737147331237793
RaT,750,4,unit,0,0,4,4,group,0.7319999933242798,0.5497198700904846,0.6554237008094788,1.062031626701355,2.2962822914123535,2.256725311279297
RaT,1000,0,unit,0,0,0,0,group,1.0,0.9969747066497803,1.7786496877670288,0.4927343726158142,2.5615272521972656,2.5708229541778564
RaT,1000,1,unit,0,0,1,1,group,0.6990000009536743,0.5145401358604431,0.5829154253005981,1.0624498128890991,2.247649908065796,2.2268552780151367
RaT,1000,2,unit,0,0,2,2,group,0.7179999947547913,0.5229801535606384,0.5722029209136963,0.9956584572792053,2.2827818393707275,2.2708444595336914
RaT,1000,3,unit,0,0,3,3,group,1.0,0.9960469007492065,1.8400346040725708,0.5227842330932617,2.684154748916626,2.686619520187378
RaT,1000,4,unit,0,0,4,4,group,0.6819999814033508,0.5189588069915771,0.5017511248588562,1.0342028141021729,2.2926976680755615,2.274542808532715
RaT,1250,0,unit,0,0,0,0,group,1.0,0.9945065975189209,1.6165673732757568,0.49042531847953796,2.4399168491363525,2.4231925010681152
RaT,1250,1,unit,0,0,1,1,group,0.5379999876022339,0.3519235849380493,0.1488553285598755,0.9509050846099854,2.2325356006622314,2.1894443035125732
RaT,1250,2,unit,0,0,2,2,group,0.5529999732971191,0.3654368817806244,0.1818370372056961,0.988569974899292,2.275358200073242,2.2470715045928955
RaT,1250,3,unit,0,0,3,3,group,1.0,0.993552029132843,1.6636550426483154,0.5263978242874146,2.526031017303467,2.5062100887298584
RaT,1250,4,unit,0,0,4,4,group,0.5870000123977661,0.37531617283821106,0.22296231985092163,0.9413240551948547,2.275815010070801,2.243101119995117
RaT,1500,0,unit,0,0,0,0,group,1.0,0.9981499314308167,1.4765126705169678,0.32820263504981995,2.5573887825012207,2.5455284118652344
RaT,1500,1,unit,0,0,1,1,group,0.05900000035762787,0.007247159257531166,-0.7048512101173401,0.4536712169647217,2.4750194549560547,2.4258339405059814
RaT,1500,2,unit,0,0,2,2,group,0.03799999877810478,0.004919813014566898,-0.6996563673019409,0.41570010781288147,2.3315229415893555,2.2975432872772217
