method,epoch,group_id,selection_type,block,layer,unit,global_unit,side,pip,gate_mean,margin_mean,margin_sd,slab_norm_mean,slab_norm_median
RaT,2000,0,unit,0,0,0,0,group,0.9998000264167786,0.9927994012832642,1.410468578338623,0.3738386929035187,2.49707293510437,2.4873969554901123
RaT,2000,1,unit,0,0,1,1,group,0.055799998342990875,0.007694176398217678,-0.7893876433372498,0.505861222743988,2.5849485397338867,2.542623996734619
RaT,2000,2,unit,0,0,2,2,group,0.039400000125169754,0.0033137344289571047,-0.8818039894104004,0.4996955394744873,2.574054479598999,2.5370864868164062
RaT,2000,3,unit,0,0,3,3,group,1.0,0.9956629872322083,1.4162328243255615,0.37669116258621216,2.613802671432495,2.6070680618286133
RaT,2000,4,unit,0,0,4,4,group,0.039000000804662704,0.0027243641670793295,-0.762431800365448,0.443619966506958,2.5806515216827393,2.534633159637451
MCMC,,0,unit,0,0,0,0,group,0.798550009727478,0.6411784291267395,0.7131836414337158,1.0148390531539917,2.465456247329712,2.423591136932373
MCMC,,1,unit,0,0,1,1,group,0.6252999901771545,0.44623851776123047,0.3122016191482544,1.0888549089431763,2.519338846206665,2.4811465740203857
MCMC,,2,unit,0,0,2,2,group,0.6659500002861023,0.4919221103191376,0.4099283218383789,1.0867146253585815,2.498183488845825,2.4502224922180176
MCMC,,3,unit,0,0,3,3,group,0.5838000178337097,0.38425055146217346,0.20962359011173248,1.0887091159820557,2.504875898361206,2.475895881652832
MCMC,,4,unit,0,0,4,4,group,0.47145000100135803,0.2565317749977112,-0.047842610627412796,1.028436303138733,2.5332958698272705,2.502230405807495
