method,epoch,block,layer,unit,global_unit,group_id,posterior_rank,unit_pip,gate_mean,margin_mean,margin_sd,input_slab_norm_mean,output_slab_norm_mean,slab_strength_mean,effective_strength_mean
RaT,1,0,0,1,1,1,1,0.5360000133514404,0.25372636318206787,0.05117221549153328,0.6794219017028809,1.2311224937438965,0.376889169216156,0.4603039622306824,0.1096947118639946
RaT,1,0,0,2,2,2,2,0.4909999966621399,0.2255944311618805,-0.021139245480298996,0.6870442628860474,1.2178534269332886,0.3800034523010254,0.46277549862861633,0.10506672412157059
RaT,1,0,0,3,3,3,3,0.46000000834465027,0.21876515448093414,-0.060964684933423996,0.6868003010749817,1.221902847290039,0.382858544588089,0.4703570306301117,0.09998255968093872
RaT,1,0,0,0,0,0,4,0.4399999976158142,0.19217611849308014,-0.09351644665002823,0.6721047163009644,1.242626667022705,0.3961177468299866,0.49130377173423767,0.10362862050533295
RaT,1,0,0,4,4,4,5,0.4259999990463257,0.17285986244678497,-0.13890284299850464,0.6705370545387268,1.2106406688690186,0.38456082344055176,0.4634113907814026,0.07844699919223785
RaT,250,0,0,0,0,0,1,0.5239999890327454,0.3912534713745117,0.00581805594265461,1.475449800491333,2.460940361022949,0.4178844094276428,1.028304934501648,0.40318045020103455
RaT,250,0,0,3,3,3,2,0.5230000019073486,0.37578123807907104,0.033012278378009796,1.4845610857009888,2.644956111907959,0.6047201752662659,1.5979101657867432,0.6003413796424866
RaT,250,0,0,2,2,2,3,0.5099999904632568,0.3614957928657532,-0.016101539134979248,1.5216529369354248,2.4482548236846924,0.0302320197224617,0.07388440519571304,0.027296017855405807
RaT,250,0,0,4,4,4,4,0.5059999823570251,0.3757490813732147,-0.02392336167395115,1.5433545112609863,2.389392137527466,0.033613912761211395,0.08130644261837006,0.02956359088420868
RaT,250,0,0,1,1,1,5,0.4869999885559082,0.35400697588920593,-0.007728702388703823,1.4513118267059326,2.4412436485290527,0.03420964255928993,0.08314045518636703,0.028311122208833694
RaT,500,0,0,4,4,4,1,0.5019999742507935,0.36764857172966003,0.002667562570422888,1.454389214515686,2.3543710708618164,0.03357155621051788,0.07876322418451309,0.02903299406170845
RaT,500,0,0,3,3,3,2,0.49399998784065247,0.35265761613845825,-0.0284353569149971,1.4071522951126099,2.7095868587493896,0.6150685548782349,1.6629899740219116,0.5849100351333618
RaT,500,0,0,2,2,2,3,0.47600001096725464,0.3468807339668274,-0.04460889846086502,1.3963494300842285,2.3621280193328857,0.03337161988019943,0.07879073172807693,0.027129435911774635
RaT,500,0,0,0,0,0,4,0.4740000069141388,0.3309122920036316,-0.11226571351289749,1.4118678569793701,2.5057358741760254,0.4177275002002716,1.0450551509857178,0.35017743706703186
RaT,500,0,0,1,1,1,5,0.4580000042915344,0.3153011202812195,-0.18197228014469147,1.4045511484146118,2.322695016860962,0.030860088765621185,0.0715450718998909,0.021966388449072838
RaT,750,0,0,0,0,0,1,1.0,0.9964642524719238,1.8760000467300415,0.49536868929862976,2.406440019607544,0.4166051745414734,0.9992465972900391,0.9956030249595642
RaT,750,0,0,3,3,3,2,1.0,0.9978353381156921,1.99325430393219,0.5006601214408875,2.5782628059387207,0.6156280636787415,1.5798466205596924,1.576235294342041
RaT,750,0,0,1,1,1,3,0.8259999752044678,0.6527571082115173,0.8935861587524414,0.976252555847168,2.252082586288452,0.04250523820519447,0.0956648513674736,0.06322072446346283
RaT,750,0,0,2,2,2,4,0.7960000038146973,0.6049070954322815,0.8012531995773315,1.0125049352645874,2.3063392639160156,0.04591691121459007,0.10672569274902344,0.0623399056494236
