method,epoch,block,layer,unit,global_unit,group_id,posterior_rank,unit_pip,gate_mean,margin_mean,margin_sd,input_slab_norm_mean,output_slab_norm_mean,slab_strength_mean,effective_strength_mean
RaT,2000,0,0,3,3,3,1,1.0,0.9956629872322083,1.4162328243255615,0.37669116258621216,2.613802671432495,0.6658051609992981,1.7103937864303589,1.7026253938674927
RaT,2000,0,0,0,0,0,2,0.9998000264167786,0.9927994012832642,1.410468578338623,0.3738386929035187,2.49707293510437,0.4243775010108948,1.0412318706512451,1.033674716949463
RaT,2000,0,0,1,1,1,3,0.055799998342990875,0.007694176398217678,-0.7893876433372498,0.505861222743988,2.5849485397338867,0.750678539276123,1.939310908317566,0.005383711773902178
RaT,2000,0,0,2,2,2,4,0.039400000125169754,0.0033137344289571047,-0.8818039894104004,0.4996955394744873,2.574054479598999,0.7462211847305298,1.901799201965332,0.00437157554551959
RaT,2000,0,0,4,4,4,5,0.039000000804662704,0.0027243641670793295,-0.762431800365448,0.443619966506958,2.5806515216827393,0.7890861630439758,2.043586015701294,0.004490389954298735
MCMC,,0,0,0,0,0,1,0.798550009727478,0.6411784291267395,0.7131836414337158,1.0148390531539917,2.465456247329712,0.6824833154678345,1.627219319343567,0.8746126890182495
MCMC,,0,0,2,2,2,2,0.6659500002861023,0.4919221103191376,0.4099283218383789,1.0867146253585815,2.498183488845825,0.7545667290687561,1.8367849588394165,0.7638295292854309
MCMC,,0,0,1,1,1,3,0.6252999901771545,0.44623851776123047,0.3122016191482544,1.0888549089431763,2.519338607788086,0.6796846389770508,1.6832695007324219,0.5788226127624512
MCMC,,0,0,3,3,3,4,0.5838000178337097,0.38425055146217346,0.20962359011173248,1.0887091159820557,2.504875898361206,0.6685150265693665,1.644545316696167,0.4308058023452759
MCMC,,0,0,4,4,4,5,0.47145000100135803,0.2565317749977112,-0.047842610627412796,1.028436303138733,2.5332958698272705,0.7020605206489563,1.7789698839187622,0.2884413003921509
