branch,head,coupling_layer,target_coord,mean_entropy
shift,1,0,3,2.719803810119629
shift,1,0,4,2.6637816429138184
shift,1,0,5,2.682018518447876
shift,1,0,7,0.657073438167572
shift,1,0,8,0.6551974415779114
shift,1,0,11,0.4741367995738983
shift,1,0,12,0.6798126101493835
shift,1,0,14,1.486510992050171
shift,1,0,16,1.3625653982162476
shift,1,0,17,1.8496174812316895
shift,1,0,19,2.6924846172332764
shift,1,0,20,2.7200512886047363
shift,1,0,21,2.832540273666382
shift,1,0,22,1.5439990758895874
shift,1,0,23,2.9101650714874268
shift,1,0,27,0.056365806609392166
shift,1,0,28,0.06184973940253258
shift,1,0,29,0.3962617814540863
shift,1,0,32,0.5086963176727295
shift,1,0,33,1.028210163116455
shift,1,0,34,1.8408180475234985
shift,1,0,36,0.03129531070590019
shift,1,0,45,0.012165184132754803
shift,1,0,46,0.47205406427383423
shift,1,1,0,1.3507261276245117
shift,1,1,1,0.2293807566165924
shift,1,1,2,2.5999441146850586
shift,1,1,6,0.34887996315956116
shift,1,1,9,0.02472183108329773
shift,1,1,10,0.004632327239960432
shift,1,1,13,0.1512364000082016
shift,1,1,15,0.0027060804422944784
shift,1,1,18,0.0027525126934051514
shift,1,1,24,2.7992141246795654
shift,1,1,25,0.12312080711126328
shift,1,1,26,0.0476638488471508
shift,1,1,30,0.09763024747371674
shift,1,1,31,0.8306019306182861
shift,1,1,35,0.29190927743911743
shift,1,1,37,0.09041745960712433
shift,1,1,38,0.11471462994813919
shift,1,1,39,2.030158519744873
shift,1,1,40,0.16991682350635529
shift,1,1,41,2.2855403423309326
shift,1,1,42,2.0953874588012695
shift,1,1,43,2.1174731254577637
shift,1,1,44,2.0252411365509033
shift,1,2,0,1.3262939453125
shift,1,2,1,1.0081907510757446
shift,1,2,2,2.0549139976501465
shift,1,2,3,2.132223606109619
shift,1,2,4,1.3774467706680298
shift,1,2,5,1.3549026250839233
shift,1,2,6,1.756646990776062
shift,1,2,10,2.4403481483459473
shift,1,2,12,2.5848522186279297
shift,1,2,14,2.4499106407165527
shift,1,2,15,2.209824323654175
shift,1,2,17,2.678194284439087
shift,1,2,19,1.6066291332244873
shift,1,2,21,0.7193244695663452
shift,1,2,23,1.4556689262390137
shift,1,2,26,2.4426798820495605
shift,1,2,30,2.149350881576538
shift,1,2,31,1.0126270055770874
shift,1,2,33,2.8146519660949707
shift,1,2,34,0.3624616265296936
shift,1,2,35,1.4695558547973633
shift,1,2,36,1.0355395078659058
