coupling_layer,target_coord,fixed_coord,mean_attention,target_latent_type,fixed_latent_type,target_parameter_type,fixed_parameter_type,target_group,fixed_group,target_unit,fixed_unit,target_layer,fixed_layer,target_side,fixed_side
0,3,0,0.03866575285792351,0,0,3,1,1,0,1,0,1,2,1,4
0,3,1,0.19917179644107819,0,0,3,3,1,1,1,1,1,1,1,1
0,3,2,0.020829832181334496,0,0,3,3,1,1,1,1,1,1,1,1
0,3,6,0.13308483362197876,0,0,3,3,1,1,1,1,1,1,1,1
0,3,9,0.01906348019838333,0,0,3,3,1,2,1,2,1,1,1,1
0,3,10,0.01758568175137043,0,0,3,3,1,2,1,2,1,1,1,1
0,3,13,0.05595298111438751,0,0,3,3,1,3,1,3,1,1,1,1
0,3,15,0.052820440381765366,0,0,3,3,1,3,1,3,1,1,1,1
0,3,18,0.06941444426774979,0,0,3,3,1,3,1,3,1,1,1,1
0,3,24,0.017326459288597107,0,0,3,3,1,4,1,4,1,1,1,1
0,3,25,0.0211247056722641,0,0,3,3,1,5,1,5,1,1,1,1
0,3,26,0.08856754750013351,0,0,3,3,1,5,1,5,1,1,1,1
0,3,30,0.038523200899362564,0,0,3,3,1,5,1,5,1,1,1,1
0,3,31,0.017636245116591454,0,0,3,4,1,1,1,1,1,1,1,1
0,3,35,0.08008624613285065,0,0,3,4,1,5,1,5,1,1,1,1
0,3,37,0.01737516187131405,0,0,3,5,1,2,1,2,1,2,1,2
0,3,38,0.03901136666536331,0,0,3,5,1,3,1,3,1,2,1,2
0,3,39,0.008224562741816044,0,0,3,5,1,4,1,4,1,2,1,2
0,3,40,0.012960882857441902,0,0,3,5,1,5,1,5,1,2,1,2
0,3,41,0.010024710558354855,0,1,3,6,1,1,1,1,1,1,1,5
0,3,42,0.003105645067989826,0,1,3,6,1,2,1,2,1,1,1,5
0,3,43,0.019466234371066093,0,1,3,6,1,3,1,3,1,1,1,5
0,3,44,0.019977755844593048,0,1,3,6,1,4,1,4,1,1,1,5
0,4,0,0.24313874542713165,0,0,3,1,1,0,1,0,1,2,1,4
0,4,1,0.030661720782518387,0,0,3,3,1,1,1,1,1,1,1,1
0,4,2,0.01501214038580656,0,0,3,3,1,1,1,1,1,1,1,1
0,4,6,0.11353036761283875,0,0,3,3,1,1,1,1,1,1,1,1
0,4,9,0.015350604429841042,0,0,3,3,1,2,1,2,1,1,1,1
0,4,10,0.012427949346601963,0,0,3,3,1,2,1,2,1,1,1,1
0,4,13,0.045463383197784424,0,0,3,3,1,3,1,3,1,1,1,1
0,4,15,0.03431098163127899,0,0,3,3,1,3,1,3,1,1,1,1
0,4,18,0.0288553424179554,0,0,3,3,1,3,1,3,1,1,1,1
0,4,24,0.006852601654827595,0,0,3,3,1,4,1,4,1,1,1,1
0,4,25,0.023898329585790634,0,0,3,3,1,5,1,5,1,1,1,1
0,4,26,0.04882511496543884,0,0,3,3,1,5,1,5,1,1,1,1
0,4,30,0.049775805324316025,0,0,3,3,1,5,1,5,1,1,1,1
0,4,31,0.022522686049342155,0,0,3,4,1,1,1,1,1,1,1,1
0,4,35,0.05106806010007858,0,0,3,4,1,5,1,5,1,1,1,1
0,4,37,0.04698089510202408,0,0,3,5,1,2,1,2,1,2,1,2
0,4,38,0.10030195862054825,0,0,3,5,1,3,1,3,1,2,1,2
0,4,39,0.00567406602203846,0,0,3,5,1,4,1,4,1,2,1,2
0,4,40,0.018658217042684555,0,0,3,5,1,5,1,5,1,2,1,2
0,4,41,0.006720251869410276,0,1,3,6,1,1,1,1,1,1,1,5
0,4,42,0.007216393481940031,0,1,3,6,1,2,1,2,1,1,1,5
0,4,43,0.06077484041452408,0,1,3,6,1,3,1,3,1,1,1,5
