method,epoch,group_id,selection_type,block,layer,unit,global_unit,side,pip,gate_mean,margin_mean,margin_sd,slab_norm_mean,slab_norm_median
RaT,1,0,unit,0,0,0,0,group,0.4620000123977661,0.20991727709770203,-0.05642881244421005,0.6819555759429932,1.2589572668075562,1.2514899969100952
RaT,1,1,unit,0,0,1,1,group,0.5600000023841858,0.2771572470664978,0.09586130082607269,0.6875398755073547,1.251357078552246,1.2421380281448364
RaT,1,2,unit,0,0,2,2,group,0.5189999938011169,0.24493436515331268,0.016551561653614044,0.697024941444397,1.242875099182129,1.2190154790878296
RaT,1,3,unit,0,0,3,3,group,0.4790000021457672,0.2347111999988556,-0.028304198756814003,0.6957429051399231,1.2219514846801758,1.1928333044052124
RaT,1,4,unit,0,0,4,4,group,0.4339999854564667,0.17995351552963257,-0.12408477813005447,0.6777939796447754,1.224353551864624,1.2033292055130005
RaT,250,0,unit,0,0,0,0,group,0.5019999742507935,0.3584732711315155,-0.061596810817718506,1.2790042161941528,2.2440216541290283,2.2530601024627686
RaT,250,1,unit,0,0,1,1,group,0.48100000619888306,0.34338071942329407,-0.0064763897098600864,1.2663958072662354,2.177074670791626,2.1920671463012695
RaT,250,2,unit,0,0,2,2,group,0.49900001287460327,0.341943621635437,-0.02682056464254856,1.309375286102295,2.2459161281585693,2.2480931282043457
RaT,250,3,unit,0,0,3,3,group,0.527999997138977,0.3604167401790619,0.027883505448698997,1.2868685722351074,2.4574906826019287,2.461958646774292
RaT,250,4,unit,0,0,4,4,group,0.5120000243186951,0.3643106520175934,-0.004388525150716305,1.271907925605774,2.181731939315796,2.1907949447631836
RaT,500,0,unit,0,0,0,0,group,0.5090000033378601,0.37612587213516235,0.0529949814081192,1.3429713249206543,2.2614905834198,2.263587236404419
RaT,500,1,unit,0,0,1,1,group,0.49799999594688416,0.361581414937973,-0.0006737823714502156,1.3159335851669312,2.1962008476257324,2.1999576091766357
RaT,500,2,unit,0,0,2,2,group,0.5199999809265137,0.38059648871421814,0.10597202926874161,1.3055013418197632,2.205518960952759,2.202915906906128
RaT,500,3,unit,0,0,3,3,group,0.5609999895095825,0.4024941921234131,0.15046267211437225,1.3289778232574463,2.4574460983276367,2.466113567352295
RaT,500,4,unit,0,0,4,4,group,0.5249999761581421,0.3922310769557953,0.08582217246294022,1.3520389795303345,2.225524663925171,2.1929638385772705
RaT,750,0,unit,0,0,0,0,group,1.0,0.9950187802314758,1.684225082397461,0.6157366633415222,2.3404741287231445,2.3383591175079346
RaT,750,1,unit,0,0,1,1,group,0.7160000205039978,0.4785592555999756,0.5449272394180298,0.8698527216911316,2.288346290588379,2.269169330596924
RaT,750,2,unit,0,0,2,2,group,0.652999997138977,0.41866055130958557,0.44972485303878784,0.9685946106910706,2.3698863983154297,2.3246419429779053
RaT,750,3,unit,0,0,3,3,group,1.0,0.9991492629051208,1.7715295553207397,0.5676859617233276,2.3483293056488037,2.3309781551361084
RaT,750,4,unit,0,0,4,4,group,0.5910000205039978,0.4108838140964508,0.36264073848724365,1.0237185955047607,2.316826343536377,2.2913713455200195
RaT,1000,0,unit,0,0,0,0,group,1.0,0.9897076487541199,1.414797306060791,0.5184651017189026,2.313342809677124,2.327711582183838
RaT,1000,1,unit,0,0,1,1,group,0.3149999976158142,0.12454435229301453,-0.28074029088020325,0.7140120267868042,2.32387113571167,2.3093111515045166
RaT,1000,2,unit,0,0,2,2,group,0.3440000116825104,0.13624435663223267,-0.23210188746452332,0.7271167039871216,2.305471181869507,2.3107802867889404
RaT,1000,3,unit,0,0,3,3,group,1.0,0.99102783203125,1.3976378440856934,0.47354012727737427,2.331106185913086,2.3118932247161865
RaT,1000,4,unit,0,0,4,4,group,0.34599998593330383,0.1281261444091797,-0.28166311979293823,0.7554481625556946,2.3122146129608154,2.3066039085388184
RaT,1250,0,unit,0,0,0,0,group,1.0,0.9980329275131226,1.4054774045944214,0.48492833971977234,2.3201003074645996,2.319636344909668
RaT,1250,1,unit,0,0,1,1,group,0.19900000095367432,0.002444238867610693,-0.5476077198982239,0.597234308719635,2.492617607116699,2.4576196670532227
RaT,1250,2,unit,0,0,2,2,group,0.16200000047683716,0.0016809144290164113,-0.5840426087379456,0.5910636782646179,2.4813413619995117,2.430485963821411
RaT,1250,3,unit,0,0,3,3,group,1.0,0.9984816312789917,1.4284684658050537,0.48918986320495605,2.3218278884887695,2.311378002166748
RaT,1250,4,unit,0,0,4,4,group,0.014999999664723873,8.854678412717476e-07,-0.7006002068519592,0.5200176239013672,2.4867866039276123,2.479785203933716
RaT,1500,0,unit,0,0,0,0,group,1.0,0.9916077852249146,1.347241997718811,0.4851248562335968,2.2888221740722656,2.2876503467559814
RaT,1500,1,unit,0,0,1,1,group,0.05000000074505806,8.382005034945905e-06,-0.7639811038970947,0.5992403626441956,2.4440019130706787,2.4289822578430176
RaT,1500,2,unit,0,0,2,2,group,0.07000000029802322,0.00024385082360822707,-0.6520076990127563,0.5588282346725464,2.471402406692505,2.4692623615264893
RaT,1500,3,unit,0,0,3,3,group,1.0,0.993277370929718,1.3111199140548706,0.43020161986351013,2.320096969604492,2.3243961334228516
RaT,1500,4,unit,0,0,4,4,group,0.04899999871850014,4.6992823627078906e-05,-0.7191976308822632,0.5664057731628418,2.485610246658325,2.4604640007019043
RaT,1750,0,unit,0,0,0,0,group,0.9990000128746033,0.9740420579910278,1.258569598197937,0.48574212193489075,2.2772164344787598,2.265117645263672
RaT,1750,1,unit,0,0,1,1,group,0.10100000351667404,0.0003041189629584551,-0.7121164202690125,0.6470228433609009,2.5436882972717285,2.5406301021575928
RaT,1750,2,unit,0,0,2,2,group,0.10100000351667404,0.00031782107544131577,-0.7114070057868958,0.6199275851249695,2.5122599601745605,2.497271776199341
