method,epoch,group_id,selection_type,block,layer,unit,global_unit,side,pip,gate_mean,margin_mean,margin_sd,slab_norm_mean,slab_norm_median
RaT,2000,0,unit,0,0,0,0,group,1.0,0.9879080057144165,1.346487045288086,0.5314761400222778,2.3043107986450195,2.307708501815796
RaT,2000,1,unit,0,0,1,1,group,0.1467999964952469,0.0008002647664397955,-0.6286512613296509,0.6118671894073486,2.5252492427825928,2.5005781650543213
RaT,2000,2,unit,0,0,2,2,group,0.15719999372959137,0.0008349781855940819,-0.623760998249054,0.6013289093971252,2.4875824451446533,2.4754750728607178
RaT,2000,3,unit,0,0,3,3,group,1.0,0.9901308417320251,1.323386311531067,0.5040377974510193,2.2964537143707275,2.303034782409668
RaT,2000,4,unit,0,0,4,4,group,0.18299999833106995,0.0014007468707859516,-0.49902021884918213,0.5587466359138489,2.518308162689209,2.4968791007995605
MCMC,,0,unit,0,0,0,0,group,0.798550009727478,0.6411784291267395,0.7131836414337158,1.0148390531539917,2.465456247329712,2.423591136932373
MCMC,,1,unit,0,0,1,1,group,0.6252999901771545,0.44623851776123047,0.3122016191482544,1.0888549089431763,2.519338846206665,2.4811465740203857
MCMC,,2,unit,0,0,2,2,group,0.6659500002861023,0.4919221103191376,0.4099283218383789,1.0867146253585815,2.498183488845825,2.4502224922180176
MCMC,,3,unit,0,0,3,3,group,0.5838000178337097,0.38425055146217346,0.20962359011173248,1.0887091159820557,2.504875898361206,2.475895881652832
MCMC,,4,unit,0,0,4,4,group,0.47145000100135803,0.2565317749977112,-0.047842610627412796,1.028436303138733,2.5332958698272705,2.502230405807495
