method,epoch,block,layer,unit,global_unit,group_id,posterior_rank,unit_pip,gate_mean,margin_mean,margin_sd,input_slab_norm_mean,output_slab_norm_mean,slab_strength_mean,effective_strength_mean
RaT,1,0,0,1,1,1,1,0.5600000023841858,0.2771572470664978,0.09586130082607269,0.6875398755073547,1.251357078552246,0.4053666293621063,0.5037572383880615,0.13101917505264282
RaT,1,0,0,2,2,2,2,0.5189999938011169,0.24493436515331268,0.016551561653614044,0.697024941444397,1.242875099182129,0.3923557698726654,0.4869540333747864,0.12057019025087357
RaT,1,0,0,3,3,3,3,0.4790000021457672,0.2347111999988556,-0.028304198756814003,0.6957429051399231,1.2219513654708862,0.4014819860458374,0.4938548505306244,0.116765096783638
RaT,1,0,0,0,0,0,4,0.4620000123977661,0.20991727709770203,-0.05642881244421005,0.6819555759429932,1.2589572668075562,0.4287478029727936,0.5364176034927368,0.12078464031219482
RaT,1,0,0,4,4,4,5,0.4339999854564667,0.17995351552963257,-0.12408477813005447,0.6777939796447754,1.224353551864624,0.40654030442237854,0.4973753094673157,0.0881783664226532
RaT,250,0,0,3,3,3,1,0.527999997138977,0.3604167401790619,0.027883505448698997,1.2868685722351074,2.4574906826019287,0.6754395365715027,1.6588997840881348,0.5975282788276672
RaT,250,0,0,4,4,4,2,0.5120000243186951,0.3643106520175934,-0.004388525150716305,1.271907925605774,2.181731939315796,0.038834575563669205,0.08567608147859573,0.03064299374818802
RaT,250,0,0,0,0,0,3,0.5019999742507935,0.3584732711315155,-0.061596810817718506,1.2790042161941528,2.2440216541290283,0.46093079447746277,1.0340734720230103,0.3699907958507538
RaT,250,0,0,2,2,2,4,0.49900001287460327,0.341943621635437,-0.02682056464254856,1.309375286102295,2.2459161281585693,0.03572993353009224,0.07990403473377228,0.027558840811252594
RaT,250,0,0,1,1,1,5,0.48100000619888306,0.34338071942329407,-0.0064763897098600864,1.2663958072662354,2.177074670791626,0.044302091002464294,0.09651852399110794,0.033472031354904175
RaT,500,0,0,3,3,3,1,0.5609999895095825,0.4024941921234131,0.15046267211437225,1.3289778232574463,2.4574460983276367,0.6500306129455566,1.5951486825942993,0.6406848430633545
RaT,500,0,0,4,4,4,2,0.5249999761581421,0.3922310769557953,0.08582217246294022,1.3520389795303345,2.225524663925171,0.03671044856309891,0.08158936351537704,0.032788414508104324
RaT,500,0,0,2,2,2,3,0.5199999809265137,0.38059648871421814,0.10597202926874161,1.3055013418197632,2.205518960952759,0.033636391162872314,0.0741601437330246,0.028504088521003723
RaT,500,0,0,0,0,0,4,0.5090000033378601,0.37612587213516235,0.0529949814081192,1.3429713249206543,2.2614905834198,0.42943885922431946,0.9697906374931335,0.36680877208709717
RaT,500,0,0,1,1,1,5,0.49799999594688416,0.361581414937973,-0.0006737823714502156,1.3159335851669312,2.1962008476257324,0.03601334989070892,0.07886862009763718,0.027877509593963623
RaT,750,0,0,0,0,0,1,1.0,0.9950187802314758,1.684225082397461,0.6157366633415222,2.3404741287231445,0.46776336431503296,1.0892109870910645,1.0833674669265747
RaT,750,0,0,3,3,3,2,1.0,0.9991492629051208,1.7715295553207397,0.5676859617233276,2.3483293056488037,0.715174674987793,1.6659212112426758,1.6643837690353394
RaT,750,0,0,1,1,1,3,0.7160000205039978,0.4785592555999756,0.5449272394180298,0.8698527216911316,2.288346290588379,0.05159260705113411,0.11687194555997849,0.05832866579294205
RaT,750,0,0,2,2,2,4,0.652999997138977,0.41866055130958557,0.44972485303878784,0.9685946106910706,2.3698863983154297,0.052907563745975494,0.1257552206516266,0.049685608595609665
RaT,750,0,0,4,4,4,5,0.5910000205039978,0.4108838140964508,0.36264073848724365,1.0237185955047607,2.316826581954956,0.060434289276599884,0.13909725844860077,0.055232640355825424
RaT,1000,0,0,0,0,0,1,1.0,0.9897076487541199,1.414797306060791,0.5184651017189026,2.313342809677124,0.4482489228248596,1.0208452939987183,1.0100352764129639
RaT,1000,0,0,3,3,3,2,1.0,0.99102783203125,1.3976378440856934,0.47354012727737427,2.331106185913086,0.7231960892677307,1.6595165729522705,1.6449657678604126
RaT,1000,0,0,4,4,4,3,0.34599998593330383,0.1281261444091797,-0.28166311979293823,0.7554481625556946,2.3122143745422363,0.09482814371585846,0.21850845217704773,0.026630893349647522
RaT,1000,0,0,2,2,2,4,0.3440000116825104,0.13624435663223267,-0.23210188746452332,0.7271167039871216,2.305471181869507,0.08020484447479248,0.18437199294567108,0.02749677747488022
RaT,1000,0,0,1,1,1,5,0.3149999976158142,0.12454435229301453,-0.28074029088020325,0.7140120267868042,2.32387113571167,0.07882125675678253,0.18365168571472168,0.022321315482258797
RaT,1250,0,0,0,0,0,1,1.0,0.9980329275131226,1.4054774045944214,0.48492833971977234,2.3201003074645996,0.4768170118331909,1.0841926336288452,1.0819638967514038
RaT,1250,0,0,3,3,3,2,1.0,0.9984816312789917,1.4284684658050537,0.48918986320495605,2.3218278884887695,0.7305133938789368,1.6656025648117065,1.6631203889846802
RaT,1250,0,0,1,1,1,3,0.19900000095367432,0.002444238867610693,-0.5476077198982239,0.597234308719635,2.492617607116699,0.7192310690879822,1.7943977117538452,0.0037892982363700867
RaT,1250,0,0,2,2,2,4,0.16200000047683716,0.0016809144290164113,-0.5840426087379456,0.5910636782646179,2.4813413619995117,0.7158198356628418,1.7737069129943848,0.002825210802257061
RaT,1250,0,0,4,4,4,5,0.014999999664723873,8.854678412717476e-07,-0.7006002068519592,0.5200176239013672,2.4867866039276123,0.7179442644119263,1.8011764287948608,1.0802909855556209e-06
RaT,1500,0,0,0,0,0,1,1.0,0.9916077852249146,1.347241997718811,0.4851248562335968,2.2888221740722656,0.488555908203125,1.0937248468399048,1.0842334032058716
RaT,1500,0,0,3,3,3,2,1.0,0.993277370929718,1.3111199140548706,0.43020161986351013,2.320096969604492,0.7464344501495361,1.6966503858566284,1.684924840927124
RaT,1500,0,0,2,2,2,3,0.07000000029802322,0.00024385082360822707,-0.6520076990127563,0.5588282346725464,2.471402406692505,0.7133510112762451,1.757660150527954,0.0005359617061913013
RaT,1500,0,0,1,1,1,4,0.05000000074505806,8.382005034945905e-06,-0.7639811038970947,0.5992403626441956,2.4440019130706787,0.719659686088562,1.7453715801239014,1.4166806067805737e-05
RaT,1500,0,0,4,4,4,5,0.04899999871850014,4.6992823627078906e-05,-0.7191976308822632,0.5664057731628418,2.485610246658325,0.7648950219154358,1.8866276741027832,6.452141678892076e-05
RaT,1750,0,0,3,3,3,1,1.0,0.9847283363342285,1.2733632326126099,0.47759994864463806,2.274552345275879,0.7232532501220703,1.6135157346725464,1.5884180068969727
RaT,1750,0,0,0,0,0,2,0.9990000128746033,0.9740420579910278,1.258569598197937,0.48574212193489075,2.2772164344787598,0.506382405757904,1.1205317974090576,1.0900622606277466
RaT,1750,0,0,4,4,4,3,0.16500000655651093,0.0009645731188356876,-0.5823683142662048,0.5782710313796997,2.4844970703125,0.7462889552116394,1.862982988357544,0.0010815846035256982
RaT,1750,0,0,1,1,1,4,0.10100000351667404,0.0003041189629584551,-0.7121164202690125,0.6470228433609009,2.5436882972717285,0.7715688943862915,1.9739365577697754,0.0003469072107691318
RaT,1750,0,0,2,2,2,5,0.10100000351667404,0.00031782107544131577,-0.7114070057868958,0.6199275851249695,2.5122599601745605,0.7401853799819946,1.8742287158966064,0.00034332682844251394
RaT,2000,0,0,0,0,0,1,1.0,0.9871630668640137,1.346966028213501,0.5495154857635498,2.310596227645874,0.4679117500782013,1.0505939722061157,1.03624427318573
RaT,2000,0,0,3,3,3,2,1.0,0.9908326864242554,1.3210970163345337,0.5044471621513367,2.2885403633117676,0.7489927411079407,1.6787947416305542,1.6632124185562134
RaT,2000,0,0,4,4,4,3,0.19300000369548798,0.0011375569738447666,-0.48900771141052246,0.5628967881202698,2.5350966453552246,0.7744404077529907,1.9629195928573608,0.0018503974424675107
RaT,2000,0,0,2,2,2,4,0.164000004529953,0.0008803238742984831,-0.5984596014022827,0.5984464287757874,2.4742400646209717,0.7419753670692444,1.8181713819503784,0.0011514077195897698
RaT,2000,0,0,1,1,1,5,0.15600000321865082,0.0007934454479254782,-0.6261386275291443,0.6217085123062134,2.536843776702881,0.8097846508026123,2.0443100929260254,0.0017694373382255435
