method,epoch,block,layer,unit,global_unit,group_id,posterior_rank,unit_pip,gate_mean,margin_mean,margin_sd,input_slab_norm_mean,output_slab_norm_mean,slab_strength_mean,effective_strength_mean
RaT,2000,0,0,0,0,0,1,1.0,0.9879080057144165,1.346487045288086,0.5314761400222778,2.3043110370635986,0.4670656621456146,1.0453710556030273,1.0320302248001099
RaT,2000,0,0,3,3,3,2,1.0,0.9901308417320251,1.323386311531067,0.5040377974510193,2.2964537143707275,0.7505841851234436,1.689467191696167,1.672757863998413
RaT,2000,0,0,4,4,4,3,0.18299999833106995,0.0014007468707859516,-0.49902021884918213,0.5587466359138489,2.518308162689209,0.773211658000946,1.9536410570144653,0.0022385460324585438
RaT,2000,0,0,2,2,2,4,0.15719999372959137,0.0008349781855940819,-0.623760998249054,0.6013289093971252,2.4875824451446533,0.7686753869056702,1.9105931520462036,0.0013807746581733227
RaT,2000,0,0,1,1,1,5,0.1467999964952469,0.0008002647664397955,-0.6286512613296509,0.6118671894073486,2.5252492427825928,0.768639862537384,1.9279576539993286,0.0014319566544145346
MCMC,,0,0,0,0,0,1,0.798550009727478,0.6411784291267395,0.7131836414337158,1.0148390531539917,2.465456247329712,0.6824833154678345,1.627219319343567,0.8746126890182495
MCMC,,0,0,2,2,2,2,0.6659500002861023,0.4919221103191376,0.4099283218383789,1.0867146253585815,2.498183488845825,0.7545667290687561,1.8367849588394165,0.7638295292854309
MCMC,,0,0,1,1,1,3,0.6252999901771545,0.44623851776123047,0.3122016191482544,1.0888549089431763,2.519338607788086,0.6796846389770508,1.6832695007324219,0.5788226127624512
MCMC,,0,0,3,3,3,4,0.5838000178337097,0.38425055146217346,0.20962359011173248,1.0887091159820557,2.504875898361206,0.6685150265693665,1.644545316696167,0.4308058023452759
MCMC,,0,0,4,4,4,5,0.47145000100135803,0.2565317749977112,-0.047842610627412796,1.028436303138733,2.5332958698272705,0.7020605206489563,1.7789698839187622,0.2884413003921509
