method,mode,setting,seed,replicate_id,n,p,n_active,sigma2,support_threshold,n_draws,selected_size,active_idx0,selected_idx0,selected_ckpt_id,selected_epoch,selected_stage,selected_tau,precision,recall,f1,fdr,tp,fp,fn,tn,support_size,auroc,auprc,K_q,K_g,tau_start,tau_end,base_lr,stage_lr_decay,min_lr_scale,warmup_epochs,n_anneal_stages,min_stage_epochs,max_stage_epochs,q_entropy_weight,lasso_recovery_score
last_flow,lasso_recovery,simple,400,400,160,100,10,1.0,0.5,4000,8,12;18;25;31;38;49;52;81;89;97,12;18;31;38;49;52;81;97,28,675,1,0.8,1.0,0.8,0.888888888888889,0.0,8,0,2,90,8,0.945,0.91,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.6955760023735591
last_flow,lasso_recovery,simple,401,401,160,100,10,1.0,0.5,4000,6,4;10;25;29;33;40;43;44;61;68,4;10;33;40;44;61,30,725,1,0.8,1.0,0.6,0.7499999999999999,0.0,6,0,4,90,6,0.8383333333333334,0.73,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.9156238877144148
last_flow,lasso_recovery,simple,402,402,160,100,10,1.0,0.5,4000,7,0;2;3;39;49;57;70;72;81;84,0;2;3;49;57;81;84,30,725,1,0.8,1.0,0.7,0.8235294117647058,0.0,7,0,3,90,7,0.9883333333333336,0.9434782608695652,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.8559717478182047
last_flow,lasso_recovery,simple,403,403,160,100,10,1.0,0.5,4000,6,1;7;19;25;31;36;81;82;86;94,25;36;81;82;86;94,31,750,1,0.8,1.0,0.6,0.7499999999999999,0.0,6,0,4,90,6,0.9855555555555556,0.9126315789473683,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.7234948633160301
last_flow,lasso_recovery,simple,404,404,160,100,10,1.0,0.5,4000,7,1;32;51;52;53;61;73;80;91;96,1;32;51;52;53;61;91,32,775,1,0.8,1.0,0.7,0.8235294117647058,0.0,7,0,3,90,7,0.9427777777777776,0.8742857142857143,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.7026817067189335
last_flow,lasso_recovery,simple,405,405,160,100,10,1.0,0.5,4000,7,12;35;49;50;65;67;70;82;91;98,12;35;65;67;70;91;98,32,775,1,0.8,1.0,0.7,0.8235294117647058,0.0,7,0,3,90,7,0.9972222222222222,0.9769230769230768,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.8162337819403369
last_flow,lasso_recovery,simple,406,406,160,100,10,1.0,0.5,4000,7,3;18;47;52;59;61;68;88;92;93,18;47;52;61;68;92;93,29,700,1,0.8,1.0,0.7,0.8235294117647058,0.0,7,0,3,90,7,0.945,0.91,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.9085082301439128
last_flow,lasso_recovery,simple,407,407,160,100,10,1.0,0.5,4000,6,15;17;37;45;52;66;77;88;94;95,15;17;52;77;88;95,26,625,1,0.8,1.0,0.6,0.7499999999999999,0.0,6,0,4,90,6,0.8766666666666667,0.7927272727272727,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.977092190232955
last_flow,lasso_recovery,simple,408,408,160,100,10,1.0,0.5,4000,8,3;4;17;41;55;56;58;64;65;98,3;4;41;55;56;58;65;98,33,800,1,0.8,1.0,0.8,0.888888888888889,0.0,8,0,2,90,8,1.0,1.0,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.7401749185241235
last_flow,lasso_recovery,simple,409,409,160,100,10,1.0,0.5,4000,8,22;34;53;56;65;75;82;87;91;94,22;34;56;65;75;82;91;94,31,750,1,0.8,1.0,0.8,0.888888888888889,0.0,8,0,2,90,8,0.8844444444444445,0.8200000000000001,64,4,0.8,0.8,1e-05,1.0,1.0,300,1,1200,1200,0.0,0.5108791353397488
