group,environment,configuration,method,seed,D_SKL_A,D_JS_0,Normalized_L1_PIP,RMSE_PIP,AUROC,AUPRC,MCMCBR,BR,Time_s
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,400,0.4615854697391374,0.0030857322024430986,0.024972499999999998,0.0696058636179453,1.0,1.0,0.006964778749999999,0.013287542500000001,1805.6468861103056
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,401,0.2980894597401044,0.0018120982822397908,0.034043750000000005,0.11738299560093872,0.9927777777777778,0.9464285714285715,0.020259052656249995,0.038331678749999994,1213.657478094101
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,402,0.20664906013567336,0.002423888875695437,0.0429425,0.1362424676817034,1.0,0.9999999999999999,0.00015888375000000014,0.020808833749999995,1833.6555261611936
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,403,0.38313926149146504,0.002432161645902268,0.04043874999999999,0.13577595458603853,1.0,0.9999999999999999,0.0024492592187500004,0.025680018750000005,3765.0326130390167
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,404,0.06205645368839552,0.0024757071975035592,0.031705,0.10062844093495633,1.0,1.0,0.001310909375,0.015434575625000002,5028.0797727108
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,405,0.6192578295740127,0.002911360257612055,0.03475125,0.11122571153402437,1.0,0.9999999999999999,0.00139142703125,0.017580451875000003,1520.151133775711
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,406,0.6934373056946737,0.0016925261736660756,0.03832125,0.12459498071250702,1.0,1.0,0.00795590546875,0.021831440624999997,1174.0531826019287
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,407,0.44812399292989197,0.0018224800225370682,0.03416875,0.10856045047000312,1.0,1.0,0.01659539203125,0.03147594375,1960.9162764549253
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,408,0.16261774047041577,0.0020839550777003455,0.031577499999999994,0.10896455702429114,1.0,0.9999999999999999,0.00013998843750000006,0.013403524375000002,1573.447018146515
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,409,0.09403212287668372,0.0023305339905001195,0.0173325,0.04598712455677132,0.9988888888888889,0.9909090909090909,0.016634446250000004,0.01877487375,1407.14209151268
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,410,0.13002125291771796,0.0015621181052976755,0.030726250000000004,0.0931921242984084,1.0,0.9999999999999999,0.00960203265625,0.023627951250000005,1237.55415058136
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,411,0.4315424612345414,0.0027370516056866665,0.0336025,0.1063406319334242,0.9955555555555555,0.9714285714285714,0.0019443525,0.020998565625,1208.3958401679993
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,412,0.4196532257187905,0.0019099464170885985,0.027202499999999998,0.0867956040073459,1.0,0.9999999999999999,0.008416623749999998,0.022414803125000007,1173.0193133354187
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,413,0.3995038539559019,0.0011276866193886213,0.0410825,0.1363571104214958,1.0,0.9999999999999999,0.009779505312499997,0.03470753062500001,1515.0444703102112
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,414,0.30333603540290854,0.0024757071975035592,0.02644375,0.09015399238941113,1.0,0.9999999999999999,0.0033582792187500012,0.014501190625,1310.7396743297577
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,415,0.1304969516472302,0.0018229657218604698,0.043808749999999994,0.12680904997771256,1.0,0.9999999999999999,0.007490740156249998,0.032448266249999996,1305.9635174274445
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,416,0.49205843385542447,0.0014802692861710944,0.03744625,0.12308414360204972,0.9977777777777778,0.9833333333333333,0.005514990781250001,0.0274182025,1224.4289243221283
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,417,0.744706845390959,0.002258026804783304,0.041053749999999986,0.11965083903278739,0.9966666666666668,0.9769230769230769,0.007581254531249999,0.031948879374999996,2464.264208316803
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,418,0.11559313908429067,0.0019969428670562413,0.024471249999999996,0.07040032958907223,1.0,0.9999999999999999,0.00941037390625,0.01592832125,2355.4233708381653
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,419,0.2790090505190184,0.0013014120679986072,0.0339775,0.1147937307739408,0.9561111111111111,0.9192307692307693,0.01153976,0.030417783125000004,2164.582411766052
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,420,0.16231752313704084,0.0019099464170885985,0.037445000000000006,0.13042275371843673,1.0,0.9999999999999999,0.0005310796874999998,0.022457990624999997,1218.5175857543943
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,421,0.7607377914927802,0.0018229657218604698,0.035293750000000006,0.10141713751260187,0.9988888888888889,0.9909090909090909,0.0031669139062499995,0.017949446875,1696.4461107254028
sensitivity,Baseline,Baseline MLP 2/64,LaST-Flow,422,0.18725532911939363,0.0016512163880152845,0.035772500000000006,0.12147168137059765,1.0,1.0,0.0015437381249999995,0.020259173125,1205.8156461715698
