environment,configuration,N,D_SKL_A,D_SKL_A_ci_low,D_SKL_A_ci_high,D_JS_0,D_JS_0_ci_low,D_JS_0_ci_high,Normalized_L1_PIP,Normalized_L1_PIP_ci_low,Normalized_L1_PIP_ci_high,RMSE_PIP,RMSE_PIP_ci_low,RMSE_PIP_ci_high,AUROC,AUROC_ci_low,AUROC_ci_high,AUPRC,AUPRC_ci_low,AUPRC_ci_high,MCMC_AUROC,MCMC_AUROC_ci_low,MCMC_AUROC_ci_high,MCMC_AUPRC,MCMC_AUPRC_ci_low,MCMC_AUPRC_ci_high,MCMCBR,MCMCBR_ci_low,MCMCBR_ci_high,BR,BR_ci_low,BR_ci_high,Time_s,Time_s_ci_low,Time_s_ci_high,MH_Time_s,MH_Time_s_ci_low,MH_Time_s_ci_high,BRREL,BRREL_ci_low,BRREL_ci_high
Baseline,Baseline MLP 2/64,100,0.3705762621605971,0.32993768872317436,0.4118356452245637,0.001963618730848886,0.0018541335728586659,0.0020745605651185054,0.034245374999999995,0.033034177812499996,0.03548130968749999,0.1100448314812402,0.10557635356624162,0.11432580684446363,0.9963222222222221,0.9938333333333332,0.9982890277777778,0.9885376528435427,0.982873776894963,0.9934749397052316,0.9976055555555554,0.9945555555555555,0.9995444444444443,0.9932182016813595,0.9880580677765218,0.9970987391993971,0.008651375940624999,0.007140686030273438,0.010291490837968749,0.0254554154125,0.023451316119062492,0.027459038141562506,1796.058636841774,1608.584968654573,2016.743658443868,401.41236000000004,396.8542550000001,406.25212650000003,2.9423545557611073,2.601467687231723,3.387544930740403
Baseline,ResCond,100,0.38199854602858224,0.33894173804266603,0.4266364795704906,0.0022996162089575266,0.0021695702256654516,0.0024243535510102966,0.035252325,0.0340143059375,0.0364306390625,0.10909619444958513,0.10465172240579827,0.11334529426436901,0.9961277777777776,0.99326625,0.9983444444444445,0.9885365953657436,0.9827961959143776,0.993449065621878,0.9976055555555554,0.9946941666666667,0.9995499999999998,0.9932182016813595,0.9881738478298018,0.9971253590159839,0.008651375940624999,0.007149492429882812,0.01028198624957031,0.0250492223125,0.02314233850859375,0.027072425242031246,2804.3752180409433,2568.9141172755362,3087.905069607496,401.41236000000004,396.76692125,406.1600042500001,2.89540328433472,2.550287969576856,3.307127782418796
Baseline,Deep MLP 4/256,100,0.372063920650738,0.33360182907450325,0.4132670552829982,0.0021220968763480887,0.0020034171436661445,0.002241476170942158,0.035048499999999996,0.033849430312500005,0.036258376249999995,0.10995807565672155,0.10557594510772444,0.11441438723722777,0.9952222222222222,0.9917333333333334,0.9980388888888889,0.9883479421828569,0.9824223054697343,0.993348150853723,0.9976055555555554,0.994561111111111,0.9995499999999999,0.9932182016813595,0.9880547514619882,0.9971554256379587,0.008651375940624999,0.00721462699640625,0.01027654742179687,0.025278001943750003,0.0234107849653125,0.027293561757031248,3813.724171009064,3631.1469058362245,4045.051538678705,401.41236000000004,396.8578295,406.2770760000001,2.9218475901677037,2.5772835339759377,3.3769624081489074
Baseline,Mean-field,100,28.514650470115342,28.186370876093473,28.720635082021605,0.5704052039780478,0.5324652050601552,0.6038389404087038,0.777744,0.7458623978125001,0.8060986193749999,0.8134793251430753,0.7780962995931316,0.8462224687677533,0.8496833333333332,0.83908875,0.8597613888888889,0.4602957415663535,0.4336302131293804,0.4871093377391652,0.9976055555555554,0.9946054166666666,0.999561111111111,0.9932182016813595,0.9880864660193607,0.9971651209207459,0.008651375940624999,0.007104364608125001,0.010338031122421872,0.6879746945,0.6413686980503125,0.7324816249239063,13.612036230564117,11.430059012770652,16.2197029402256,401.41236000000004,396.81132725,406.24003225,79.52199733563987,64.44031946797296,98.95286535057356
Low SNR,Baseline MLP 2/64,100,0.718987926784662,0.6692839732043856,0.7714838483849606,0.012809129800543946,0.01051659475511398,0.015383254397128879,0.0938308625,0.08626276187499998,0.1020868071875,0.13263808984093597,0.1259639074315384,0.1394514178787004,0.8941499999999999,0.8808718055555554,0.9069558333333335,0.7435602325220637,0.7177361302120634,0.7691327888438939,0.914661111111111,0.9023108333333334,0.9264079166666668,0.7887563545223945,0.7640147534821764,0.8130009392122806,0.040524106510937505,0.037744397330703124,0.043474508370937505,0.05469569965625001,0.0515583991859375,0.058000356975625,1485.897989423275,1358.57578396523,1632.2624745531082,400.43541000000005,396.55311475,404.68019799999996,1.3497077262267974,1.2690291682313584,1.437024079780153
Low SNR,ResCond,100,0.6671451419140836,0.61125215368188,0.7263285204391069,0.011839229328394284,0.00979279912586405,0.014273296242595572,0.08908846250000003,0.0827049965625,0.0966349665625,0.1279377380701958,0.12181651894900493,0.13506890324266732,0.8984000000000002,0.8853219444444446,0.9113338888888888,0.7514445360456163,0.7257316328053591,0.7753337903004814,0.914661111111111,0.9023998611111111,0.9266056944444444,0.7887563545223945,0.764600581001752,0.811769366003606,0.040524106510937505,0.03777927430125,0.043459791193828125,0.0537241816875,0.0509324211115625,0.05683496787765625,2427.616215877533,2180.470620222628,2728.5819270548222,400.43541000000005,396.57205024999996,404.9063470000001,1.3257338979947597,1.2533879859391708,1.404999166341499
Low SNR,Deep MLP 4/256,100,0.6536181432263665,0.6116038636655448,0.6932577573887109,0.011789005630181669,0.009416383065912038,0.014479643997325027,0.09077348749999997,0.08284149312499998,0.09862369343749998,0.1357782294423003,0.1298281364489778,0.1420383262835684,0.8926166666666667,0.8794051388888888,0.905339027777778,0.7443997033985547,0.7188066555674621,0.7680870681228479,0.914661111111111,0.9020268055555557,0.9264562500000001,0.7887563545223945,0.7651745348477555,0.8127632840116893,0.040524106510937505,0.03769343666183594,0.04335113795039063,0.055457115793750004,0.0525512734765625,0.05837798673218749,3190.777167146206,3080.8971469244957,3313.955268458009,400.43541000000005,396.5963907499999,404.72699624999996,1.3684969409203893,1.2937475123157756,1.4571218003871194
Low SNR,Mean-field,100,10.49886221228677,9.762034798715842,11.243003572040116,0.16203707397828576,0.15975890606334486,0.1645152225172567,0.42813011249999994,0.4242220396875,0.43211215375,0.4354251077654217,0.4320278178559924,0.43919919456080714,0.7462666666666667,0.7235930555555558,0.7675909722222222,0.3690205013090563,0.3381606755331378,0.3988396256466997,0.914661111111111,0.9020887499999999,0.9264613888888888,0.7887563545223945,0.7641926251580274,0.812595811480509,0.040524106510937505,0.03772605227433594,0.04341689732855468,0.2361599993375,0.23385033623124998,0.23887135252046876,8.896069719791413,8.2016031960845,9.646245229125022,400.43541000000005,396.46014725000003,404.55503275000007,5.827642350948815,5.447256514079245,6.257031424687081
n>p,Baseline MLP 2/64,100,0.21931877703108338,0.19148334628311464,0.25084592521991494,6.932143018988003e-05,6.152258747460428e-05,7.66869386973486e-05,0.0313445625,0.029304520624999997,0.033511107812499996,0.13448036853287676,0.1283361235232959,0.14122927088251316,1.0,1.0,1.0,1.0,1.0,1.0,0.992,0.988,0.9954999999999999,0.9856,0.9784,0.9919,0.0087215153890625,0.007154617480703124,0.010352588489843748,0.029773879718750004,0.0273692108846875,0.032423397431093744,1323.6349010109902,1277.5327311699987,1379.2419797491432,1293.98821,1286.1802237499999,1302.2083405,3.4138424792655764,2.9894997878146943,4.013014693976417
n>p,ResCond,100,0.21137395159848676,0.18411558516024357,0.24167090347916403,8.275353940496523e-05,7.45208150700976e-05,9.09861073364658e-05,0.0308441375,0.028994706249999995,0.0328211446875,0.12781637800250353,0.12171067443734469,0.13388318596131196,1.0,1.0,1.0,1.0,1.0,1.0,0.992,0.988,0.9954999999999999,0.9856,0.9784,0.9919,0.0087215153890625,0.007091151097226561,0.010352448622421873,0.02736345665,0.025073950053124995,0.029776240579218745,2740.1208950853347,2463.4099723799227,3060.0453226578234,1293.98821,1286.29667125,1302.4892797499997,3.13746584502001,2.7493424867272362,3.643718804786886
