environment,configuration,N,D_SKL_A,D_JS_0,Normalized_L1_PIP,RMSE_PIP,AUROC,AUPRC,MCMC_AUROC,MCMC_AUPRC,MCMCBR,BR,BRREL,Time_s,MH_Time_s
Baseline,Baseline MLP 2/64,100,"0.3706 [0.3299, 0.4118]","0.0020 [0.0019, 0.0021]","0.0342 [0.0330, 0.0355]","0.1100 [0.1056, 0.1143]","0.9963 [0.9938, 0.9983]","0.9885 [0.9829, 0.9935]","0.9976 [0.9946, 0.9995]","0.9932 [0.9881, 0.9971]","0.0087 [0.0071, 0.0103]","0.0255 [0.0235, 0.0275]","2.9424 [2.6015, 3.3875]","1796.1 [1608.6, 2016.7]","401.4 [396.9, 406.3]"
Baseline,ResCond,100,"0.3820 [0.3389, 0.4266]","0.0023 [0.0022, 0.0024]","0.0353 [0.0340, 0.0364]","0.1091 [0.1047, 0.1133]","0.9961 [0.9933, 0.9983]","0.9885 [0.9828, 0.9934]","0.9976 [0.9947, 0.9995]","0.9932 [0.9882, 0.9971]","0.0087 [0.0071, 0.0103]","0.0250 [0.0231, 0.0271]","2.8954 [2.5503, 3.3071]","2804.4 [2568.9, 3087.9]","401.4 [396.8, 406.2]"
Baseline,Deep MLP 4/256,100,"0.3721 [0.3336, 0.4133]","0.0021 [0.0020, 0.0022]","0.0350 [0.0338, 0.0363]","0.1100 [0.1056, 0.1144]","0.9952 [0.9917, 0.9980]","0.9883 [0.9824, 0.9933]","0.9976 [0.9946, 0.9995]","0.9932 [0.9881, 0.9972]","0.0087 [0.0072, 0.0103]","0.0253 [0.0234, 0.0273]","2.9218 [2.5773, 3.3770]","3813.7 [3631.1, 4045.1]","401.4 [396.9, 406.3]"
Baseline,Mean-field,100,"28.5147 [28.1864, 28.7206]","0.5704 [0.5325, 0.6038]","0.7777 [0.7459, 0.8061]","0.8135 [0.7781, 0.8462]","0.8497 [0.8391, 0.8598]","0.4603 [0.4336, 0.4871]","0.9976 [0.9946, 0.9996]","0.9932 [0.9881, 0.9972]","0.0087 [0.0071, 0.0103]","0.6880 [0.6414, 0.7325]","79.5220 [64.4403, 98.9529]","13.6 [11.4, 16.2]","401.4 [396.8, 406.2]"
Low SNR,Baseline MLP 2/64,100,"0.7190 [0.6693, 0.7715]","0.0128 [0.0105, 0.0154]","0.0938 [0.0863, 0.1021]","0.1326 [0.1260, 0.1395]","0.8941 [0.8809, 0.9070]","0.7436 [0.7177, 0.7691]","0.9147 [0.9023, 0.9264]","0.7888 [0.7640, 0.8130]","0.0405 [0.0377, 0.0435]","0.0547 [0.0516, 0.0580]","1.3497 [1.2690, 1.4370]","1485.9 [1358.6, 1632.3]","400.4 [396.6, 404.7]"
Low SNR,ResCond,100,"0.6671 [0.6113, 0.7263]","0.0118 [0.0098, 0.0143]","0.0891 [0.0827, 0.0966]","0.1279 [0.1218, 0.1351]","0.8984 [0.8853, 0.9113]","0.7514 [0.7257, 0.7753]","0.9147 [0.9024, 0.9266]","0.7888 [0.7646, 0.8118]","0.0405 [0.0378, 0.0435]","0.0537 [0.0509, 0.0568]","1.3257 [1.2534, 1.4050]","2427.6 [2180.5, 2728.6]","400.4 [396.6, 404.9]"
Low SNR,Deep MLP 4/256,100,"0.6536 [0.6116, 0.6933]","0.0118 [0.0094, 0.0145]","0.0908 [0.0828, 0.0986]","0.1358 [0.1298, 0.1420]","0.8926 [0.8794, 0.9053]","0.7444 [0.7188, 0.7681]","0.9147 [0.9020, 0.9265]","0.7888 [0.7652, 0.8128]","0.0405 [0.0377, 0.0434]","0.0555 [0.0526, 0.0584]","1.3685 [1.2937, 1.4571]","3190.8 [3080.9, 3314.0]","400.4 [396.6, 404.7]"
Low SNR,Mean-field,100,"10.4989 [9.7620, 11.2430]","0.1620 [0.1598, 0.1645]","0.4281 [0.4242, 0.4321]","0.4354 [0.4320, 0.4392]","0.7463 [0.7236, 0.7676]","0.3690 [0.3382, 0.3988]","0.9147 [0.9021, 0.9265]","0.7888 [0.7642, 0.8126]","0.0405 [0.0377, 0.0434]","0.2362 [0.2339, 0.2389]","5.8276 [5.4473, 6.2570]","8.9 [8.2, 9.6]","400.4 [396.5, 404.6]"
n>p,Baseline MLP 2/64,100,"0.2193 [0.1915, 0.2508]","0.0001 [0.0001, 0.0001]","0.0313 [0.0293, 0.0335]","0.1345 [0.1283, 0.1412]","1.0000 [1.0000, 1.0000]","1.0000 [1.0000, 1.0000]","0.9920 [0.9880, 0.9955]","0.9856 [0.9784, 0.9919]","0.0087 [0.0072, 0.0104]","0.0298 [0.0274, 0.0324]","3.4138 [2.9895, 4.0130]","1323.6 [1277.5, 1379.2]","1294.0 [1286.2, 1302.2]"
n>p,ResCond,100,"0.2114 [0.1841, 0.2417]","0.0001 [0.0001, 0.0001]","0.0308 [0.0290, 0.0328]","0.1278 [0.1217, 0.1339]","1.0000 [1.0000, 1.0000]","1.0000 [1.0000, 1.0000]","0.9920 [0.9880, 0.9955]","0.9856 [0.9784, 0.9919]","0.0087 [0.0071, 0.0104]","0.0274 [0.0251, 0.0298]","3.1375 [2.7493, 3.6437]","2740.1 [2463.4, 3060.0]","1294.0 [1286.3, 1302.5]"
