environment,method,runtime_s,source
n > p,Deep MLP,993.6046886444092,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_400\final_summary.json
n > p,Deep MLP,1937.4497060775757,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_401\final_summary.json
n > p,Deep MLP,897.4396133422852,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_402\final_summary.json
n > p,Deep MLP,841.1554446220398,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_403\final_summary.json
n > p,Deep MLP,955.9819531440735,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_404\final_summary.json
n > p,Deep MLP,850.5209691524506,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_405\final_summary.json
n > p,Deep MLP,763.424417257309,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_406\final_summary.json
n > p,Deep MLP,764.7554543018341,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_407\final_summary.json
n > p,Deep MLP,849.2871191501617,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_408\final_summary.json
n > p,Deep MLP,837.6179184913635,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_409\final_summary.json
n > p,Deep MLP,907.0277736186981,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_410\final_summary.json
n > p,Deep MLP,1373.1028797626495,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_411\final_summary.json
n > p,Deep MLP,821.556126832962,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_412\final_summary.json
n > p,Deep MLP,855.556450843811,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_413\final_summary.json
n > p,Deep MLP,791.8957154750824,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_414\final_summary.json
n > p,Deep MLP,855.133186340332,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_415\final_summary.json
n > p,Deep MLP,960.4834270477295,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_416\final_summary.json
n > p,Deep MLP,978.767707824707,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_417\final_summary.json
n > p,Deep MLP,853.3461391925812,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_418\final_summary.json
n > p,Deep MLP,972.9898734092712,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_419\final_summary.json
n > p,Deep MLP,1494.8861501216888,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_420\final_summary.json
n > p,Deep MLP,927.9849917888641,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_421\final_summary.json
n > p,Deep MLP,786.1179473400116,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_422\final_summary.json
n > p,Deep MLP,1570.189687013626,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_423\final_summary.json
n > p,Deep MLP,851.4387249946594,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_424\final_summary.json
n > p,Deep MLP,780.3794827461243,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_425\final_summary.json
n > p,Deep MLP,893.3262553215027,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_426\final_summary.json
n > p,Deep MLP,1009.3026304244995,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_427\final_summary.json
n > p,Deep MLP,1019.9608829021454,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_428\final_summary.json
n > p,Deep MLP,790.9512596130371,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_429\final_summary.json
n > p,Deep MLP,1179.102377653122,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_430\final_summary.json
n > p,Deep MLP,1396.5838694572449,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_431\final_summary.json
n > p,Deep MLP,1341.1089510917664,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_432\final_summary.json
n > p,Deep MLP,786.1720125675201,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_433\final_summary.json
n > p,Deep MLP,968.9160814285278,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_434\final_summary.json
n > p,Deep MLP,1341.8297662734985,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_435\final_summary.json
n > p,Deep MLP,998.0737001895905,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_436\final_summary.json
n > p,Deep MLP,876.3566505908966,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_437\final_summary.json
n > p,Deep MLP,1019.8319413661957,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_438\final_summary.json
n > p,Deep MLP,905.450189113617,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_439\final_summary.json
n > p,Deep MLP,749.7452642917633,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_440\final_summary.json
n > p,Deep MLP,1082.832192659378,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_441\final_summary.json
n > p,Deep MLP,907.1885600090027,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_442\final_summary.json
n > p,Deep MLP,890.9354612827301,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_443\final_summary.json
n > p,Deep MLP,897.4205915927887,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_444\final_summary.json
n > p,Deep MLP,838.6312773227692,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_445\final_summary.json
n > p,Deep MLP,852.3446516990662,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_446\final_summary.json
n > p,Deep MLP,1498.1097915172577,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_447\final_summary.json
n > p,Deep MLP,1076.5292887687683,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_448\final_summary.json
n > p,Deep MLP,1124.3202126026154,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_449\final_summary.json
n > p,Deep MLP,1386.3751921653748,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_450\final_summary.json
n > p,Deep MLP,806.6158866882324,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_451\final_summary.json
n > p,Deep MLP,1013.3468415737152,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_452\final_summary.json
n > p,Deep MLP,988.0209894180298,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_453\final_summary.json
n > p,Deep MLP,4544.6076674461365,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_454\final_summary.json
n > p,Deep MLP,1056.9352979660034,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_455\final_summary.json
n > p,Deep MLP,871.9857540130615,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_456\final_summary.json
n > p,Deep MLP,983.2943964004517,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_457\final_summary.json
n > p,Deep MLP,896.7827215194702,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_458\final_summary.json
n > p,Deep MLP,929.2052652835846,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_459\final_summary.json
n > p,Deep MLP,843.2086582183838,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_460\final_summary.json
n > p,Deep MLP,836.1528987884521,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_461\final_summary.json
n > p,Deep MLP,914.2271568775177,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_462\final_summary.json
n > p,Deep MLP,848.2737092971802,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_463\final_summary.json
n > p,Deep MLP,758.8978860378265,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_464\final_summary.json
n > p,Deep MLP,1040.7939867973328,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_465\final_summary.json
n > p,Deep MLP,896.5173573493958,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_466\final_summary.json
n > p,Deep MLP,975.803288936615,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_467\final_summary.json
n > p,Deep MLP,895.9850969314575,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_468\final_summary.json
n > p,Deep MLP,970.8063707351685,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_469\final_summary.json
n > p,Deep MLP,4864.964519739151,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_470\final_summary.json
n > p,Deep MLP,973.4645164012909,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_471\final_summary.json
n > p,Deep MLP,995.0504622459412,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_472\final_summary.json
n > p,Deep MLP,843.2286355495453,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_473\final_summary.json
n > p,Deep MLP,772.3060402870178,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_474\final_summary.json
n > p,Deep MLP,857.8174393177032,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_475\final_summary.json
n > p,Deep MLP,929.9204020500183,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_476\final_summary.json
n > p,Deep MLP,1308.526997089386,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_477\final_summary.json
n > p,Deep MLP,1921.383540391922,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_478\final_summary.json
n > p,Deep MLP,931.8501472473145,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_479\final_summary.json
n > p,Deep MLP,923.7365219593048,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_480\final_summary.json
n > p,Deep MLP,927.650369644165,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_481\final_summary.json
n > p,Deep MLP,711.9902467727661,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_482\final_summary.json
n > p,Deep MLP,922.9678070545197,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_483\final_summary.json
n > p,Deep MLP,784.5243792533875,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_484\final_summary.json
n > p,Deep MLP,786.0926957130432,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_485\final_summary.json
n > p,Deep MLP,1198.2153010368347,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_486\final_summary.json
n > p,Deep MLP,910.2378494739532,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_487\final_summary.json
n > p,Deep MLP,867.1815524101257,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_488\final_summary.json
n > p,Deep MLP,844.6464581489563,data2\n1000p100\n1000p100_rat_k16_output\deep_mlp\simple\seed_489\final_summary.json
