environment,method,N,median_s,ci_low_s,ci_high_s,mean_s,sd_s,median_min,ci_low_min,ci_high_min,time_95ci_s,time_95ci_min
Baseline,Mean-field,100,17.569491386413574,16.573403120040894,18.78534436225891,24.112392086982727,23.12435737870953,0.2928248564402262,0.2762233853340149,0.3130890727043152,"17.6 (16.6, 18.8)","0.29 (0.28, 0.31)"
Baseline,Affine,99,441.88279938697815,401.8894823551178,462.81258964538574,531.9229723275309,471.586265725827,7.364713323116303,6.698158039251964,7.713543160756429,"441.9 (401.9, 462.8)","7.36 (6.70, 7.71)"
Baseline,Semantic-Affine,99,632.0753943920135,605.5978302955627,656.7436194419861,676.9532458204212,193.5311903603645,10.53458990653356,10.093297171592713,10.945726990699768,"632.1 (605.6, 656.7)","10.53 (10.09, 10.95)"
Baseline,RAT-Flow,100,318.1114512681961,312.7239464074373,336.54337906837463,542.4283147072792,1041.8627879401895,5.3018575211366015,5.212065773457288,5.609056317806244,"318.1 (312.7, 336.5)","5.30 (5.21, 5.61)"
Baseline,ResCond,100,513.8222898244858,501.7168107032776,535.7271814346313,724.3397812104225,647.8698185747973,8.563704830408096,8.361946845054627,8.928786357243856,"513.8 (501.7, 535.7)","8.56 (8.36, 8.93)"
Baseline,Deep MLP,100,919.094157576561,896.134599685669,942.8975059658286,947.8035341572762,168.92132739040517,15.31823595960935,14.935576661427815,15.71495843276381,"919.1 (896.1, 942.9)","15.32 (14.94, 15.71)"
Baseline,MCMC,100,2326.0975,2250.553,2351.332,2335.13673,212.62799353966574,38.76829166666666,37.50921666666667,39.18886666666666,"2326.1 (2250.6, 2351.3)","38.77 (37.51, 39.19)"
Low SNR,Mean-field,100,16.177117466926575,15.135409593582153,17.013890266418457,27.880595631599427,42.603733606983894,0.26961862444877627,0.25225682655970255,0.28356483777364094,"16.2 (15.1, 17.0)","0.27 (0.25, 0.28)"
Low SNR,RAT-Flow,100,290.0382134914398,277.21580696105957,301.30330443382263,313.0271739149094,132.09211618052942,4.83397022485733,4.620263449350992,5.02172174056371,"290.0 (277.2, 301.3)","4.83 (4.62, 5.02)"
Low SNR,ResCond,100,472.91081380844116,444.2081923484802,519.7129483222961,655.9247729063034,899.6130023889363,7.881846896807352,7.403469872474671,8.661882472038268,"472.9 (444.2, 519.7)","7.88 (7.40, 8.66)"
Low SNR,Deep MLP,100,839.1578348875046,809.5457628965378,857.6426222324371,892.1369326329232,240.56821042702288,13.985963914791743,13.492429381608963,14.294043703873951,"839.2 (809.5, 857.6)","13.99 (13.49, 14.29)"
Low SNR,MCMC,100,2349.603,2311.466,2407.638,2841.4555200000004,1251.0103278793172,39.16005,38.524433333333334,40.1273,"2349.6 (2311.5, 2407.6)","39.16 (38.52, 40.13)"
Weak signals,Mean-field,100,17.675973773002625,16.60405969619751,18.649045944213867,41.855733506679535,78.31787665494106,0.2945995628833771,0.2767343282699585,0.31081743240356446,"17.7 (16.6, 18.6)","0.29 (0.28, 0.31)"
Weak signals,RAT-Flow,27,272.70186734199524,261.07809042930603,333.8088631629944,330.6579597084611,157.0549131671227,4.545031122366587,4.3513015071551004,5.563481052716573,"272.7 (261.1, 333.8)","4.55 (4.35, 5.56)"
Weak signals,ResCond,55,466.66183376312256,435.9414281845093,525.6231482028961,827.7448834766041,1436.3287847337074,7.777697229385376,7.265690469741822,8.760385803381602,"466.7 (435.9, 525.6)","7.78 (7.27, 8.76)"
Weak signals,Deep MLP,43,794.4453246593475,729.4386403560638,868.612676858902,930.3554489612579,608.7364677343184,13.240755410989125,12.157310672601064,14.476877947648367,"794.4 (729.4, 868.6)","13.24 (12.16, 14.48)"
Weak signals,MCMC,100,2304.6065,2280.359,2315.2835,2306.0892000000003,96.83524674080992,38.41010833333333,38.00598333333333,38.588058333333336,"2304.6 (2280.4, 2315.3)","38.41 (38.01, 38.59)"
n > p,Mean-field,100,22.83196449279785,21.09499955177307,24.660885453224182,67.0584108710289,209.82953195300982,0.38053274154663086,0.35158332586288454,0.41101475755373634,"22.8 (21.1, 24.7)","0.38 (0.35, 0.41)"
n > p,RAT-Flow,98,319.00009322166443,314.6573586463928,330.7967599630356,367.4834293491986,211.7827197344621,5.316668220361074,5.244289310773214,5.51327933271726,"319.0 (314.7, 330.8)","5.32 (5.24, 5.51)"
n > p,ResCond,100,501.7967879772186,484.772629737854,511.4658873081207,850.6256604528427,1197.6747071838524,8.36327979962031,8.079543828964233,8.524431455135346,"501.8 (484.8, 511.5)","8.36 (8.08, 8.52)"
n > p,Deep MLP,100,912.2325031757355,895.4411684274673,951.211371421814,1140.5183009886741,1079.2215822199896,15.203875052928925,14.924019473791123,15.853522857030233,"912.2 (895.4, 951.2)","15.20 (14.92, 15.85)"
p >> n,Mean-field,100,26.329447150230408,24.694777727127075,29.297701478004456,64.07745901584626,177.28877232465422,0.4388241191705068,0.41157962878545123,0.48829502463340757,"26.3 (24.7, 29.3)","0.44 (0.41, 0.49)"
p >> n,RAT-Flow,46,576.541885137558,532.8540968894958,636.2573944330215,687.3840647884037,310.74572236058793,9.6090314189593,8.88090161482493,10.604289907217026,"576.5 (532.9, 636.3)","9.61 (8.88, 10.60)"
p >> n,ResCond,45,802.9505133628845,763.944370508194,998.3496174812317,1227.1137586487664,1134.733298098004,13.382508556048075,12.732406175136566,16.63916029135386,"803.0 (763.9, 998.3)","13.38 (12.73, 16.64)"
p >> n,Deep MLP,43,1482.8016204833984,1427.8352630138397,1523.7088098526,1691.8507629771566,679.6522645610539,24.713360341389976,23.797254383563995,25.39514683087667,"1482.8 (1427.8, 1523.7)","24.71 (23.80, 25.40)"
